NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HLA-DQA2	25	1.6876332759857178	0.12728912	Yes	
row_1	FCGR2B	137	1.0012704133987427	0.19569711	Yes	
row_2	HLA-DQA1	176	0.9322348237037659	0.26422152	Yes	
row_3	LGMN	236	0.8391691446304321	0.32407135	Yes	
row_4	HLA-DQB1	237	0.838809609413147	0.38825727	Yes	
row_5	HLA-DRA	453	0.6504449844360352	0.42212826	Yes	
row_6	HLA-DMB	575	0.5933690667152405	0.45858395	Yes	
row_7	HLA-DPB1	593	0.5861424207687378	0.50217843	Yes	
row_8	HLA-DRB1	607	0.5782455205917358	0.54546446	Yes	
row_9	HLA-DPA1	613	0.5763171911239624	0.58919454	Yes	
row_10	HLA-DOA	951	0.44394412636756897	0.5982411	Yes	
row_11	MPEG1	1381	0.3383316099643707	0.59240186	Yes	
row_12	IFI30	1448	0.3267452120780945	0.6125232	Yes	
row_13	FCER1G	1473	0.32149118185043335	0.63534874	Yes	
row_14	CTSD	1632	0.3008999824523926	0.64668816	Yes	
row_15	HLA-DMA	1647	0.29795223474502563	0.66845214	Yes	
row_16	HLA-DRB5	1942	0.2617086172103882	0.66673416	No	
row_17	LNPEP	3561	0.1310776174068451	0.55709857	No	
row_18	DNM2	4534	0.07999245822429657	0.49133143	No	
row_19	IKBKB	5867	0.02179584465920925	0.39448583	No	
row_20	PSMB10	6456	-0.0028473641723394394	0.3512158	No	
row_21	HLA-A	6823	-0.017085712403059006	0.3254542	No	
row_22	CTSF	6889	-0.01916237361729145	0.3221132	No	
row_23	PIKFYVE	6994	-0.02344423159956932	0.3162154	No	
row_24	B2M	8064	-0.06803324818611145	0.24235912	No	
row_25	HLA-E	9022	-0.109563447535038	0.17996415	No	
row_26	CTSL	9379	-0.12553472816944122	0.16324069	No	
row_27	MFSD6	10926	-0.22355709969997406	0.06600668	No	
row_28	HLA-F	11198	-0.24581897258758545	0.06477391	No	
row_29	CTSS	11453	-0.2711317539215088	0.06673539	No	
row_30	CLEC4A	11662	-0.29543861746788025	0.07395894	No	
row_31	HLA-DOB	13240	-0.8592425584793091	0.023075	No	
