NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ANLN	244	0.8332514762878418	0.12727179	Yes	
row_1	IQGAP3	309	0.7646563649177551	0.25588632	Yes	
row_2	FMNL2	845	0.4819505512714386	0.3003869	Yes	
row_3	IQGAP2	851	0.4794159531593323	0.3836206	Yes	
row_4	ROCK1	984	0.43185821175575256	0.44917366	Yes	
row_5	LLGL1	1553	0.3101046681404114	0.4612676	Yes	
row_6	ROCK2	1599	0.30452290177345276	0.5110458	Yes	
row_7	IQGAP1	1614	0.30265316367149353	0.5627894	Yes	
row_8	FMNL1	1691	0.2917898893356323	0.60805583	Yes	
row_9	RHOQ	2026	0.2519437074661255	0.6273035	Yes	
row_10	LLGL2	2241	0.23049499094486237	0.65168065	Yes	
row_11	NCKAP1L	2788	0.18266339600086212	0.64317673	Yes	
row_12	ARF6	3080	0.1627456396818161	0.6500479	Yes	
row_13	RTKN	3213	0.15321971476078033	0.6670104	Yes	
row_14	RACGAP1	4008	0.10666560381650925	0.6269226	No	
row_15	NCKAP1	4094	0.10196293890476227	0.6384207	No	
row_16	DLG1	4513	0.08101474493741989	0.6216519	No	
row_17	PDCD6IP	5797	0.024593038484454155	0.53110725	No	
row_18	FMNL3	6530	-0.005605052225291729	0.4779787	No	
row_19	PLEK	6731	-0.013459627516567707	0.46554282	No	
row_20	RAB13	6810	-0.01658024452626705	0.46266878	No	
row_21	STRIP1	7148	-0.03151417151093483	0.44325495	No	
row_22	LCP1	8201	-0.07413874566555023	0.3784248	No	
row_23	VPS4A	8783	-0.09761068224906921	0.3525019	No	
