NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BGN	266	0.8148191571235657	0.061768606	Yes	
row_1	GPC1	310	0.7637478113174438	0.13492659	Yes	
row_2	CHST3	437	0.6612651944160461	0.19170213	Yes	
row_3	OGN	469	0.6434548497200012	0.2537241	Yes	
row_4	AGRN	533	0.6113876104354858	0.31017402	Yes	
row_5	OMD	552	0.6025124788284302	0.36906525	Yes	
row_6	LUM	606	0.5783407688140869	0.4229517	Yes	
row_7	B4GALT7	754	0.518798291683197	0.46393406	Yes	
row_8	SDC3	1344	0.34567245841026306	0.4549198	Yes	
row_9	GPC6	1585	0.30583804845809937	0.46773756	Yes	
row_10	EXT1	1676	0.29436200857162476	0.49050295	Yes	
row_11	CHST14	1858	0.2704083323478699	0.50414336	Yes	
row_12	HEXA	1887	0.26768967509269714	0.52882856	Yes	
row_13	SDC4	2136	0.23993514478206635	0.5344675	Yes	
row_14	DCN	2196	0.23455344140529633	0.5535478	Yes	
row_15	CHSY1	2248	0.22933828830718994	0.57269853	Yes	
row_16	PAPSS2	2310	0.22374078631401062	0.5905501	Yes	
row_17	EXT2	2377	0.2172238826751709	0.6073805	Yes	
row_18	PRELP	2393	0.2159109115600586	0.62785184	Yes	
row_19	GPC4	2403	0.21507340669631958	0.6486833	Yes	
row_20	HEXB	2594	0.19771021604537964	0.65439165	Yes	
row_21	FMOD	3040	0.164931058883667	0.6379627	No	
row_22	SLC26A2	3783	0.11964091658592224	0.5950394	No	
row_23	GPC3	4386	0.08719543367624283	0.55922824	No	
row_24	HSPG2	4512	0.08104802668094635	0.5580836	No	
row_25	B4GALT1	4530	0.08018006384372711	0.5648404	No	
row_26	B3GALT6	5167	0.052551690489053726	0.5230517	No	
row_27	VCAN	5357	0.04401165619492531	0.5134714	No	
row_28	ST3GAL3	6984	-0.02300608716905117	0.39550468	No	
row_29	SDC2	10362	-0.1827865093946457	0.16399653	No	
row_30	B3GAT3	10595	-0.1984855979681015	0.1666759	No	
row_31	CSPG4	10920	-0.2229268103837967	0.16499346	No	
row_32	NCAN	11673	-0.2962115705013275	0.13897924	No	
