NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TGM1	55	1.3323239088058472	0.039462097	Yes	
row_1	PLS1	94	1.1170493364334106	0.073150605	Yes	
row_2	CLDN1	100	1.0924568176269531	0.108486466	Yes	
row_3	TGM5	102	1.0896220207214355	0.14402677	Yes	
row_4	INHBA	138	1.0005576610565186	0.17413056	Yes	
row_5	SPINK5	157	0.9670878052711487	0.20440309	Yes	
row_6	CCN2	181	0.9277573823928833	0.2330187	Yes	
row_7	EDA2R	308	0.764970600605011	0.24866298	Yes	
row_8	AKR1C3	442	0.6582849621772766	0.26030028	Yes	
row_9	SVEP1	450	0.6517454385757446	0.2810828	Yes	
row_10	GLI1	505	0.6240056753158569	0.29746762	Yes	
row_11	ST14	554	0.6015484929084778	0.31356406	Yes	
row_12	IL18	578	0.5930837392807007	0.33124077	Yes	
row_13	GLI2	588	0.5878896713256836	0.3497876	Yes	
row_14	HLA-DRB1	607	0.5782455205917358	0.36735073	Yes	
row_15	ASAH1	673	0.5514905452728271	0.3805483	Yes	
row_16	CRABP2	692	0.5435842871665955	0.3969785	Yes	
row_17	LAMB3	756	0.5181285738945007	0.40923417	Yes	
row_18	STS	763	0.516238272190094	0.4256619	Yes	
row_19	GRHL1	881	0.46622514724731445	0.4322101	Yes	
row_20	LSR	890	0.4616442024707794	0.44670483	Yes	
row_21	PDGFA	958	0.4410976469516754	0.45614564	Yes	
row_22	GATA6	998	0.4273051917552948	0.4672154	Yes	
row_23	CSTA	1025	0.4192368686199188	0.47898704	Yes	
row_24	DSP	1125	0.3955312967300415	0.4845616	Yes	
row_25	TMEM79	1131	0.3942468464374542	0.49707627	Yes	
row_26	ANXA1	1197	0.37961164116859436	0.50465596	Yes	
row_27	ADAM9	1207	0.37665173411369324	0.5162984	Yes	
row_28	EPHA2	1316	0.35278815031051636	0.5198074	Yes	
row_29	WNT5A	1534	0.31310200691223145	0.513923	Yes	
row_30	EMP1	1566	0.3089633285999298	0.5217189	Yes	
row_31	ALX4	1731	0.2856295108795166	0.5188733	Yes	
row_32	KRT5	1744	0.2832146883010864	0.52723885	Yes	
row_33	FLG	1928	0.26324543356895447	0.5222503	No	
row_34	DSC1	2144	0.239083930850029	0.5140951	No	
row_35	CLIC4	2249	0.22911494970321655	0.513859	No	
row_36	FGF7	2357	0.21934570372104645	0.5130806	No	
row_37	KRT1	2363	0.21876099705696106	0.5198595	No	
row_38	ERCC2	2372	0.21791429817676544	0.5263879	No	
row_39	BCR	2591	0.19831888377666473	0.51667744	No	
row_40	CASP3	2799	0.18222954869270325	0.5072582	No	
row_41	PIP5K1A	3067	0.1634642630815506	0.4927689	No	
row_42	ATP2A2	3100	0.16103745996952057	0.4956556	No	
row_43	UGCG	3422	0.1388654112815857	0.47635132	No	
row_44	HDAC2	3828	0.11704643070697784	0.45009458	No	
row_45	SOX9	3894	0.11310993134975433	0.44896355	No	
row_46	PLOD1	3977	0.10850413143634796	0.44641927	No	
row_47	COL17A1	4089	0.10251395404338837	0.44152516	No	
row_48	OPN3	4162	0.09867022931575775	0.43940222	No	
row_49	MED1	4445	0.08417487144470215	0.4212072	No	
row_50	ALDH3A2	4468	0.08307941257953644	0.42228857	No	
row_51	PPP3CA	4627	0.07623732835054398	0.41304454	No	
row_52	SPINT1	5042	0.057124942541122437	0.38416073	No	
row_53	TPRN	5049	0.05689993500709534	0.38557485	No	
row_54	CTNNB1	5118	0.05451379343867302	0.38230577	No	
row_55	JAG1	5140	0.053532619029283524	0.38249567	No	
row_56	FUZ	5182	0.051868829876184464	0.38114563	No	
row_57	SLC4A7	5315	0.045538973063230515	0.37282944	No	
row_58	JAG2	5777	0.025575008243322372	0.3394234	No	
row_59	MYO6	6030	0.014017432928085327	0.32116356	No	
row_60	PDZD7	6211	0.006494222674518824	0.30800587	No	
row_61	LAMA3	6226	0.006054782774299383	0.30716386	No	
row_62	DLL1	6285	0.003970474004745483	0.30298555	No	
row_63	ERCC3	6582	-0.007570943795144558	0.2812468	No	
row_64	WHRN	7075	-0.0277074184268713	0.24560784	No	
row_65	ATP7A	7083	-0.027948223054409027	0.2460014	No	
row_66	DCT	7509	-0.0461001880466938	0.21594019	No	
row_67	APCDD1	8457	-0.08453793078660965	0.14836241	No	
