NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL39L	4523	0.08036895841360092	-0.3328082	No	
row_1	RPS27L	4609	0.07678258419036865	-0.3362529	No	
row_2	RPL26L1	5172	0.05232591554522514	-0.37602514	No	
row_3	EEF1A1	8872	-0.10188698768615723	-0.6468526	No	
row_4	RPLP0	8878	-0.10199917107820511	-0.64341646	No	
row_5	RPS21	9009	-0.10896848142147064	-0.64900076	No	
row_6	RPL12	9149	-0.11539191007614136	-0.65501344	No	
row_7	RPL28	9272	-0.12121623754501343	-0.6595466	No	
row_8	RPLP1	9274	-0.12136620283126831	-0.6550906	No	
row_9	RPL15	9803	-0.1486978381872177	-0.6887412	No	
row_10	RPL10	9805	-0.14873819053173065	-0.6832634	No	
row_11	RPL7A	10186	-0.17048469185829163	-0.70511264	No	
row_12	RPL36AL	10223	-0.173476442694664	-0.70131	No	
row_13	RPS8	10334	-0.1807834655046463	-0.70272875	No	
row_14	RPS4X	10521	-0.1933870017528534	-0.7093196	Yes	
row_15	RPL27A	10579	-0.1975574791431427	-0.70617723	Yes	
row_16	RPS11	10629	-0.20171786844730377	-0.7022856	Yes	
row_17	RPS19	10662	-0.20346353948116302	-0.69706666	Yes	
row_18	RPS27	10813	-0.21358712017536163	-0.7002307	Yes	
row_19	RPL8	10904	-0.2213021218776703	-0.6986521	Yes	
row_20	RPS23	11029	-0.23258458077907562	-0.6991766	Yes	
row_21	RPS16	11083	-0.2361648678779602	-0.6942962	Yes	
row_22	RPL31	11124	-0.23947113752365112	-0.68832713	Yes	
row_23	RPS15	11173	-0.24322493374347687	-0.6828119	Yes	
row_24	EEF2	11262	-0.25274285674095154	-0.6799112	Yes	
row_25	RPL30	11324	-0.25755733251571655	-0.67482615	Yes	
row_26	RPL3	11326	-0.25780677795410156	-0.6652771	Yes	
row_27	RPS14	11369	-0.26242512464523315	-0.6585998	Yes	
row_28	RPL19	11392	-0.2655058801174164	-0.6503225	Yes	
row_29	RPS5	11430	-0.2687750458717346	-0.6430369	Yes	
row_30	RPL37	11439	-0.26964908838272095	-0.63356555	Yes	
row_31	RPL22	11503	-0.27660199999809265	-0.6279181	Yes	
row_32	RPS27A	11541	-0.28074681758880615	-0.6201856	Yes	
row_33	RPL13	11542	-0.2808026671409607	-0.609704	Yes	
row_34	RPS24	11604	-0.2892359495162964	-0.60343647	Yes	
row_35	RPL6	11607	-0.2894436717033386	-0.5927808	Yes	
row_36	RPLP2	11617	-0.29010602831840515	-0.5826201	Yes	
row_37	EEF1D	11664	-0.2955365478992462	-0.57500374	Yes	
row_38	RPL4	11666	-0.2957981526851654	-0.5640366	Yes	
row_39	RPL26	11674	-0.29629844427108765	-0.5534963	Yes	
row_40	RPL35	11716	-0.3005048930644989	-0.54532325	Yes	
row_41	RPL17	11749	-0.3047431409358978	-0.5363238	Yes	
row_42	RPL10A	11788	-0.3100014328956604	-0.5275735	Yes	
row_43	RPL36	11827	-0.3177618384361267	-0.5185336	Yes	
row_44	FAU	11854	-0.32328638434410095	-0.5083965	Yes	
row_45	RPL18	11870	-0.3256289064884186	-0.4973553	Yes	
row_46	RPL38	11873	-0.3259750306606293	-0.485336	Yes	
row_47	RPS25	11896	-0.3290282189846039	-0.47468764	Yes	
row_48	RPL32	11918	-0.33356359601020813	-0.4637957	Yes	
row_49	RPL23A	11955	-0.3378375768661499	-0.4538579	Yes	
row_50	RPL13A	11964	-0.33957424759864807	-0.44177645	Yes	
row_51	UBA52	11988	-0.3436826467514038	-0.4306553	Yes	
row_52	RPL14	11998	-0.3451676666736603	-0.4184393	Yes	
row_53	RPL29	12036	-0.3498423993587494	-0.40812764	Yes	
row_54	RPS13	12044	-0.35137906670570374	-0.39553127	Yes	
row_55	RPL34	12053	-0.35277387499809265	-0.3829571	Yes	
row_56	RPS10	12084	-0.3590686023235321	-0.37178135	Yes	
row_57	RPL5	12085	-0.35935884714126587	-0.3583674	Yes	
row_58	RPS7	12165	-0.37317460775375366	-0.3503031	Yes	
row_59	EEF1B2	12172	-0.37402987480163574	-0.33678702	Yes	
row_60	RPL24	12181	-0.3769437372684479	-0.32331064	Yes	
