NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HLA-DQA2	25	1.6876332759857178	0.18222135	Yes	
row_1	HLA-DQA1	176	0.9322348237037659	0.27281684	Yes	
row_2	HLA-DQB1	237	0.838809609413147	0.35987198	Yes	
row_3	HLA-DRA	453	0.6504449844360352	0.4149306	Yes	
row_4	HLA-DMB	575	0.5933690667152405	0.47070897	Yes	
row_5	HLA-DPB1	593	0.5861424207687378	0.5333829	Yes	
row_6	HLA-DRB1	607	0.5782455205917358	0.59549105	Yes	
row_7	HLA-DPA1	613	0.5763171911239624	0.65797997	Yes	
row_8	CALR	949	0.44480863213539124	0.68174416	Yes	
row_9	HLA-DOA	951	0.44394412636756897	0.7300908	Yes	
row_10	HLA-DMA	1647	0.29795223474502563	0.71123976	No	
row_11	HLA-DRB5	1942	0.2617086172103882	0.7180626	No	
row_12	TAPBP	2720	0.18812888860702515	0.6811749	No	
row_13	TAPBPL	3853	0.11562368273735046	0.6101508	No	
row_14	PDIA3	5707	0.028787527233362198	0.47638634	No	
row_15	HLA-A	6823	-0.017085712403059006	0.39587083	No	
row_16	B2M	8064	-0.06803324818611145	0.31167683	No	
row_17	HLA-DOB	13240	-0.8592425584793091	0.023051435	No	
