NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL39L	4523	0.08036895841360092	-0.33259168	No	
row_1	RPS27L	4609	0.07678258419036865	-0.33589956	No	
row_2	RPL26L1	5172	0.05232591554522514	-0.37557024	No	
row_3	EEF1A1	8872	-0.10188698768615723	-0.64615685	No	
row_4	RPLP0	8878	-0.10199917107820511	-0.64254075	No	
row_5	RPS21	9009	-0.10896848142147064	-0.64793074	No	
row_6	RPL12	9149	-0.11539191007614136	-0.6537376	No	
row_7	RPL28	9272	-0.12121623754501343	-0.658055	No	
row_8	RPLP1	9274	-0.12136620283126831	-0.65338486	No	
row_9	RPL15	9803	-0.1486978381872177	-0.68676454	No	
row_10	RPL10	9805	-0.14873819053173065	-0.68102443	No	
row_11	RPL7A	10186	-0.17048469185829163	-0.7025667	No	
row_12	RPL36AL	10223	-0.173476442694664	-0.69845754	No	
row_13	RPS8	10334	-0.1807834655046463	-0.69955564	No	
row_14	RPS4X	10521	-0.1933870017528534	-0.7058023	Yes	
row_15	RPL27A	10579	-0.1975574791431427	-0.7023106	Yes	
row_16	RPS11	10629	-0.20171786844730377	-0.6980624	Yes	
row_17	RPS19	10662	-0.20346353948116302	-0.69248414	Yes	
row_18	RPS27	10813	-0.21358712017536163	-0.695269	Yes	
row_19	RPL8	10904	-0.2213021218776703	-0.69329864	Yes	
row_20	RPS23	11029	-0.23258458077907562	-0.69341093	Yes	
row_21	RPS16	11083	-0.2361648678779602	-0.6881131	Yes	
row_22	RPL31	11124	-0.23947113752365112	-0.68172103	Yes	
row_23	RPS15	11173	-0.24322493374347687	-0.67577606	Yes	
row_24	EEF2	11262	-0.25274285674095154	-0.6724282	Yes	
row_25	RPL30	11324	-0.25755733251571655	-0.66688794	Yes	
row_26	RPL3	11326	-0.25780677795410156	-0.65688425	Yes	
row_27	RPS14	11369	-0.26242512464523315	-0.6497434	Yes	
row_28	RPL19	11392	-0.2655058801174164	-0.64099747	Yes	
row_29	RPS5	11430	-0.2687750458717346	-0.63323724	Yes	
row_30	RPL37	11439	-0.26964908838272095	-0.6232902	Yes	
row_31	RPL22	11503	-0.27660199999809265	-0.61715394	Yes	
row_32	RPS27A	11541	-0.28074681758880615	-0.6089257	Yes	
row_33	RPL13	11542	-0.2808026671409607	-0.59794885	Yes	
row_34	RPS24	11604	-0.2892359495162964	-0.59117025	Yes	
row_35	RPL6	11607	-0.2894436717033386	-0.58000404	Yes	
row_36	RPLP2	11617	-0.29010602831840515	-0.5693316	Yes	
row_37	RPL4	11666	-0.2957981526851654	-0.56133145	Yes	
row_38	RPL26	11674	-0.29629844427108765	-0.5502685	Yes	
row_39	RPL35	11716	-0.3005048930644989	-0.54156476	Yes	
row_40	RPL17	11749	-0.3047431409358978	-0.53202736	Yes	
row_41	RPL10A	11788	-0.3100014328956604	-0.52272975	Yes	
row_42	RPL36	11827	-0.3177618384361267	-0.5131288	Yes	
row_43	FAU	11854	-0.32328638434410095	-0.50242114	Yes	
row_44	RPL18	11870	-0.3256289064884186	-0.49080542	Yes	
row_45	RPL38	11873	-0.3259750306606293	-0.47821116	Yes	
row_46	RPS25	11896	-0.3290282189846039	-0.46698216	Yes	
row_47	RPL32	11918	-0.33356359601020813	-0.45550162	Yes	
row_48	RPL23A	11955	-0.3378375768661499	-0.44496742	Yes	
row_49	RPL13A	11964	-0.33957424759864807	-0.43228695	Yes	
row_50	UBA52	11988	-0.3436826467514038	-0.4205593	Yes	
row_51	RPL14	11998	-0.3451676666736603	-0.4077344	Yes	
row_52	RPL29	12036	-0.3498423993587494	-0.39680514	Yes	
row_53	RPS13	12044	-0.35137906670570374	-0.383589	Yes	
row_54	RPL34	12053	-0.35277387499809265	-0.37039253	Yes	
row_55	RPS10	12084	-0.3590686023235321	-0.35858303	Yes	
row_56	RPL5	12085	-0.35935884714126587	-0.34453532	Yes	
row_57	RPS7	12165	-0.37317460775375366	-0.3358116	Yes	
row_58	RPL24	12181	-0.3769437372684479	-0.3221899	Yes	
row_59	RPS2	12189	-0.37811675667762756	-0.30792853	Yes	
row_60	RPS20	12233	-0.38652855157852173	-0.29601055	Yes	
row_61	RPL35A	12235	-0.387062668800354	-0.28095412	Yes	
row_62	RPL37A	12258	-0.39100515842437744	-0.26730236	Yes	
row_63	RPS12	12265	-0.3917199373245239	-0.252435	Yes	
row_64	RPL22L1	12276	-0.3942938446998596	-0.23776394	Yes	
row_65	RPS15A	12298	-0.3990958333015442	-0.22372168	Yes	
row_66	RPS9	12302	-0.3997804522514343	-0.20831655	Yes	
row_67	RPS29	12373	-0.41608303785324097	-0.19724742	Yes	
row_68	RPS18	12534	-0.45792335271835327	-0.19122322	Yes	
row_69	RPS4Y1	12551	-0.460059255361557	-0.1744267	Yes	
row_70	RPL27	12565	-0.4642496407032013	-0.15724368	Yes	
row_71	RPSA	12602	-0.47591546177864075	-0.14131188	Yes	
row_72	RPS6	12625	-0.48489782214164734	-0.12398976	Yes	
row_73	RPL23	12639	-0.49101176857948303	-0.10576059	Yes	
row_74	RPL11	12664	-0.49814900755882263	-0.088068925	Yes	
row_75	RPS3A	12728	-0.5232251286506653	-0.0722919	Yes	
row_76	RPL41	12799	-0.5502439141273499	-0.055978283	Yes	
row_77	RPL21	12810	-0.5547853112220764	-0.035033453	Yes	
row_78	RPS3	12943	-0.6289805769920349	-0.020244079	Yes	
row_79	RPL39	13081	-0.7163982391357422	-0.0024086	Yes	
row_80	RPL36A	13305	-0.9540812969207764	0.018334536	Yes	
