NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL4A3	12	2.0583102703094482	0.122671165	Yes	
row_1	COL4A4	17	1.858399510383606	0.23393412	Yes	
row_2	CLDN1	100	1.0924568176269531	0.29344213	Yes	
row_3	MKI67	287	0.7969188094139099	0.32750824	Yes	
row_4	COL4A5	524	0.6164843440055847	0.3470406	Yes	
row_5	AGRN	533	0.6113876104354858	0.38314962	Yes	
row_6	ITGB4	649	0.5610664486885071	0.4083149	Yes	
row_7	SYNPO	722	0.5331103205680847	0.434986	Yes	
row_8	FAT1	747	0.5229306817054749	0.46460024	Yes	
row_9	CDKN1A	927	0.44986188411712646	0.47835097	Yes	
row_10	PTPRO	1004	0.42569106817245483	0.49827752	Yes	
row_11	ACTN4	1024	0.41940566897392273	0.5220474	Yes	
row_12	PCNA	1150	0.38849782943725586	0.53611296	Yes	
row_13	INF2	1156	0.3875597417354584	0.5590078	Yes	
row_14	ITGAV	1237	0.3709219694137573	0.57535046	Yes	
row_15	CD80	1395	0.3364802896976471	0.58392394	Yes	
row_16	DAG1	1573	0.30776163935661316	0.5892925	Yes	
row_17	MYO1E	1609	0.3033057451248169	0.6049082	Yes	
row_18	LAMB2	1687	0.2923239767551422	0.6167548	Yes	
row_19	PLCE1	2066	0.24778544902801514	0.6036396	No	
row_20	SCARB2	2132	0.24065232276916504	0.61327285	No	
row_21	FYN	2997	0.16794335842132568	0.55937815	No	
row_22	TGFB1	3023	0.16594164073467255	0.5674884	No	
row_23	YWHAQ	3241	0.151405930519104	0.5605091	No	
row_24	CD151	3290	0.14747068285942078	0.56580746	No	
row_25	TLN1	3361	0.14246781170368195	0.5691765	No	
row_26	LRP6	3379	0.1415904462337494	0.5764174	No	
row_27	ITGB1	3680	0.1252610832452774	0.56172276	No	
row_28	PARVA	3879	0.11374446004629135	0.5538896	No	
row_29	LRP5	4040	0.10467101633548737	0.5483255	No	
row_30	NOTCH1	4139	0.09967619180679321	0.54705244	No	
row_31	NCK1	4838	0.06638188660144806	0.49935275	No	
row_32	MYH9	4884	0.06408325582742691	0.49986753	No	
row_33	SMARCAL1	5038	0.057202864438295364	0.49197227	No	
row_34	CTNNB1	5118	0.05451379343867302	0.48939502	No	
row_35	LIMS1	5177	0.05225606635212898	0.48823723	No	
row_36	TLR4	6388	-4.032459110021591E-4	0.398665	No	
row_37	MME	6517	-0.004944758489727974	0.38948387	No	
row_38	PLAUR	7374	-0.040526799857616425	0.32853276	No	
row_39	PLCG1	7499	-0.04583737999200821	0.32210258	No	
row_40	CTSL	9379	-0.12553472816944122	0.19050471	No	
row_41	CDKN1C	9607	-0.13895012438297272	0.18203726	No	
row_42	CD2AP	9752	-0.14597035944461823	0.1801371	No	
row_43	LAMA5	11350	-0.26102131605148315	0.07755363	No	
row_44	TRPC6	11507	-0.2770613431930542	0.082634255	No	
row_45	CDKN1B	11765	-0.3068042993545532	0.08202163	No	
row_46	ITGB3	12371	-0.41539266705513	0.062159304	No	
row_47	CR1	12396	-0.42005395889282227	0.08559789	No	
