NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LARS1	6977	-0.022718144580721855	-0.51667106	No	
row_1	RPLP0	8878	-0.10199917107820511	-0.6533708	No	
row_2	RPS21	9009	-0.10896848142147064	-0.658464	No	
row_3	RPL12	9149	-0.11539191007614136	-0.66395664	No	
row_4	RPL28	9272	-0.12121623754501343	-0.6679448	No	
row_5	RPLP1	9274	-0.12136620283126831	-0.66294974	No	
row_6	RPL15	9803	-0.1486978381872177	-0.695911	No	
row_7	RPL10	9805	-0.14873819053173065	-0.68977267	No	
row_8	RPL7A	10186	-0.17048469185829163	-0.71084386	No	
row_9	RPS8	10334	-0.1807834655046463	-0.7141987	No	
row_10	RPS4X	10521	-0.1933870017528534	-0.7199206	Yes	
row_11	RPL27A	10579	-0.1975574791431427	-0.71589774	Yes	
row_12	RPS11	10629	-0.20171786844730377	-0.7111077	Yes	
row_13	RPS19	10662	-0.20346353948116302	-0.7049835	Yes	
row_14	RACK1	10759	-0.21034492552280426	-0.70331997	Yes	
row_15	RPS27	10813	-0.21358712017536163	-0.6983309	Yes	
row_16	RPL8	10904	-0.2213021218776703	-0.69576454	Yes	
row_17	RPS23	11029	-0.23258458077907562	-0.69524944	Yes	
row_18	RPS16	11083	-0.2361648678779602	-0.68931735	Yes	
row_19	RPL31	11124	-0.23947113752365112	-0.6822827	Yes	
row_20	RPS15	11173	-0.24322493374347687	-0.6756847	Yes	
row_21	RPL30	11324	-0.25755733251571655	-0.6760555	Yes	
row_22	RPL3	11326	-0.25780677795410156	-0.6653616	Yes	
row_23	RPS14	11369	-0.26242512464523315	-0.65751654	Yes	
row_24	RPL19	11392	-0.2655058801174164	-0.648059	Yes	
row_25	RPS5	11430	-0.2687750458717346	-0.6395778	Yes	
row_26	RPL37	11439	-0.26964908838272095	-0.62890863	Yes	
row_27	RPL22	11503	-0.27660199999809265	-0.6220294	Yes	
row_28	RPL13	11542	-0.2808026671409607	-0.61312	Yes	
row_29	RPS24	11604	-0.2892359495162964	-0.6055648	Yes	
row_30	RPL6	11607	-0.2894436717033386	-0.59362364	Yes	
row_31	RPLP2	11617	-0.29010602831840515	-0.5821742	Yes	
row_32	RPL4	11666	-0.2957981526851654	-0.57338035	Yes	
row_33	RPL26	11674	-0.29629844427108765	-0.56152385	Yes	
row_34	RPL35	11716	-0.3005048930644989	-0.5520141	Yes	
row_35	RPL17	11749	-0.3047431409358978	-0.54165965	Yes	
row_36	RPL10A	11788	-0.3100014328956604	-0.5315307	Yes	
row_37	RPL36	11827	-0.3177618384361267	-0.5210776	Yes	
row_38	FAU	11854	-0.32328638434410095	-0.5095034	Yes	
row_39	RPL18	11870	-0.3256289064884186	-0.49701542	Yes	
row_40	RPL38	11873	-0.3259750306606293	-0.48354843	Yes	
row_41	RPS25	11896	-0.3290282189846039	-0.47143772	Yes	
row_42	RPL32	11918	-0.33356359601020813	-0.45906338	Yes	
row_43	RPL23A	11955	-0.3378375768661499	-0.4476234	Yes	
row_44	RPL13A	11964	-0.33957424759864807	-0.43403354	Yes	
row_45	UBA52	11988	-0.3436826467514038	-0.42138493	Yes	
row_46	RPL14	11998	-0.3451676666736603	-0.40763566	Yes	
row_47	RPL29	12036	-0.3498423993587494	-0.39576843	Yes	
row_48	RPS13	12044	-0.35137906670570374	-0.38161132	Yes	
row_49	RPL34	12053	-0.35277387499809265	-0.36747015	Yes	
row_50	RPS10	12084	-0.3590686023235321	-0.35469824	Yes	
row_51	RPL5	12085	-0.35935884714126587	-0.3396885	Yes	
row_52	RPS7	12165	-0.37317460775375366	-0.3299627	Yes	
row_53	RPL24	12181	-0.3769437372684479	-0.3153313	Yes	
row_54	RPS2	12189	-0.37811675667762756	-0.30005744	Yes	
row_55	RPS20	12233	-0.38652855157852173	-0.28710303	Yes	
row_56	RPL35A	12235	-0.387062668800354	-0.27101034	Yes	
row_57	RPL37A	12258	-0.39100515842437744	-0.256311	Yes	
row_58	RPS12	12265	-0.3917199373245239	-0.24039474	Yes	
row_59	RPS15A	12298	-0.3990958333015442	-0.22609934	Yes	
row_60	RPS9	12302	-0.3997804522514343	-0.20962384	Yes	
row_61	RPS29	12373	-0.41608303785324097	-0.19743812	Yes	
row_62	RPS18	12534	-0.45792335271835327	-0.19018187	Yes	
row_63	RPL27	12565	-0.4642496407032013	-0.17301673	Yes	
row_64	RPSA	12602	-0.47591546177864075	-0.15580948	Yes	
row_65	RPS6	12625	-0.48489782214164734	-0.1371884	Yes	
row_66	RPL23	12639	-0.49101176857948303	-0.11764424	Yes	
row_67	RPL11	12664	-0.49814900755882263	-0.09861807	Yes	
row_68	RPS3A	12728	-0.5232251286506653	-0.08143789	Yes	
row_69	RPL41	12799	-0.5502439141273499	-0.06364853	Yes	
row_70	RPL21	12810	-0.5547853112220764	-0.04121811	Yes	
row_71	RPS3	12943	-0.6289805769920349	-0.024739813	Yes	
row_72	RPL39	13081	-0.7163982391357422	-0.0049811965	Yes	
row_73	RPL36A	13305	-0.9540812969207764	0.018324688	Yes	
