NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HLA-DQA2	25	1.6876332759857178	0.11258275	Yes	
row_1	FCGR2B	137	1.0012704133987427	0.17226338	Yes	
row_2	HLA-DQA1	176	0.9322348237037659	0.23266356	Yes	
row_3	LGMN	236	0.8391691446304321	0.2851997	Yes	
row_4	HLA-DQB1	237	0.838809609413147	0.34207633	Yes	
row_5	HLA-DRA	453	0.6504449844360352	0.37027475	Yes	
row_6	HLA-DMB	575	0.5933690667152405	0.40155724	Yes	
row_7	HLA-DPB1	593	0.5861424207687378	0.44004375	Yes	
row_8	HLA-DRB1	607	0.5782455205917358	0.47829074	Yes	
row_9	HLA-DPA1	613	0.5763171911239624	0.5169988	Yes	
row_10	HLA-DOA	951	0.44394412636756897	0.5221695	Yes	
row_11	MR1	1062	0.4112236201763153	0.5419152	Yes	
row_12	MPEG1	1381	0.3383316099643707	0.5413303	Yes	
row_13	IFI30	1448	0.3267452120780945	0.5586029	Yes	
row_14	FCER1G	1473	0.32149118185043335	0.5786265	Yes	
row_15	CTSD	1632	0.3008999824523926	0.5873405	Yes	
row_16	HLA-DMA	1647	0.29795223474502563	0.60650784	Yes	
row_17	HLA-DRB5	1942	0.2617086172103882	0.60250294	No	
row_18	LNPEP	3561	0.1310776174068451	0.4916897	No	
row_19	DNM2	4534	0.07999245822429657	0.42520428	No	
row_20	IKBKB	5867	0.02179584465920925	0.32813957	No	
row_21	CD1C	5884	0.020811809226870537	0.32836705	No	
row_22	PSMB10	6456	-0.0028473641723394394	0.28631705	No	
row_23	HLA-A	6823	-0.017085712403059006	0.26039854	No	
row_24	CTSF	6889	-0.01916237361729145	0.2568891	No	
row_25	PIKFYVE	6994	-0.02344423159956932	0.25078475	No	
row_26	B2M	8064	-0.06803324818611145	0.17631225	No	
row_27	CD1E	8785	-0.09766726195812225	0.12966846	No	
row_28	HLA-E	9022	-0.109563447535038	0.11963807	No	
row_29	CTSL	9379	-0.12553472816944122	0.10181292	No	
row_30	MFSD6	10926	-0.22355709969997406	0.0025970258	No	
row_31	HLA-F	11198	-0.24581897258758545	-7.837105E-4	No	
row_32	CTSS	11453	-0.2711317539215088	-0.0011904035	No	
row_33	CLEC4A	11662	-0.29543861746788025	0.0034541853	No	
row_34	HLA-DOB	13240	-0.8592425584793091	-0.054951597	No	
row_35	CD1D	13410	-1.14973783493042	0.010505172	No	
