NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL4A3	12	2.0583102703094482	0.09172119	Yes	
row_1	COL11A1	16	1.920503854751587	0.17790896	Yes	
row_2	COL4A4	17	1.858399510383606	0.26152477	Yes	
row_3	TNC	43	1.4211589097976685	0.32361493	Yes	
row_4	COL4A6	282	0.8033772110939026	0.34212416	Yes	
row_5	F13A1	333	0.7426541447639465	0.37183338	Yes	
row_6	COL6A2	392	0.6901330947875977	0.39858666	Yes	
row_7	CD14	513	0.6196834444999695	0.4175755	Yes	
row_8	COL4A5	524	0.6164843440055847	0.4445722	Yes	
row_9	COL6A1	586	0.588861346244812	0.46654657	Yes	
row_10	THBS1	681	0.5480862855911255	0.4842408	Yes	
row_11	LAMB3	756	0.5181285738945007	0.5020693	Yes	
row_12	COL5A2	903	0.4560822546482086	0.51177037	Yes	
row_13	ITGA1	1006	0.4242095649242401	0.5232981	Yes	
row_14	COL3A1	1075	0.4078233242034912	0.5366082	Yes	
row_15	VCAM1	1102	0.40083667635917664	0.55271643	Yes	
row_16	FN1	1222	0.3745676279067993	0.5607508	Yes	
row_17	ITGAV	1237	0.3709219694137573	0.57640237	Yes	
row_18	FBN1	1348	0.3447408080101013	0.5837617	Yes	
row_19	SPP1	1467	0.32219594717025757	0.5895137	Yes	
row_20	LAMB2	1687	0.2923239767551422	0.586437	Yes	
row_21	ITGA3	1695	0.2913399338722229	0.5990266	Yes	
row_22	ITGA9	1821	0.2744123041629791	0.60210997	Yes	
row_23	ITGA8	1879	0.2682628929615021	0.60995597	Yes	
row_24	COL5A1	1992	0.25594115257263184	0.61317164	Yes	
row_25	TGFBI	2015	0.2531893253326416	0.62293315	Yes	
row_26	PLAU	2103	0.24358202517032623	0.62744546	Yes	
row_27	ITGA10	2618	0.19562898576259613	0.59815645	No	
row_28	COL1A2	3083	0.16248300671577454	0.57108146	No	
row_29	COL4A1	3232	0.1521792858839035	0.5669607	No	
row_30	ITGB1	3680	0.1252610832452774	0.5394708	No	
row_31	LAMA4	3876	0.11381787061691284	0.530141	No	
row_32	ITGA7	3899	0.11280263960361481	0.533586	No	
row_33	JAM2	4186	0.09782705456018448	0.516793	No	
row_34	LAMA1	4620	0.07648266106843948	0.4881459	No	
row_35	ITGA11	4826	0.0668453723192215	0.47596157	No	
row_36	CD81	5169	0.052496977150440216	0.45297897	No	
row_37	COL6A3	5238	0.0494050607085228	0.4501626	No	
row_38	IGSF8	5256	0.048768412321805954	0.45109704	No	
row_39	COL1A1	6091	0.01137509010732174	0.3898036	No	
row_40	ITGA5	6170	0.007823143154382706	0.38437524	No	
row_41	LAMA3	6226	0.006054782774299383	0.38057178	No	
row_42	NID1	6486	-0.004036705009639263	0.3615597	No	
row_43	MDK	6516	-0.004904383327811956	0.35963124	No	
row_44	COL18A1	7153	-0.0317487008869648	0.31392768	No	
row_45	PLAUR	7374	-0.040526799857616425	0.29944757	No	
row_46	ITGA6	7909	-0.061625707894563675	0.26264718	No	
row_47	LAMA2	8923	-0.10458005964756012	0.1922822	No	
row_48	ITGA2	9220	-0.11891617625951767	0.17569697	No	
row_49	NPNT	9259	-0.12081082165241241	0.17831661	No	
row_50	THBS2	9722	-0.14493432641029358	0.15060025	No	
row_51	LAMC1	10397	-0.18544483184814453	0.10899594	No	
row_52	LAMC2	10780	-0.21188396215438843	0.09022045	No	
row_53	CSPG4	10920	-0.2229268103837967	0.089949824	No	
row_54	LAMA5	11350	-0.26102131605148315	0.06990217	No	
row_55	ITGA4	11574	-0.28465893864631653	0.06618409	No	
row_56	TGM2	12210	-0.3825609087944031	0.03633887	No	
row_57	LAMB1	12818	-0.5581745505332947	0.016470112	No	
row_58	VEGFA	13224	-0.8412402868270874	0.024307074	No	
