NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL4A3	12	2.0583102703094482	0.069689766	Yes	
row_1	COL11A1	16	1.920503854751587	0.13532168	Yes	
row_2	COL4A4	17	1.858399510383606	0.19904654	Yes	
row_3	MMP7	24	1.711500883102417	0.25728917	Yes	
row_4	P3H3	156	0.9676415324211121	0.28075314	Yes	
row_5	ADAMTS3	245	0.8331143260002136	0.30279356	Yes	
row_6	COL4A6	282	0.8033772110939026	0.32767126	Yes	
row_7	COL6A2	392	0.6901330947875977	0.3432512	Yes	
row_8	LOXL2	428	0.6655198931694031	0.36347595	Yes	
row_9	LOX	491	0.6326430439949036	0.38057068	Yes	
row_10	COL4A5	524	0.6164843440055847	0.39933652	Yes	
row_11	CRTAP	637	0.5655285716056824	0.41042122	Yes	
row_12	ITGB4	649	0.5610664486885071	0.42884436	Yes	
row_13	CTSB	668	0.5532867312431335	0.44648156	Yes	
row_14	LAMB3	756	0.5181285738945007	0.45779523	Yes	
row_15	COL8A2	774	0.5102121829986572	0.47402957	Yes	
row_16	MMP13	801	0.5005785226821899	0.489266	Yes	
row_17	LOXL4	803	0.5005081295967102	0.50635433	Yes	
row_18	COL5A2	903	0.4560822546482086	0.51465034	Yes	
row_19	COL14A1	978	0.43427252769470215	0.52405286	Yes	
row_20	ADAMTS2	1071	0.4088886082172394	0.5312498	Yes	
row_21	PLOD2	1078	0.40622174739837646	0.5447342	Yes	
row_22	P4HA3	1135	0.39362233877182007	0.55407786	Yes	
row_23	P4HB	1472	0.3218100965023041	0.5401907	Yes	
row_24	COL16A1	1611	0.30306416749954224	0.5403469	Yes	
row_25	TLL1	1797	0.2780025601387024	0.5361577	Yes	
row_26	LOXL1	1950	0.2606510519981384	0.53382117	Yes	
row_27	PCOLCE2	1955	0.2600538432598114	0.5424418	Yes	
row_28	COL5A1	1992	0.25594115257263184	0.5485478	Yes	
row_29	PPIB	2072	0.24678590893745422	0.5511505	Yes	
row_30	MMP9	2095	0.24446237087249756	0.5579013	Yes	
row_31	COL8A1	2126	0.24137014150619507	0.5639528	Yes	
row_32	PCOLCE	2146	0.2388967126607895	0.57073534	Yes	
row_33	COL24A1	2433	0.2121536284685135	0.5567966	No	
row_34	COL4A2	2612	0.19596126675605774	0.5503134	No	
row_35	COL12A1	2642	0.194424107670784	0.5548292	No	
row_36	COL10A1	3076	0.16299915313720703	0.5283016	No	
row_37	COL1A2	3083	0.16248300671577454	0.53342813	No	
row_38	COLGALT1	3141	0.15856720507144928	0.5346376	No	
row_39	P4HA2	3157	0.15766681730747223	0.53893137	No	
row_40	COL4A1	3232	0.1521792858839035	0.5386608	No	
row_41	CD151	3290	0.14747068285942078	0.5394898	No	
row_42	PLEC	3433	0.13829243183135986	0.5336993	No	
row_43	PLOD3	3525	0.13334055244922638	0.5315218	No	
row_44	P3H1	3629	0.1276075839996338	0.52825767	No	
row_45	PXDN	3959	0.10955810546875	0.5076116	No	
row_46	PLOD1	3977	0.10850413143634796	0.5100712	No	
row_47	SERPINH1	4072	0.10331092029809952	0.5066415	No	
row_48	COL17A1	4089	0.10251395404338837	0.50896996	No	
row_49	MMP3	4116	0.10080134123563766	0.510498	No	
row_50	P4HA1	4603	0.07703932374715805	0.4770916	No	
row_51	COLGALT2	4608	0.07679218053817749	0.47942814	No	
row_52	LOXL3	4921	0.0626315027475357	0.4584338	No	
row_53	COL6A3	5238	0.0494050607085228	0.43668926	No	
row_54	COL5A3	5463	0.03967994824051857	0.42143515	No	
row_55	COL21A1	5911	0.019681992009282112	0.38895473	No	
row_56	COL1A1	6091	0.01137509010732174	0.37606782	No	
row_57	LAMA3	6226	0.006054782774299383	0.36633626	No	
row_58	COL15A1	6351	9.355118381790817E-4	0.35717088	No	
row_59	BMP1	7018	-0.024422820657491684	0.30860916	No	
row_60	COL18A1	7153	-0.0317487008869648	0.29975864	No	
row_61	COL25A1	7574	-0.0487055741250515	0.2702761	No	
row_62	ITGA6	7909	-0.061625707894563675	0.2476155	No	
row_63	CTSL	9379	-0.12553472816944122	0.14296001	No	
row_64	COL27A1	10624	-0.20142300426959991	0.05759566	No	
row_65	LAMC2	10780	-0.21188396215438843	0.05336439	No	
row_66	CTSS	11453	-0.2711317539215088	0.012817306	No	
row_67	P3H2	11656	-0.2948693037033081	0.007945487	No	
row_68	COL28A1	12527	-0.45621249079704285	-0.04094139	No	
row_69	COL19A1	13509	-1.6703362464904785	-0.056428943	No	
row_70	COL6A6	13516	-1.7364798784255981	0.0026702338	No	
