NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LTBP2	118	1.0518301725387573	0.06039027	Yes	
row_1	ELN	198	0.8901102542877197	0.11303853	Yes	
row_2	MFAP5	323	0.7534615397453308	0.1533779	Yes	
row_3	ITGB5	348	0.7275062203407288	0.19940974	Yes	
row_4	LOXL2	428	0.6655198931694031	0.23729926	Yes	
row_5	LOX	491	0.6326430439949036	0.27428597	Yes	
row_6	EFEMP1	751	0.519699215888977	0.28927645	Yes	
row_7	LOXL4	803	0.5005081295967102	0.31839386	Yes	
row_8	FBN2	834	0.48770245909690857	0.34822333	Yes	
row_9	BMP2	855	0.47816717624664307	0.37816602	Yes	
row_10	MFAP4	948	0.44501596689224243	0.40060356	Yes	
row_11	LTBP4	965	0.43886426091194153	0.42825943	Yes	
row_12	BMP4	1048	0.41389375925064087	0.44939163	Yes	
row_13	ITGB8	1077	0.4073987901210785	0.47409198	Yes	
row_14	MFAP2	1099	0.40166813135147095	0.4989336	Yes	
row_15	FBLN1	1172	0.3843088746070862	0.5188615	Yes	
row_16	ITGAV	1237	0.3709219694137573	0.5385015	Yes	
row_17	FBN1	1348	0.3447408080101013	0.5530179	Yes	
row_18	FBLN2	1376	0.33974236249923706	0.57334626	Yes	
row_19	FBLN5	1853	0.27059972286224365	0.55591357	Yes	
row_20	LTBP3	1855	0.2705504298210144	0.57361853	Yes	
row_21	ITGA8	1879	0.2682628929615021	0.5895456	Yes	
row_22	LOXL1	1950	0.2606510519981384	0.6014954	Yes	
row_23	TGFB1	3023	0.16594164073467255	0.53309256	No	
row_24	MFAP3	3450	0.1374368816614151	0.5106082	No	
row_25	TGFB3	3516	0.13367128372192383	0.5145835	No	
row_26	ITGB1	3680	0.1252610832452774	0.5107561	No	
row_27	LOXL3	4921	0.0626315027475357	0.4231355	No	
row_28	EFEMP2	5945	0.01813971810042858	0.34864506	No	
row_29	ITGA5	6170	0.007823143154382706	0.33258742	No	
row_30	FURIN	10484	-0.19112809002399445	0.026067562	No	
row_31	TGFB2	11502	-0.2765858769416809	-0.030995447	No	
row_32	ITGB3	12371	-0.41539266705513	-0.06791374	No	
row_33	GDF5	12450	-0.4359993040561676	-0.045032978	No	
row_34	LTBP1	12889	-0.5894851088523865	-0.03869916	No	
row_35	BMP7	13459	-1.3341830968856812	0.006880272	No	
