NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	APEH	3696	0.12459179013967514	-0.26960036	No	
row_1	RPL39L	4523	0.08036895841360092	-0.32781664	No	
row_2	RPS27L	4609	0.07678258419036865	-0.33115256	No	
row_3	ETF1	4780	0.06909982860088348	-0.34109747	No	
row_4	RPL26L1	5172	0.05232591554522514	-0.36810163	No	
row_5	GSPT1	6265	0.0047156186774373055	-0.44899997	No	
row_6	TRMT112	8133	-0.0713006854057312	-0.584862	No	
row_7	GSPT2	8496	-0.08633153885602951	-0.60839516	No	
row_8	RPLP0	8878	-0.10199917107820511	-0.632732	No	
row_9	RPS21	9009	-0.10896848142147064	-0.63816196	No	
row_10	RPL12	9149	-0.11539191007614136	-0.64401126	No	
row_11	RPL28	9272	-0.12121623754501343	-0.64837265	No	
row_12	RPLP1	9274	-0.12136620283126831	-0.643744	No	
row_13	RPL15	9803	-0.1486978381872177	-0.677186	No	
row_14	RPL10	9805	-0.14873819053173065	-0.6714966	No	
row_15	RPL7A	10186	-0.17048469185829163	-0.6931054	No	
row_16	RPL36AL	10223	-0.173476442694664	-0.6890562	No	
row_17	RPS8	10334	-0.1807834655046463	-0.6902183	No	
row_18	RPS4X	10521	-0.1933870017528534	-0.6965351	Yes	
row_19	RPL27A	10579	-0.1975574791431427	-0.693112	Yes	
row_20	RPS11	10629	-0.20171786844730377	-0.68893373	Yes	
row_21	RPS19	10662	-0.20346353948116302	-0.68342555	Yes	
row_22	RPS27	10813	-0.21358712017536163	-0.68628657	Yes	
row_23	RPL8	10904	-0.2213021218776703	-0.6843936	Yes	
row_24	HEMK2	10931	-0.2237270474433899	-0.6776547	Yes	
row_25	RPS23	11029	-0.23258458077907562	-0.6758443	Yes	
row_26	RPS16	11083	-0.2361648678779602	-0.6706282	Yes	
row_27	RPL31	11124	-0.23947113752365112	-0.6643187	Yes	
row_28	RPS15	11173	-0.24322493374347687	-0.6584577	Yes	
row_29	RPL30	11324	-0.25755733251571655	-0.6596149	Yes	
row_30	RPL3	11326	-0.25780677795410156	-0.64969915	Yes	
row_31	RPS14	11369	-0.26242512464523315	-0.6426487	Yes	
row_32	RPL19	11392	-0.2655058801174164	-0.63399386	Yes	
row_33	RPS5	11430	-0.2687750458717346	-0.6263261	Yes	
row_34	RPL37	11439	-0.26964908838272095	-0.6164712	Yes	
row_35	RPL22	11503	-0.27660199999809265	-0.6104306	Yes	
row_36	RPS27A	11541	-0.28074681758880615	-0.602299	Yes	
row_37	RPL13	11542	-0.2808026671409607	-0.59141785	Yes	
row_38	RPS24	11604	-0.2892359495162964	-0.5847392	Yes	
row_39	RPL6	11607	-0.2894436717033386	-0.5736718	Yes	
row_40	RPLP2	11617	-0.29010602831840515	-0.56309843	Yes	
row_41	RPL4	11666	-0.2957981526851654	-0.5552003	Yes	
row_42	RPL26	11674	-0.29629844427108765	-0.5442385	Yes	
row_43	RPL35	11716	-0.3005048930644989	-0.53563815	Yes	
row_44	RPL17	11749	-0.3047431409358978	-0.5262054	Yes	
row_45	RPL10A	11788	-0.3100014328956604	-0.5170144	Yes	
row_46	RPL36	11827	-0.3177618384361267	-0.5075226	Yes	
row_47	FAU	11854	-0.32328638434410095	-0.49692577	Yes	
row_48	RPL18	11870	-0.3256289064884186	-0.48542142	Yes	
row_49	RPL38	11873	-0.3259750306606293	-0.4729384	Yes	
row_50	RPS25	11896	-0.3290282189846039	-0.46182206	Yes	
row_51	RPL32	11918	-0.33356359601020813	-0.45045573	Yes	
row_52	RPL23A	11955	-0.3378375768661499	-0.44003755	Yes	
row_53	RPL13A	11964	-0.33957424759864807	-0.42747307	Yes	
row_54	UBA52	11988	-0.3436826467514038	-0.41586313	Yes	
row_55	RPL14	11998	-0.3451676666736603	-0.40315613	Yes	
row_56	RPL29	12036	-0.3498423993587494	-0.392347	Yes	
row_57	RPS13	12044	-0.35137906670570374	-0.37925082	Yes	
row_58	RPL34	12053	-0.35277387499809265	-0.36617485	Yes	
row_59	RPS10	12084	-0.3590686023235321	-0.35448846	Yes	
