NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
PROTEIN SYNTHESIS: GLUTAMINE%SMPDB%SMP0111862	PROTEIN SYNTHESIS: GLUTAMINE%SMPDB%SMP0111862	Details ...	73	-0.7289149	-2.5220702	0.0	0.0	0.0	3033	tags=88%, list=22%, signal=112%	
EUKARYOTIC TRANSLATION ELONGATION%REACTOME%R-HSA-156842.4	EUKARYOTIC TRANSLATION ELONGATION%REACTOME%R-HSA-156842.4	Details ...	84	-0.7165382	-2.5182846	0.0	0.0	0.0	3033	tags=83%, list=22%, signal=107%	
PROTEIN SYNTHESIS: SERINE%PATHWHIZ%PW120517	PROTEIN SYNTHESIS: SERINE%PATHWHIZ%PW120517	Details ...	73	-0.7289149	-2.515704	0.0	0.0	0.0	3033	tags=88%, list=22%, signal=112%	
PROTEIN SYNTHESIS: GLUTAMIC ACID%PATHWHIZ%PW112922	PROTEIN SYNTHESIS: GLUTAMIC ACID%PATHWHIZ%PW112922	Details ...	74	-0.7250569	-2.509689	0.0	0.0	0.0	3033	tags=86%, list=22%, signal=111%	
PROTEIN SYNTHESIS: THREONINE%PATHWHIZ%PW120525	PROTEIN SYNTHESIS: THREONINE%PATHWHIZ%PW120525	Details ...	74	-0.7295581	-2.4943209	0.0	0.0	0.0	3033	tags=88%, list=22%, signal=113%	
PROTEIN SYNTHESIS: LYSINE%SMPDB%SMP0111874	PROTEIN SYNTHESIS: LYSINE%SMPDB%SMP0111874	Details ...	74	-0.72973007	-2.490694	0.0	0.0	0.0	3033	tags=88%, list=22%, signal=113%	
PROTEIN SYNTHESIS: ALANINE%PATHWHIZ%PW101384	PROTEIN SYNTHESIS: ALANINE%PATHWHIZ%PW101384	Details ...	74	-0.72766745	-2.4881732	0.0	0.0	0.0	3033	tags=86%, list=22%, signal=111%	
PROTEIN SYNTHESIS: TYROSINE%PATHWHIZ%PW120527	PROTEIN SYNTHESIS: TYROSINE%PATHWHIZ%PW120527	Details ...	74	-0.7287398	-2.4880292	0.0	0.0	0.0	3033	tags=86%, list=22%, signal=111%	
PROTEIN SYNTHESIS: PHENYLALANINE%PATHWHIZ%PW112934	PROTEIN SYNTHESIS: PHENYLALANINE%PATHWHIZ%PW112934	Details ...	75	-0.7275152	-2.4859803	0.0	0.0	0.0	3033	tags=87%, list=22%, signal=111%	
PROTEIN SYNTHESIS: HISTIDINE%PATHWHIZ%PW112929	PROTEIN SYNTHESIS: HISTIDINE%PATHWHIZ%PW112929	Details ...	74	-0.72617924	-2.4812217	0.0	0.0	0.0	3033	tags=86%, list=22%, signal=111%	
