NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HLA-DQA2	25	1.6876332759857178	0.14260527	Yes	
row_1	FCGR2B	137	1.0012704133987427	0.22010505	Yes	
row_2	HLA-DQA1	176	0.9322348237037659	0.29709116	Yes	
row_3	LGMN	236	0.8391691446304321	0.36455917	Yes	
row_4	HLA-DQB1	237	0.838809609413147	0.4363571	Yes	
row_5	HLA-DRA	453	0.6504449844360352	0.47614133	Yes	
row_6	HLA-DMB	575	0.5933690667152405	0.51798767	Yes	
row_7	HLA-DPB1	593	0.5861424207687378	0.5669021	Yes	
row_8	HLA-DRB1	607	0.5782455205917358	0.6154362	Yes	
row_9	HLA-DPA1	613	0.5763171911239624	0.6643966	Yes	
row_10	HLA-DOA	951	0.44394412636756897	0.6774883	Yes	
row_11	IFI30	1448	0.3267452120780945	0.66879684	Yes	
row_12	FCER1G	1473	0.32149118185043335	0.69454104	Yes	
row_13	CTSD	1632	0.3008999824523926	0.7086188	Yes	
row_14	HLA-DMA	1647	0.29795223474502563	0.73308736	Yes	
row_15	HLA-DRB5	1942	0.2617086172103882	0.7337588	Yes	
row_16	DNM2	4534	0.07999245822429657	0.5491054	No	
row_17	CTSF	6889	-0.01916237361729145	0.37676185	No	
row_18	PIKFYVE	6994	-0.02344423159956932	0.37108192	No	
row_19	B2M	8064	-0.06803324818611145	0.29789564	No	
row_20	CTSL	9379	-0.12553472816944122	0.21152325	No	
row_21	CTSS	11453	-0.2711317539215088	0.08151571	No	
row_22	HLA-DOB	13240	-0.8592425584793091	0.023059638	No	
