NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HLA-DQA2	25	1.6876332759857178	0.14070484	Yes	
row_1	FCGR2B	137	1.0012704133987427	0.21707553	Yes	
row_2	HLA-DQA1	176	0.9322348237037659	0.29301146	Yes	
row_3	LGMN	236	0.8391691446304321	0.35953373	Yes	
row_4	HLA-DQB1	237	0.838809609413147	0.4303873	Yes	
row_5	HLA-DRA	453	0.6504449844360352	0.4694357	Yes	
row_6	HLA-DMB	575	0.5933690667152405	0.510612	Yes	
row_7	HLA-DPB1	593	0.5861424207687378	0.55886626	Yes	
row_8	HLA-DRB1	607	0.5782455205917358	0.6067491	Yes	
row_9	HLA-DPA1	613	0.5763171911239624	0.6550605	Yes	
row_10	HLA-DOA	951	0.44394412636756897	0.667647	Yes	
row_11	IFI30	1448	0.3267452120780945	0.6585795	Yes	
row_12	FCER1G	1473	0.32149118185043335	0.6839614	Yes	
row_13	CTSD	1632	0.3008999824523926	0.6976978	Yes	
row_14	HLA-DMA	1647	0.29795223474502563	0.7218306	Yes	
row_15	HLA-DRB5	1942	0.2617086172103882	0.7222026	Yes	
row_16	MARCHF1	4027	0.10562414675951004	0.57706237	No	
row_17	DNM2	4534	0.07999245822429657	0.5464126	No	
row_18	ARL8B	5249	0.04901250824332237	0.4977693	No	
row_19	MARCHF8	6349	0.0010796865681186318	0.41661558	No	
row_20	CTSF	6889	-0.01916237361729145	0.37838796	No	
row_21	PIKFYVE	6994	-0.02344423159956932	0.37267995	No	
row_22	B2M	8064	-0.06803324818611145	0.29939952	No	
row_23	CTSL	9379	-0.12553472816944122	0.2128643	No	
row_24	CTSS	11453	-0.2711317539215088	0.082517505	No	
row_25	HLA-DOB	13240	-0.8592425584793091	0.023064785	No	
