NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HLA-DQA2	25	1.6876332759857178	0.06342798	Yes	
row_1	HLA-DQA1	176	0.9322348237037659	0.08834767	Yes	
row_2	LGMN	236	0.8391691446304321	0.11642745	Yes	
row_3	HLA-DQB1	237	0.838809609413147	0.14887635	Yes	
row_4	CD74	443	0.6568570137023926	0.15905733	Yes	
row_5	HLA-DRA	453	0.6504449844360352	0.18355085	Yes	
row_6	CTSH	487	0.6347782611846924	0.20565538	Yes	
row_7	HLA-DMB	575	0.5933690667152405	0.22214644	Yes	
row_8	KIF23	577	0.5931360125541687	0.24501729	Yes	
row_9	KIF5B	587	0.5886629819869995	0.2671208	Yes	
row_10	HLA-DPB1	593	0.5861424207687378	0.28942397	Yes	
row_11	HLA-DRB1	607	0.5782455205917358	0.31082734	Yes	
row_12	HLA-DPA1	613	0.5763171911239624	0.3327504	Yes	
row_13	CTSB	668	0.5532867312431335	0.35014242	Yes	
row_14	KIF20A	795	0.5024334192276001	0.36021844	Yes	
row_15	KIF18A	848	0.4817037582397461	0.37498987	Yes	
row_16	CENPE	899	0.4573633074760437	0.3889683	Yes	
row_17	HLA-DOA	951	0.44394412636756897	0.4023533	Yes	
row_18	KIF11	956	0.4417091906070709	0.41914344	Yes	
row_19	SEC24D	966	0.4385693073272705	0.43544066	Yes	
row_20	CAPZA2	992	0.42938026785850525	0.4501938	Yes	
row_21	DNM1	1423	0.3306046426296234	0.43103892	Yes	
row_22	IFI30	1448	0.3267452120780945	0.44189593	Yes	
row_23	DYNC1I1	1554	0.3101033866405487	0.44609183	Yes	
row_24	DYNC1LI1	1558	0.3095000386238098	0.45784178	Yes	
row_25	DYNLL1	1569	0.30837324261665344	0.46902817	Yes	
row_26	CTSD	1632	0.3008999824523926	0.47606242	Yes	
row_27	HLA-DMA	1647	0.29795223474502563	0.4865485	Yes	
row_28	CTSA	1674	0.2945820391178131	0.49601275	Yes	
row_29	SEC23A	1753	0.2821226716041565	0.501132	Yes	
row_30	AP2S1	1813	0.27594566345214844	0.50742376	Yes	
row_31	KIF15	1830	0.2736552655696869	0.5168214	Yes	
row_32	CAPZA1	1931	0.2629792392253876	0.5195657	Yes	
row_33	HLA-DRB5	1942	0.2617086172103882	0.5289469	Yes	
row_34	AP1B1	2031	0.2515849769115448	0.5321419	Yes	
row_35	ACTR1A	2033	0.2510906755924225	0.5417809	Yes	
row_36	AP2A2	2322	0.2224758416414261	0.5289921	No	
row_37	KIF3C	2419	0.21338537335395813	0.5301151	No	
row_38	CLTC	2693	0.19060873985290527	0.5172079	No	
row_39	RILP	2864	0.17631547152996063	0.5113995	No	
row_40	SEC24A	2866	0.176232248544693	0.51814264	No	
row_41	SEC13	2869	0.1759948581457138	0.5248023	No	
row_42	SEC31A	2922	0.17210185527801514	0.527597	No	
row_43	DYNC1H1	2993	0.16831931471824646	0.52890813	No	
row_44	AP1M1	3209	0.1534031182527542	0.5188704	No	
row_45	AP1S3	3436	0.13815219700336456	0.5074255	No	
row_46	CTSO	3443	0.13792221248149872	0.5123152	No	
row_47	KIF3B	3449	0.13751812279224396	0.5172636	No	
row_48	DYNLL2	3572	0.13048845529556274	0.51324826	No	
row_49	KLC1	3632	0.12751959264278412	0.51379824	No	
row_50	CANX	3685	0.12493544816970825	0.5147683	No	
row_51	RAB7A	3797	0.11879178881645203	0.51111764	No	
row_52	DCTN1	3844	0.11623869836330414	0.51219696	No	
row_53	RACGAP1	4008	0.10666560381650925	0.5042142	No	
row_54	SEC24C	4049	0.10432960838079453	0.50527865	No	
row_55	AP1G1	4073	0.10327650606632233	0.5075652	No	
row_56	ARF1	4185	0.09785281121730804	0.5031045	No	
row_57	CTSK	4324	0.09061479568481445	0.49635807	No	
row_58	DYNC1LI2	4326	0.09050044417381287	0.49978474	No	
row_59	CAPZB	4401	0.08657637238502502	0.49763653	No	
row_60	AP2M1	4431	0.0850234106183052	0.49877125	No	
row_61	DNM2	4534	0.07999245822429657	0.49428827	No	
row_62	AP2B1	4976	0.05996271222829819	0.4638466	No	
row_63	KIFAP3	5206	0.05101940408349037	0.44880813	No	
row_64	DCTN3	5328	0.04515664279460907	0.44156605	No	
row_65	KIF26A	5534	0.03609240800142288	0.4277331	No	
row_66	SAR1B	5653	0.03119034320116043	0.42017362	No	
row_67	DCTN5	5900	0.019908413290977478	0.40266874	No	
row_68	KIF22	6093	0.011238493956625462	0.38884008	No	
row_69	KLC4	6330	0.0016432175179943442	0.3713715	No	
row_70	CTSC	6751	-0.014296290464699268	0.3407233	No	
row_71	CTSF	6889	-0.01916237361729145	0.33128706	No	
row_72	DCTN2	7158	-0.031831879168748856	0.31260908	No	
row_73	ACTR1B	7175	-0.032814137637615204	0.31268984	No	
row_74	CLTA	7242	-0.035440657287836075	0.3091578	No	
row_75	DCTN4	7403	-0.041454631835222244	0.29887527	No	
row_76	KIF3A	7819	-0.05828641355037689	0.27030024	No	
row_77	DCTN6	8191	-0.07370958477258682	0.24559055	No	
row_78	SEC24B	8210	-0.07440105825662613	0.24713153	No	
row_79	ACTR10	8442	-0.0838296115398407	0.23321374	No	
row_80	CTSL	9379	-0.12553472816944122	0.16853577	No	
row_81	AP1S2	9838	-0.15032896399497986	0.14032695	No	
row_82	KIF5C	10642	-0.20231249928474426	0.08849949	No	
row_83	DYNC1I2	10747	-0.20935645699501038	0.088872306	No	
row_84	AP2A1	10946	-0.22501599788665771	0.08286777	No	
row_85	KLC2	11143	-0.24124740064144135	0.077639714	No	
row_86	OSBPL1A	11270	-0.2532142996788025	0.078074805	No	
row_87	CTSS	11453	-0.2711317539215088	0.07504285	No	
row_88	KIF2A	11750	-0.30489102005958557	0.064847946	No	
row_89	AP1S1	12286	-0.39610370993614197	0.040426556	No	
row_90	DNM3	12727	-0.5230816006660461	0.027974669	No	
row_91	HLA-DOB	13240	-0.8592425584793091	0.023178201	No	
