NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL4A3	12	2.0583102703094482	0.11948157	Yes	
row_1	COL4A4	17	1.858399510383606	0.22786461	Yes	
row_2	TNC	43	1.4211589097976685	0.3091232	Yes	
row_3	COL4A6	282	0.8033772110939026	0.33848548	Yes	
row_4	F13A1	333	0.7426541447639465	0.37821436	Yes	
row_5	CD14	513	0.6196834444999695	0.40120202	Yes	
row_6	COL4A5	524	0.6164843440055847	0.43651372	Yes	
row_7	COL6A1	586	0.588861346244812	0.46643445	Yes	
row_8	THBS1	681	0.5480862855911255	0.4915277	Yes	
row_9	LAMB3	756	0.5181285738945007	0.5163496	Yes	
row_10	COL5A2	903	0.4560822546482086	0.53221285	Yes	
row_11	ITGA1	1006	0.4242095649242401	0.54946953	Yes	
row_12	COL3A1	1075	0.4078233242034912	0.568285	Yes	
row_13	VCAM1	1102	0.40083667635917664	0.58980113	Yes	
row_14	ITGAV	1237	0.3709219694137573	0.6015726	Yes	
row_15	FBN1	1348	0.3447408080101013	0.6135897	Yes	
row_16	SPP1	1467	0.32219594717025757	0.62369615	Yes	
row_17	LAMB2	1687	0.2923239767551422	0.62457865	Yes	
row_18	TGFBI	2015	0.2531893253326416	0.6151773	No	
row_19	COL1A2	3083	0.16248300671577454	0.54568905	No	
row_20	COL4A1	3232	0.1521792858839035	0.54363203	No	
row_21	ITGB1	3680	0.1252610832452774	0.5178658	No	
row_22	LAMA4	3876	0.11381787061691284	0.51008594	No	
row_23	ITGA7	3899	0.11280263960361481	0.515054	No	
row_24	JAM2	4186	0.09782705456018448	0.49960226	No	
row_25	LAMA1	4620	0.07648266106843948	0.47201988	No	
row_26	CD81	5169	0.052496977150440216	0.43452135	No	
row_27	IGSF8	5256	0.048768412321805954	0.43100673	No	
row_28	COL1A1	6091	0.01137509010732174	0.36993074	No	
row_29	LAMA3	6226	0.006054782774299383	0.3603648	No	
row_30	NID1	6486	-0.004036705009639263	0.34142703	No	
row_31	MDK	6516	-0.004904383327811956	0.33956698	No	
row_32	COL18A1	7153	-0.0317487008869648	0.29434043	No	
row_33	PLAUR	7374	-0.040526799857616425	0.2804238	No	
row_34	ITGA6	7909	-0.061625707894563675	0.24449553	No	
row_35	ITGA2	9220	-0.11891617625951767	0.15447016	No	
row_36	NPNT	9259	-0.12081082165241241	0.15872203	No	
row_37	THBS2	9722	-0.14493432641029358	0.13299583	No	
row_38	LAMC1	10397	-0.18544483184814453	0.09394428	No	
row_39	LAMC2	10780	-0.21188396215438843	0.07805571	No	
row_40	CSPG4	10920	-0.2229268103837967	0.08080227	No	
row_41	LAMA5	11350	-0.26102131605148315	0.06430783	No	
row_42	ITGA4	11574	-0.28465893864631653	0.06444594	No	
row_43	LAMB1	12818	-0.5581745505332947	0.005068428	No	
row_44	VEGFA	13224	-0.8412402868270874	0.024281906	No	
