NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPLP0	8878	-0.10199917107820511	-0.654341	No	
row_1	RPS21	9009	-0.10896848142147064	-0.6594292	No	
row_2	RPL12	9149	-0.11539191007614136	-0.66491646	No	
row_3	RPL28	9272	-0.12121623754501343	-0.6688991	No	
row_4	RPLP1	9274	-0.12136620283126831	-0.66389924	No	
row_5	RPL15	9803	-0.1486978381872177	-0.6968517	No	
row_6	RPL10	9805	-0.14873819053173065	-0.69070745	No	
row_7	RPL7A	10186	-0.17048469185829163	-0.7117698	No	
row_8	RPS8	10334	-0.1807834655046463	-0.7151167	No	
row_9	RPS4X	10521	-0.1933870017528534	-0.72082984	Yes	
row_10	RPL27A	10579	-0.1975574791431427	-0.7167989	Yes	
row_11	RPS11	10629	-0.20171786844730377	-0.71200055	Yes	
row_12	RPS19	10662	-0.20346353948116302	-0.70586807	Yes	
row_13	RACK1	10759	-0.21034492552280426	-0.7041957	Yes	
row_14	RPS27	10813	-0.21358712017536163	-0.6991978	Yes	
row_15	RPL8	10904	-0.2213021218776703	-0.69662225	Yes	
row_16	RPS23	11029	-0.23258458077907562	-0.69609725	Yes	
row_17	RPS16	11083	-0.2361648678779602	-0.69015545	Yes	
row_18	RPL31	11124	-0.23947113752365112	-0.6831111	Yes	
row_19	RPS15	11173	-0.24322493374347687	-0.67650324	Yes	
row_20	RPL30	11324	-0.25755733251571655	-0.6768629	Yes	
row_21	RPL3	11326	-0.25780677795410156	-0.6661588	Yes	
row_22	RPS14	11369	-0.26242512464523315	-0.6583031	Yes	
row_23	RPL19	11392	-0.2655058801174164	-0.64883494	Yes	
row_24	RPS5	11430	-0.2687750458717346	-0.6403429	Yes	
row_25	RPL37	11439	-0.26964908838272095	-0.62966293	Yes	
row_26	RPL22	11503	-0.27660199999809265	-0.6227724	Yes	
row_27	RPL13	11542	-0.2808026671409607	-0.61385167	Yes	
row_28	RPS24	11604	-0.2892359495162964	-0.6062846	Yes	
row_29	RPL6	11607	-0.2894436717033386	-0.594332	Yes	
row_30	RPLP2	11617	-0.29010602831840515	-0.58287096	Yes	
row_31	RPL4	11666	-0.2957981526851654	-0.57406515	Yes	
row_32	RPL26	11674	-0.29629844427108765	-0.56219685	Yes	
row_33	RPL35	11716	-0.3005048930644989	-0.55267495	Yes	
row_34	RPL17	11749	-0.3047431409358978	-0.5423082	Yes	
row_35	RPL10A	11788	-0.3100014328956604	-0.5321668	Yes	
row_36	RPL36	11827	-0.3177618384361267	-0.52170086	Yes	
row_37	FAU	11854	-0.32328638434410095	-0.5101137	Yes	
row_38	RPL18	11870	-0.3256289064884186	-0.49761268	Yes	
row_39	RPL38	11873	-0.3259750306606293	-0.48413277	Yes	
row_40	RPS25	11896	-0.3290282189846039	-0.47200888	Yes	
row_41	RPL32	11918	-0.33356359601020813	-0.45962122	Yes	
row_42	RPL23A	11955	-0.3378375768661499	-0.44816762	Yes	
row_43	RPL13A	11964	-0.33957424759864807	-0.43456426	Yes	
row_44	UBA52	11988	-0.3436826467514038	-0.42190188	Yes	
row_45	RPL14	11998	-0.3451676666736603	-0.40813887	Yes	
row_46	RPL29	12036	-0.3498423993587494	-0.39625755	Yes	
row_47	RPS13	12044	-0.35137906670570374	-0.38208646	Yes	
row_48	RPL34	12053	-0.35277387499809265	-0.36793125	Yes	
row_49	RPS10	12084	-0.3590686023235321	-0.35514492	Yes	
row_50	RPL5	12085	-0.35935884714126587	-0.34012094	Yes	
row_51	RPS7	12165	-0.37317460775375366	-0.33037987	Yes	
row_52	RPL24	12181	-0.3769437372684479	-0.31573346	Yes	
row_53	RPS2	12189	-0.37811675667762756	-0.30044454	Yes	
row_54	RPS20	12233	-0.38652855157852173	-0.28747457	Yes	
row_55	RPL35A	12235	-0.387062668800354	-0.27136654	Yes	
row_56	RPL37A	12258	-0.39100515842437744	-0.25665155	Yes	
row_57	RPS12	12265	-0.3917199373245239	-0.24071972	Yes	
row_58	RPS15A	12298	-0.3990958333015442	-0.22640832	Yes	
row_59	RPS9	12302	-0.3997804522514343	-0.20991695	Yes	
row_60	RPS29	12373	-0.41608303785324097	-0.19771433	Yes	
row_61	RPS18	12534	-0.45792335271835327	-0.19043902	Yes	
row_62	RPL27	12565	-0.4642496407032013	-0.17325531	Yes	
row_63	RPSA	12602	-0.47591546177864075	-0.15602899	Yes	
row_64	RPS6	12625	-0.48489782214164734	-0.13738854	Yes	
row_65	RPL23	12639	-0.49101176857948303	-0.11782484	Yes	
row_66	RPL11	12664	-0.49814900755882263	-0.09877877	Yes	
row_67	RPS3A	12728	-0.5232251286506653	-0.081577495	Yes	
row_68	RPL41	12799	-0.5502439141273499	-0.06376591	Yes	
row_69	RPL21	12810	-0.5547853112220764	-0.04131343	Yes	
row_70	RPS3	12943	-0.6289805769920349	-0.024809454	Yes	
row_71	RPL39	13081	-0.7163982391357422	-0.0050216625	Yes	
row_72	RPL36A	13305	-0.9540812969207764	0.018323302	Yes	
