NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PIKFYVE	2435	1.810276985168457	-0.15173629	No	
row_1	LNPEP	2879	1.3568347692489624	-0.17427531	No	
row_2	CD1A	6382	0.011637208051979542	-0.40528154	No	
row_3	CD1C	6619	-0.026041138917207718	-0.42072454	No	
row_4	DNM2	6785	-0.0513075515627861	-0.4313583	No	
row_5	CTSE	7180	-0.12052083760499954	-0.45676035	No	
row_6	LGMN	8076	-0.302280068397522	-0.5143224	No	
row_7	CD1E	9110	-0.568779706954956	-0.5796757	No	
row_8	CTSD	9116	-0.5705710649490356	-0.5771922	No	
row_9	MPEG1	9176	-0.5901519060134888	-0.57817507	No	
row_10	FCGR2B	10752	-1.1761950254440308	-0.6762947	No	
row_11	MR1	11548	-1.5456969738006592	-0.7211276	No	
row_12	HLA-DQB2	11970	-1.7838993072509766	-0.7401093	No	
row_13	CLEC4A	12314	-2.0309603214263916	-0.75272626	No	
row_14	MFSD6	12742	-2.3609001636505127	-0.76925874	No	
row_15	CTSF	12781	-2.396587610244751	-0.75994885	No	
row_16	IKBKB	13756	-3.425952434539795	-0.807321	Yes	
row_17	CD1D	13954	-3.7113146781921387	-0.80201936	Yes	
row_18	HLA-DQB1	14003	-3.8160595893859863	-0.78637004	Yes	
row_19	HLA-DQA1	14260	-4.2740678787231445	-0.7821864	Yes	
row_20	HLA-DQA2	14348	-4.473880290985107	-0.7658667	Yes	
row_21	FCER1G	14516	-4.856703758239746	-0.7529379	Yes	
row_22	CTSS	14991	-7.176479339599609	-0.7488266	Yes	
row_23	HLA-DPB1	15026	-7.668962478637695	-0.71325564	Yes	
row_24	HLA-DRB5	15066	-8.290501594543457	-0.6749498	Yes	
row_25	HLA-DOA	15076	-8.431190490722656	-0.6339709	Yes	
row_26	HLA-DRB1	15082	-8.55451488494873	-0.59211993	Yes	
row_27	HLA-DMB	15088	-8.659514427185059	-0.5497513	Yes	
row_28	HLA-DPA1	15109	-9.121464729309082	-0.5060945	Yes	
row_29	HLA-DRA	15118	-9.25808334350586	-0.4609723	Yes	
row_30	IFI30	15134	-10.030172348022461	-0.41250497	Yes	
row_31	B2M	15138	-10.261972427368164	-0.36210287	Yes	
row_32	HLA-E	15150	-11.117681503295898	-0.30800927	Yes	
row_33	HLA-DMA	15159	-11.834590911865234	-0.25018278	Yes	
row_34	PSMB10	15161	-12.009282112121582	-0.19103305	Yes	
row_35	HLA-DOB	15164	-12.35726261138916	-0.13023347	Yes	
row_36	HLA-A	15166	-12.697202682495117	-0.067691706	Yes	
row_37	HLA-F	15179	-14.076173782348633	9.237272E-4	Yes	
