NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FZD1	30	26.452774047851562	0.054468494	Yes	
row_1	DCHS1	40	24.76897621154785	0.1067356	Yes	
row_2	CDH11	47	24.027847290039062	0.15761983	Yes	
row_3	FSTL1	53	23.427934646606445	0.20728998	Yes	
row_4	ACTA2	64	22.187326431274414	0.25398085	Yes	
row_5	FAT3	143	17.99896812438965	0.2872242	Yes	
row_6	PCDHGC3	176	16.416418075561523	0.32013977	Yes	
row_7	TCF7L1	230	14.652746200561523	0.34789884	Yes	
row_8	PCDHGA5	258	13.955464363098145	0.37589356	Yes	
row_9	ACTG2	278	13.48021411895752	0.40340436	Yes	
row_10	PCDHGA12	311	12.908005714416504	0.42883196	Yes	
row_11	PCDH12	408	10.974843978881836	0.44589052	Yes	
row_12	CDH5	413	10.799599647521973	0.46867463	Yes	
row_13	PCDHGA6	474	9.863424301147461	0.4857479	Yes	
row_14	PCDH18	581	8.700961112976074	0.49729037	Yes	
row_15	PCDHGC5	638	8.19792366027832	0.5110742	Yes	
row_16	WNT2B	645	8.08743667602539	0.52793723	Yes	
row_17	FZD7	711	7.524382591247559	0.53968686	Yes	
row_18	FAT1	794	6.790948867797852	0.548744	Yes	
row_19	PCDHB3	844	6.397714138031006	0.5591498	Yes	
row_20	PCDHGB1	919	5.998349666595459	0.56704575	Yes	
row_21	PCDHB6	941	5.846725940704346	0.578132	Yes	
row_22	WNT11	968	5.712507724761963	0.5886002	Yes	
row_23	FZD2	1074	5.131906986236572	0.59259164	Yes	
row_24	PCDHGB7	1084	5.062732696533203	0.6028002	Yes	
row_25	PCDHB4	1113	4.91454553604126	0.6114328	Yes	
row_26	PCDHB12	1121	4.894360065460205	0.6214146	Yes	
row_27	WNT5A	1195	4.601298809051514	0.62639517	Yes	
row_28	WNT4	1211	4.527511119842529	0.63506365	Yes	
row_29	PCDHGA3	1320	4.132284164428711	0.6367227	Yes	
row_30	WNT9A	1329	4.101891040802002	0.6449468	Yes	
row_31	PCDHGA2	1349	4.0452680587768555	0.65232086	Yes	
row_32	PCDHB11	1363	3.9906365871429443	0.65997607	Yes	
row_33	CDH23	1371	3.9598371982574463	0.6679634	Yes	
row_34	PCDHGC4	1429	3.789128065109253	0.6722713	Yes	
row_35	PCDHGA7	1457	3.723248243331909	0.67842764	Yes	
row_36	CDH13	1465	3.6944029331207275	0.6858484	Yes	
row_37	WNT7A	1486	3.618502616882324	0.6922453	Yes	
row_38	PCDHB14	1526	3.506633996963501	0.69714373	Yes	
row_39	PCDHGB6	1595	3.3535189628601074	0.6997927	Yes	
row_40	CDH2	1654	3.2010247707366943	0.7027792	Yes	
row_41	PCDH9	1705	3.0489578247070312	0.7059715	Yes	
row_42	WNT2	1711	3.034649610519409	0.7121168	Yes	
row_43	PCDHA12	1725	3.0071053504943848	0.7176728	Yes	
row_44	CTNNB1	1766	2.93108868598938	0.7212766	Yes	
row_45	PCDHGA10	1775	2.921626329421997	0.72698176	Yes	
row_46	PCDHGA8	1790	2.8882999420166016	0.73221797	Yes	
row_47	PCDHAC2	1792	2.8840696811676025	0.73830706	Yes	
row_48	PCDHGB4	1824	2.8110201358795166	0.7422513	Yes	
row_49	WNT7B	1833	2.7960402965545654	0.7476884	Yes	
row_50	PCDHGA1	1846	2.762096881866455	0.7527879	Yes	
row_51	FZD10	1917	2.588817834854126	0.7536721	Yes	
row_52	ACTB	1949	2.52866268157959	0.7570137	Yes	
row_53	CDH22	2023	2.404728412628174	0.75730616	Yes	
row_54	PCDHA11	2039	2.3855953216552734	0.7614032	Yes	
row_55	PCDH7	2101	2.2935478687286377	0.76225394	Yes	
row_56	PCDHA13	2160	2.2037513256073	0.763112	Yes	
row_57	WNT3	2172	2.18337082862854	0.7670426	Yes	
row_58	WNT10A	2196	2.1571340560913086	0.77012163	Yes	
row_59	PCDHA6	2229	2.1078569889068604	0.7724988	Yes	
row_60	PCDHA7	2361	1.9036450386047363	0.7678764	No	
row_61	LEF1	2487	1.7486071586608887	0.7633209	No	
row_62	PCDHAC1	2616	1.6084736585617065	0.75826746	No	
row_63	PCDHA10	2704	1.5089809894561768	0.75571996	No	
row_64	FZD8	2774	1.4417717456817627	0.75422245	No	
row_65	PCDHA5	2804	1.414254903793335	0.75531816	No	
row_66	PCDHGA11	2808	1.4126415252685547	0.7581342	No	
row_67	CTNND1	2928	1.3151702880859375	0.75305146	No	
row_68	PCDHGB2	3021	1.2277597188949585	0.7495723	No	
row_69	PCDHB10	3079	1.1811044216156006	0.74831396	No	
row_70	ACTR2	3108	1.1626249551773071	0.7489389	No	
row_71	PCDHA1	3205	1.0881016254425049	0.7448965	No	
row_72	CTNND2	3235	1.067156434059143	0.74525136	No	
row_73	ACTG1	3313	1.0249086618423462	0.7423337	No	
row_74	PCDHA2	3365	0.9829784035682678	0.74105036	No	
row_75	WNT5B	3445	0.9370843172073364	0.7378127	No	
row_76	PCDH1	3796	0.7427226305007935	0.71619296	No	
row_77	PTPN1	3826	0.7307386994361877	0.71582985	No	
row_78	CELSR1	3998	0.6519840359687805	0.7058841	No	
row_79	CDH24	4001	0.6518194079399109	0.70714265	No	
row_80	FAT2	4030	0.6413025856018066	0.70665497	No	
row_81	FER	4062	0.6289405822753906	0.70594203	No	
row_82	FZD9	4279	0.5304703116416931	0.69275343	No	
row_83	FZD6	4378	0.4962834417819977	0.6873152	No	
row_84	PCDHB5	4426	0.47347167134284973	0.6852097	No	
row_85	WNT6	4435	0.47087982296943665	0.68568426	No	
row_86	PCDHB2	4472	0.457050085067749	0.68427294	No	
row_87	CDH6	4512	0.4447535574436188	0.6826365	No	
row_88	PCDHB16	4669	0.39394503831863403	0.6731345	No	
row_89	FZD5	4723	0.3786065876483917	0.67042863	No	
row_90	CELSR2	4784	0.35822629928588867	0.6672152	No	
row_91	PCDHB13	4889	0.3318162262439728	0.6610282	No	
row_92	CDH3	5201	0.25174596905708313	0.64094627	No	
row_93	PCDHA4	5761	0.12403012812137604	0.6041494	No	
row_94	PCDHA3	5886	0.09902193397283554	0.59613955	No	
row_95	PCDHB7	6013	0.0771397203207016	0.5879504	No	
row_96	TCF7L2	6182	0.04621336609125137	0.5769107	No	
row_97	CDHR1	6337	0.018128776922822	0.5667392	No	
row_98	CDH18	6433	0.004199194256216288	0.5604497	No	
row_99	CELSR3	6528	-0.01015341654419899	0.5542392	No	
row_100	PCDHB8	6750	-0.046973228454589844	0.53968716	No	
row_101	PCDH19	6773	-0.04995531588792801	0.5383352	No	
row_102	FZD4	7104	-0.10823050141334534	0.5166873	No	
row_103	CDH16	7643	-0.20968914031982422	0.4814655	No	
row_104	PCDHB15	8763	-0.47300997376441956	0.40828556	No	
row_105	CDH20	8924	-0.5150778293609619	0.3987769	No	
row_106	WNT3A	9837	-0.8137933611869812	0.34004834	No	
row_107	CDH1	9848	-0.8163238167762756	0.3411276	No	
row_108	FZD3	10512	-1.0666226148605347	0.2994473	No	
row_109	PCDH10	11227	-1.3975982666015625	0.25509208	No	
row_110	CDH12	13916	-3.6483871936798096	0.084664874	No	
