NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL16A1	5	32.00046157836914	0.05686933	Yes	
row_1	COL5A1	7	31.1781005859375	0.112532906	Yes	
row_2	COL1A2	11	29.397796630859375	0.16488217	Yes	
row_3	COL1A1	20	27.48004722595215	0.2134733	Yes	
row_4	COL6A3	22	27.351099014282227	0.26229626	Yes	
row_5	COL6A2	25	26.964008331298828	0.31036127	Yes	
row_6	COL8A1	42	24.576276779174805	0.35323367	Yes	
row_7	COL5A2	59	22.85744857788086	0.3930337	Yes	
row_8	ADAMTS2	114	19.320634841918945	0.4240021	Yes	
row_9	P4HA3	129	18.85076904296875	0.45677248	Yes	
row_10	PCOLCE	163	17.18509864807129	0.48531064	Yes	
row_11	ADAMTS14	211	15.163331985473633	0.50931036	Yes	
row_12	COL4A2	212	15.11036205291748	0.5363195	Yes	
row_13	BMP1	213	15.095419883728027	0.563302	Yes	
row_14	COL14A1	218	15.053777694702148	0.58994585	Yes	
row_15	COL4A1	228	14.725882530212402	0.61567336	Yes	
row_16	COL5A3	283	13.445183753967285	0.63613963	Yes	
row_17	COL11A1	308	12.975887298583984	0.6577484	Yes	
row_18	COL4A5	316	12.779044151306152	0.6801281	Yes	
row_19	SERPINH1	321	12.643220901489258	0.7024632	Yes	
row_20	COL10A1	334	12.442176818847656	0.7239105	Yes	
row_21	COL9A3	431	10.494370460510254	0.7363284	Yes	
row_22	COL12A1	451	10.256308555603027	0.7534063	Yes	
row_23	COL4A6	454	10.195211410522461	0.7714977	Yes	
row_24	COL15A1	481	9.83417797088623	0.78735876	Yes	
row_25	COL8A2	500	9.574555397033691	0.80328405	Yes	
row_26	PLOD1	502	9.55329704284668	0.82029414	Yes	
row_27	COL2A1	519	9.34322452545166	0.83593804	Yes	
row_28	COL18A1	585	8.63586139678955	0.84708136	Yes	
row_29	COL7A1	692	7.690342903137207	0.85382664	Yes	
row_30	COL25A1	710	7.5265212059021	0.86615723	Yes	
row_31	PCOLCE2	802	6.738885879516602	0.87219256	Yes	
row_32	COL27A1	808	6.71028995513916	0.8838567	Yes	
row_33	COL6A6	816	6.652199745178223	0.89528495	Yes	
row_34	P4HA2	900	6.090365886688232	0.9006894	Yes	
row_35	P4HA1	1040	5.295558929443359	0.90097463	Yes	
row_36	TLL1	1182	4.63731050491333	0.8999512	No	
row_37	CRTAP	2469	1.7651033401489258	0.8181713	No	
row_38	COL13A1	2552	1.6832282543182373	0.81576425	No	
row_39	COL24A1	2691	1.5190420150756836	0.80936515	No	
row_40	PLOD3	3795	0.7429008483886719	0.73784447	No	
row_41	COL9A2	4073	0.6239818930625916	0.72066516	No	
row_42	PLOD2	4444	0.4690726697444916	0.6970666	No	
row_43	COL22A1	4852	0.34072402119636536	0.670795	No	
row_44	P4HB	5386	0.20896504819393158	0.63596606	No	
row_45	COL28A1	6193	0.04425230622291565	0.58281225	No	
row_46	COL23A1	6262	0.029813334345817566	0.5783744	No	
row_47	ADAMTS3	6429	0.004718590062111616	0.56741923	No	
row_48	COL4A4	10239	-0.9606071710586548	0.31756768	No	
row_49	COL9A1	10460	-1.0470776557922363	0.3049092	No	
row_50	COL4A3	10884	-1.2394574880599976	0.2791873	No	
row_51	PPIB	11272	-1.4190367460250854	0.256164	No	
row_52	COL11A2	11521	-1.5303364992141724	0.24252008	No	
