NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL16A1	5	32.00046157836914	0.07509504	Yes	
row_1	COL5A1	7	31.1781005859375	0.14851567	Yes	
row_2	COL1A2	11	29.397796630859375	0.2176082	Yes	
row_3	COL1A1	20	27.48004722595215	0.28185073	Yes	
row_4	COL6A3	22	27.351099014282227	0.34625116	Yes	
row_5	COL6A2	25	26.964008331298828	0.4096732	Yes	
row_6	COL8A1	42	24.576276779174805	0.46654382	Yes	
row_7	COL5A2	59	22.85744857788086	0.51936316	Yes	
row_8	COL4A2	212	15.11036205291748	0.5449505	Yes	
row_9	COL14A1	218	15.053777694702148	0.58010226	Yes	
row_10	COL4A1	228	14.725882530212402	0.61421734	Yes	
row_11	COL5A3	283	13.445183753967285	0.64234513	Yes	
row_12	COL11A1	308	12.975887298583984	0.6713459	Yes	
row_13	COL4A5	316	12.779044151306152	0.7010042	Yes	
row_14	COL10A1	334	12.442176818847656	0.7292088	Yes	
row_15	COL9A3	431	10.494370460510254	0.7476107	Yes	
row_16	COL12A1	451	10.256308555603027	0.7705313	Yes	
row_17	COL4A6	454	10.195211410522461	0.7944294	Yes	
row_18	COL15A1	481	9.83417797088623	0.81589323	Yes	
row_19	COL8A2	500	9.574555397033691	0.83727294	Yes	
row_20	COL2A1	519	9.34322452545166	0.8581074	Yes	
row_21	COL18A1	585	8.63586139678955	0.8741739	Yes	
row_22	COL7A1	692	7.690342903137207	0.88530695	Yes	
row_23	COL25A1	710	7.5265212059021	0.9019254	Yes	
row_24	COL27A1	808	6.71028995513916	0.91134226	Yes	
row_25	COL6A6	816	6.652199745178223	0.9265597	Yes	
row_26	COL13A1	2552	1.6832282543182373	0.816066	No	
row_27	COL24A1	2691	1.5190420150756836	0.8105423	No	
row_28	COL9A2	4073	0.6239818930625916	0.720906	No	
row_29	COL22A1	4852	0.34072402119636536	0.67038304	No	
row_30	COL28A1	6193	0.04425230622291565	0.5820852	No	
row_31	COL23A1	6262	0.029813334345817566	0.5776694	No	
row_32	COL4A4	10239	-0.9606071710586548	0.3176298	No	
row_33	COL9A1	10460	-1.0470776557922363	0.30558398	No	
row_34	COL4A3	10884	-1.2394574880599976	0.2805993	No	
row_35	COL11A2	11521	-1.5303364992141724	0.24224827	No	
