NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL5A1	7	31.1781005859375	0.06773302	Yes	
row_1	LOXL2	15	28.417787551879883	0.12942849	Yes	
row_2	COL1A1	20	27.48004722595215	0.18927085	Yes	
row_3	COL3A1	27	26.716320037841797	0.24731076	Yes	
row_4	LOXL1	31	26.20947265625	0.30444002	Yes	
row_5	COL5A2	59	22.85744857788086	0.35265347	Yes	
row_6	ADAMTS2	114	19.320634841918945	0.39134887	Yes	
row_7	LOX	115	19.259807586669922	0.43347535	Yes	
row_8	P4HA3	129	18.85076904296875	0.4738491	Yes	
row_9	ADAMTS14	211	15.163331985473633	0.5016693	Yes	
row_10	COL4A2	212	15.11036205291748	0.53471977	Yes	
row_11	BMP1	213	15.095419883728027	0.5677376	Yes	
row_12	COL14A1	218	15.053777694702148	0.6004003	Yes	
row_13	COL4A1	228	14.725882530212402	0.6320158	Yes	
row_14	COL5A3	283	13.445183753967285	0.65786	Yes	
row_15	LUM	313	12.807376861572266	0.6839592	Yes	
row_16	COL4A5	316	12.779044151306152	0.71177846	Yes	
row_17	SERPINH1	321	12.643220901489258	0.7391686	Yes	
row_18	PXDN	386	11.32361125946045	0.7597123	Yes	
row_19	COL12A1	451	10.256308555603027	0.7779215	Yes	
row_20	COL4A6	454	10.195211410522461	0.80008924	Yes	
row_21	PLOD1	502	9.55329704284668	0.8178828	Yes	
row_22	COL2A1	519	9.34322452545166	0.8372629	Yes	
row_23	DDR2	572	8.822925567626953	0.85312897	Yes	
row_24	DPT	629	8.270851135253906	0.8675235	Yes	
row_25	GREM1	754	7.172321796417236	0.875027	Yes	
row_26	CYP1B1	790	6.850042819976807	0.88769984	Yes	
row_27	P4HA1	1040	5.295558929443359	0.88284814	Yes	
row_28	TLL1	1182	4.63731050491333	0.8836849	Yes	
row_29	TGFBR1	1259	4.355206489562988	0.88819474	Yes	
row_30	TGFB2	1836	2.7915730476379395	0.8562834	No	
row_31	LOXL3	2166	2.1927292346954346	0.83936477	No	
row_32	CRTAP	2469	1.7651033401489258	0.82329285	No	
row_33	NF1	2852	1.3813724517822266	0.80110145	No	
row_34	PLOD3	3795	0.7429008483886719	0.74055225	No	
row_35	LOXL4	4164	0.5839745998382568	0.71754074	No	
row_36	PLOD2	4444	0.4690726697444916	0.7001521	No	
row_37	ADAMTS3	6429	0.004718590062111616	0.569214	No	
row_38	SERPINF2	6832	-0.06030537560582161	0.542813	No	
row_39	ATP7A	7971	-0.2781669497489929	0.46831086	No	
row_40	COL4A4	10239	-0.9606071710586548	0.3207849	No	
row_41	COL4A3	10884	-1.2394574880599976	0.28099048	No	
row_42	COL11A2	11521	-1.5303364992141724	0.24236031	No	
