NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SERINC5	746	7.214178562164307	-0.03590442	No	
row_1	TRIM13	1309	4.167791366577148	-0.06536438	No	
row_2	BNIP3L	1582	3.383145809173584	-0.077022895	No	
row_3	IL6	1896	2.6373894214630127	-0.09282857	No	
row_4	ABCC9	2002	2.4425368309020996	-0.095166095	No	
row_5	RNASEL	2120	2.2573845386505127	-0.09865439	No	
row_6	MID2	2263	2.054727077484131	-0.10419171	No	
row_7	TRIM6	2376	1.8883191347122192	-0.10804972	No	
row_8	OPRK1	2732	1.4796665906906128	-0.12885313	No	
row_9	USP20	2877	1.358152151107788	-0.13584921	No	
row_10	TBKBP1	3003	1.248839020729065	-0.14178918	No	
row_11	TRIM35	3013	1.2402981519699097	-0.14002751	No	
row_12	TRIM7	3231	1.0687587261199951	-0.1524313	No	
row_13	TRIM41	3260	1.0541797876358032	-0.15228797	No	
row_14	CARD8	3494	0.9064095616340637	-0.16606528	No	
row_15	IFITM2	3616	0.8438947796821594	-0.17250979	No	
row_16	NCBP1	3774	0.7538772225379944	-0.18152082	No	
row_17	ZCCHC3	3870	0.7046419382095337	-0.18650047	No	
row_18	LYST	3881	0.701339066028595	-0.18583106	No	
row_19	CD207	3972	0.6662572622299194	-0.1905511	No	
row_20	NLRP1	3974	0.6656785011291504	-0.18935074	No	
row_21	SERINC3	4063	0.627790093421936	-0.19401093	No	
row_22	RAB2B	4088	0.614477813243866	-0.1944383	No	
row_23	SETD2	4118	0.6041393876075745	-0.195218	No	
row_24	BNIP3	4344	0.5097858905792236	-0.20921786	No	
row_25	ZMYND11	4759	0.36741286516189575	-0.23606353	No	
row_26	ZDHHC1	4769	0.3650073707103729	-0.23596767	No	
row_27	TRIM32	4865	0.33716246485710144	-0.24164669	No	
row_28	TRIM8	4872	0.3348262310028076	-0.24140866	No	
row_29	F2RL1	5001	0.30092111229896545	-0.24935228	No	
row_30	BCL2L1	5048	0.28761717677116394	-0.25186545	No	
row_31	PPARA	5226	0.24418239295482635	-0.26317716	No	
row_32	AZI2	5518	0.18034012615680695	-0.28219524	No	
row_33	TLR9	5532	0.17548494040966034	-0.2827262	No	
row_34	SMARCA5	5602	0.15916289389133453	-0.2870141	No	
row_35	DDIT4	5818	0.113533616065979	-0.30110276	No	
row_36	FCN3	6110	0.05816848948597908	-0.32035333	No	
row_37	DUOX1	6166	0.04915611073374748	-0.32391912	No	
row_38	MORC3	6172	0.04756739363074303	-0.32416126	No	
row_39	TRAF3	6274	0.0286566074937582	-0.3308266	No	
row_40	MAVS	6388	0.010600817389786243	-0.33832476	No	
row_41	SLFN11	6390	0.010125539265573025	-0.33837202	No	
row_42	NMB	6596	-0.023266827687621117	-0.35196713	No	
row_43	FADD	6659	-0.030926605686545372	-0.35603333	No	
row_44	TLR8	6770	-0.049463752657175064	-0.36325788	No	
row_45	ZDHHC11	6804	-0.05457127466797829	-0.36534965	No	
row_46	TRIM28	7165	-0.11807487159967422	-0.38907704	No	
row_47	TRAF6	7557	-0.19084924459457397	-0.41472846	No	
row_48	CLPB	7560	-0.19170111417770386	-0.4144967	No	
row_49	DHX15	7563	-0.1924058496952057	-0.41426358	No	
row_50	PDE12	7593	-0.19795526564121246	-0.4158163	No	
row_51	SENP7	7604	-0.20033980906009674	-0.41610038	No	
row_52	PBLD	7733	-0.22799435257911682	-0.42418277	No	
row_53	AGBL5	7890	-0.26252481341362	-0.4340624	No	
row_54	TRIM56	7983	-0.28140178322792053	-0.4396479	No	
row_55	UAP1	8085	-0.30406367778778076	-0.44578913	No	
row_56	G3BP1	8095	-0.3066444396972656	-0.44580436	No	
row_57	ATAD3A	8189	-0.3288363218307495	-0.45136616	No	
row_58	TRIM52	8269	-0.3500378131866455	-0.45595613	No	
row_59	UBE2W	8368	-0.37411627173423767	-0.46176443	No	
row_60	USP44	8443	-0.3936755955219269	-0.4659387	No	
row_61	STAT2	8966	-0.528697669506073	-0.49966305	No	
row_62	SKP2	9225	-0.6070134043693542	-0.51567346	No	
row_63	ATG7	9359	-0.6506669521331787	-0.52328414	No	
row_64	APOBEC3C	9482	-0.6850359439849854	-0.5300975	No	
row_65	RNASE2	9501	-0.690267026424408	-0.52998143	No	
row_66	CNOT7	9655	-0.7462259531021118	-0.5387409	No	
row_67	TNF	9814	-0.8067548871040344	-0.5477178	No	
row_68	TRIM25	9930	-0.8457895517349243	-0.5537595	No	
row_69	RNF185	10003	-0.8702117204666138	-0.5568938	No	
row_70	TMEM120A	10018	-0.8769119381904602	-0.5561564	No	
row_71	TLR7	10404	-1.0250767469406128	-0.57982093	No	
row_72	IRF3	10453	-1.0421053171157837	-0.58103126	No	
row_73	EXOSC4	10719	-1.1553044319152832	-0.596464	No	
row_74	UBL7	10872	-1.233984351158142	-0.6042286	No	
row_75	PML	10926	-1.2570445537567139	-0.60536253	No	
row_76	PTPRC	11028	-1.3023892641067505	-0.6096038	No	
row_77	AGBL4	11175	-1.374561071395874	-0.6167017	No	
row_78	BCL2	11199	-1.3845312595367432	-0.615597	No	
row_79	PHB2	11215	-1.3901951313018799	-0.6139493	No	
row_80	DHX16	11277	-1.419967532157898	-0.6153054	No	
row_81	APOBEC3B	11288	-1.425785779953003	-0.6132573	No	
row_82	TRIM5	11458	-1.5014106035232544	-0.6216441	No	
row_83	TLR2	11476	-1.5063085556030273	-0.6199084	No	
row_84	USP27X	11566	-1.553666353225708	-0.62287307	No	
row_85	OTUD4	11572	-1.5568629503250122	-0.6202428	No	
row_86	TANK	11703	-1.623592495918274	-0.6258022	No	
row_87	RPSA	11799	-1.677161455154419	-0.628931	No	
row_88	MYD88	11919	-1.753706693649292	-0.63351095	No	
row_89	LILRB1	12013	-1.8027195930480957	-0.6362677	No	
row_90	TRIM65	12180	-1.937339186668396	-0.64362526	No	
row_91	AKAP1	12212	-1.958990454673767	-0.64195955	No	
row_92	TBK1	12366	-2.06156587600708	-0.6482157	No	
row_93	IFNAR2	12472	-2.1353583335876465	-0.6511379	No	
row_94	TRIM11	12609	-2.244507074356079	-0.6559148	No	
row_95	PYCARD	12640	-2.2751283645629883	-0.6535809	No	
row_96	MLKL	12641	-2.277703046798706	-0.6492461	No	
row_97	ZNFX1	12671	-2.3047001361846924	-0.6467894	No	
row_98	IFITM3	12696	-2.318485736846924	-0.64397377	No	
row_99	UBE2N	12743	-2.3613133430480957	-0.6425404	No	
row_100	RNF135	13053	-2.656057357788086	-0.6580444	No	
row_101	DDX56	13146	-2.73966383934021	-0.6589515	No	
row_102	NDUFAF4	13274	-2.852247953414917	-0.66197306	No	
row_103	SLFN13	13542	-3.142963409423828	-0.673756	Yes	
row_104	TTC4	13625	-3.244830846786499	-0.67303634	Yes	
row_105	BST2	13655	-3.285536289215088	-0.668713	Yes	
row_106	APOBEC3A	13745	-3.411219596862793	-0.6681424	Yes	
row_107	MX2	13862	-3.5691821575164795	-0.6690676	Yes	
row_108	RNASE6	13888	-3.6083221435546875	-0.6638638	Yes	
row_109	DDX60L	14139	-4.0568718910217285	-0.67277634	Yes	
row_110	APOBEC3F	14142	-4.061300754547119	-0.6651802	Yes	
row_111	RSAD2	14195	-4.168782711029053	-0.6607061	Yes	
row_112	PRKRA	14199	-4.175390243530273	-0.65295935	Yes	
row_113	IFITM1	14208	-4.195068836212158	-0.64550775	Yes	
row_114	EIF2AK2	14223	-4.217913627624512	-0.63841194	Yes	
row_115	SAMHD1	14283	-4.33425235748291	-0.6340887	Yes	
row_116	MOV10	14424	-4.6418232917785645	-0.63456935	Yes	
row_117	PRF1	14446	-4.707603931427002	-0.62700725	Yes	
row_118	TLR3	14475	-4.762750625610352	-0.619806	Yes	
row_119	GBP2	14476	-4.7694292068481445	-0.6107291	Yes	
row_120	RIPK3	14517	-4.863219261169434	-0.604135	Yes	
row_121	APOBEC3D	14639	-5.187439918518066	-0.6023131	Yes	
row_122	IKBKE	14653	-5.22333288192749	-0.5932373	Yes	
row_123	OAS3	14664	-5.260453224182129	-0.58389115	Yes	
row_124	NLRC5	14671	-5.287604808807373	-0.5742273	Yes	
row_125	MX1	14717	-5.455954551696777	-0.56683785	Yes	
row_126	OAS2	14745	-5.5416669845581055	-0.55808765	Yes	
row_127	TRAF3IP3	14746	-5.545190811157227	-0.5475343	Yes	
row_128	RELA	14769	-5.624778747558594	-0.53829324	Yes	
row_129	IFIT5	14770	-5.628873348236084	-0.5275807	Yes	
row_130	IFI16	14791	-5.7205963134765625	-0.5180242	Yes	
row_131	DHX58	14795	-5.73591947555542	-0.5073075	Yes	
row_132	EXOSC5	14802	-5.789333820343018	-0.49668878	Yes	
row_133	APOBEC3H	14825	-5.921873092651367	-0.48688233	Yes	
row_134	TRIM26	14881	-6.242210865020752	-0.4786618	Yes	
row_135	PQBP1	14888	-6.276320457458496	-0.46711627	Yes	
row_136	IFI6	14900	-6.37869930267334	-0.45570853	Yes	
row_137	IRF2	14903	-6.388325214385986	-0.44368365	Yes	
row_138	CASP1	14989	-7.123823165893555	-0.43578133	Yes	
row_139	DDX60	14996	-7.231655120849609	-0.42241764	Yes	
row_140	ISG20	15014	-7.5381903648376465	-0.40920243	Yes	
row_141	IRF7	15027	-7.740503311157227	-0.3952695	Yes	
row_142	OAS1	15036	-7.834973335266113	-0.38089067	Yes	
row_143	IFI44L	15037	-7.836197376251221	-0.36597723	Yes	
row_144	OASL	15044	-7.94619607925415	-0.35125366	Yes	
row_145	ZBP1	15064	-8.260649681091309	-0.33679655	Yes	
row_146	GBP5	15074	-8.38549518585205	-0.32143652	Yes	
row_147	IFIT2	15075	-8.426925659179688	-0.30539885	Yes	
row_148	IFIT3	15078	-8.512880325317383	-0.28933066	Yes	
row_149	IFI27	15081	-8.549309730529785	-0.27319312	Yes	
row_150	APOBEC3G	15089	-8.690679550170898	-0.2571192	Yes	
row_151	IFIT1	15093	-8.74571418762207	-0.24067444	Yes	
row_152	USP18	15105	-8.998071670532227	-0.22428165	Yes	
row_153	ISG15	15115	-9.207924842834473	-0.20735642	Yes	
row_154	RTP4	15120	-9.298943519592285	-0.1899253	Yes	
row_155	STAT1	15122	-9.32321548461914	-0.17224838	Yes	
row_156	PMAIP1	15130	-9.529007911682129	-0.15457901	Yes	
row_157	AIM2	15131	-9.725885391235352	-0.13606922	Yes	
row_158	NCK1	15136	-10.205445289611816	-0.11691289	Yes	
row_159	TRIM21	15140	-10.289429664611816	-0.097530186	Yes	
row_160	IFIH1	15153	-11.165946960449219	-0.07707815	Yes	
row_161	PLSCR1	15169	-12.766364097595215	-0.053779885	Yes	
row_162	IRF1	15181	-14.451542854309082	-0.027008342	Yes	
row_163	CXCL10	15182	-14.575996398925781	7.319241E-4	Yes	
