NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BGN	6	31.933088302612305	0.08651523	Yes	
row_1	SPARC	8	30.717422485351562	0.17005195	Yes	
row_2	LAMB1	12	29.04438018798828	0.24890314	Yes	
row_3	VCAN	43	24.292301177978516	0.31303808	Yes	
row_4	TGFB3	90	20.487117767333984	0.36576018	Yes	
row_5	SERPINE1	126	18.914012908935547	0.41492707	Yes	
row_6	MATN3	140	18.34299087524414	0.46399236	Yes	
row_7	DCN	165	17.14639663696289	0.5090746	Yes	
row_8	HSPG2	226	14.778420448303223	0.5453352	Yes	
row_9	ASPN	244	14.31662654876709	0.5831779	Yes	
row_10	LUM	313	12.807376861572266	0.6135458	Yes	
row_11	LRP4	420	10.626246452331543	0.63546836	Yes	
row_12	COL9A3	431	10.494370460510254	0.6633704	Yes	
row_13	COMP	449	10.270650863647461	0.6902013	Yes	
row_14	ITGA8	633	8.247774124145508	0.70056665	Yes	
row_15	VTN	697	7.667983055114746	0.7172769	Yes	
row_16	LAMA4	705	7.56685209274292	0.7374092	Yes	
row_17	ITGA2	727	7.370853424072266	0.7560837	Yes	
row_18	LAMA1	877	6.211242198944092	0.7631511	Yes	
row_19	FMOD	897	6.104105472564697	0.77851003	Yes	
row_20	ITGB1	986	5.6218976974487305	0.7880008	Yes	
row_21	LAMA2	1005	5.535256862640381	0.80187756	Yes	
row_22	ACAN	1125	4.880951881408691	0.80730504	Yes	
row_23	ITGB5	1287	4.263751983642578	0.8082797	Yes	
row_24	LAMC1	1300	4.195195198059082	0.81890535	Yes	
row_25	LAMA5	1397	3.8897554874420166	0.82315373	Yes	
row_26	TNXB	1456	3.725987672805786	0.8294652	Yes	
row_27	TNC	1469	3.685319423675537	0.83870316	Yes	
row_28	LAMB2	1479	3.6361865997314453	0.8480055	Yes	
row_29	NCAM1	1704	3.050248861312866	0.84151787	No	
row_30	TGFB2	1836	2.7915730476379395	0.84046644	No	
row_31	PTPRS	1962	2.5109264850616455	0.8390474	No	
row_32	ITGA7	2414	1.8361433744430542	0.8142679	No	
row_33	TGFB1	2926	1.318688988685608	0.78411865	No	
row_34	ITGB3	3282	1.044735074043274	0.7635235	No	
row_35	AGRN	3293	1.0376192331314087	0.76568735	No	
row_36	COL9A2	4073	0.6239818930625916	0.71595293	No	
row_37	HAPLN1	4365	0.502872884273529	0.69810855	No	
row_38	ITGB6	4601	0.41551652550697327	0.6837238	No	
row_39	DAG1	4733	0.37638986110687256	0.6760991	No	
row_40	ITGA9	6177	0.04677460715174675	0.5809537	No	
row_41	BCAN	6384	0.011544773355126381	0.5673842	No	
row_42	ITGAV	7105	-0.10874374955892563	0.52014285	No	
row_43	IBSP	8695	-0.4565708041191101	0.4164733	No	
row_44	LAMA3	9270	-0.6199235916137695	0.38026273	No	
row_45	ITGAX	10100	-0.9089477062225342	0.32800266	No	
row_46	COL9A1	10460	-1.0470776557922363	0.30714983	No	
row_47	ITGA2B	12185	-1.938501238822937	0.19860037	No	
