NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL5A1	7	31.1781005859375	0.024722742	Yes	
row_1	LOXL2	15	28.417787551879883	0.04721549	Yes	
row_2	COL1A1	20	27.48004722595215	0.06915008	Yes	
row_3	ECM2	21	27.471452713012695	0.09134361	Yes	
row_4	EMILIN1	26	26.741357803344727	0.11268143	Yes	
row_5	COL3A1	27	26.716320037841797	0.13426492	Yes	
row_6	LOXL1	31	26.20947265625	0.15523951	Yes	
row_7	SH3PXD2B	35	25.58076286315918	0.17570618	Yes	
row_8	MMP2	37	25.394012451171875	0.19615492	Yes	
row_9	COL8A1	42	24.576276779174805	0.21574363	Yes	
row_10	MMP14	54	23.417184829711914	0.23393062	Yes	
row_11	ADAMTS7	56	23.09910011291504	0.25252536	Yes	
row_12	CREB3L1	58	22.916597366333008	0.27097267	Yes	
row_13	COL5A2	59	22.85744857788086	0.28943866	Yes	
row_14	NID1	79	21.17734146118164	0.30528435	Yes	
row_15	ADAMTS12	91	20.48077392578125	0.3210991	Yes	
row_16	SULF2	102	19.666770935058594	0.3363227	Yes	
row_17	ADAMTS2	114	19.320634841918945	0.3512002	Yes	
row_18	LOX	115	19.259807586669922	0.36675972	Yes	
row_19	CCDC80	125	18.951440811157227	0.3814719	Yes	
row_20	P4HA3	129	18.85076904296875	0.39650157	Yes	
row_21	HMCN1	130	18.827409744262695	0.41171178	Yes	
row_22	ADAMTS10	139	18.42127227783203	0.4260621	Yes	
row_23	MATN3	140	18.34299087524414	0.44088098	Yes	
row_24	ADAMTS9	149	17.65764808654785	0.4546144	Yes	
row_25	SMOC2	154	17.42298126220703	0.46842414	Yes	
row_26	ADAMTS16	181	16.18119239807129	0.47976828	Yes	
row_27	ADAMTS14	211	15.163331985473633	0.49009067	Yes	
row_28	COL4A2	212	15.11036205291748	0.502298	Yes	
row_29	BMP1	213	15.095419883728027	0.5144932	Yes	
row_30	COL14A1	218	15.053777694702148	0.5263889	Yes	
row_31	COL4A1	228	14.725882530212402	0.53768736	Yes	
row_32	ELN	242	14.351383209228516	0.5484174	Yes	
row_33	FLRT2	257	13.977052688598633	0.55877846	Yes	
row_34	NID2	260	13.898611068725586	0.5698739	Yes	
row_35	RECK	261	13.869429588317871	0.5810787	Yes	
row_36	MMP19	268	13.780802726745605	0.591813	Yes	
row_37	ADAMTS5	276	13.484540939331055	0.6022416	Yes	
row_38	COL5A3	283	13.445183753967285	0.6127048	Yes	
row_39	LUM	313	12.807376861572266	0.6211239	Yes	
row_40	COL4A5	316	12.779044151306152	0.6313148	Yes	
row_41	SERPINH1	321	12.643220901489258	0.64126307	Yes	
row_42	MMP28	341	12.229292869567871	0.6498799	Yes	
row_43	MFAP4	367	11.674704551696777	0.6576498	Yes	
row_44	PHLDB1	382	11.347484588623047	0.6658866	Yes	
row_45	PXDN	386	11.32361125946045	0.6748352	Yes	
row_46	PHLDB2	390	11.238739967346191	0.68371534	Yes	
row_47	MMP23B	406	11.020217895507812	0.69162124	Yes	
row_48	CTSK	415	10.76870346069336	0.6997892	Yes	
row_49	MYH11	417	10.709555625915527	0.70837474	Yes	
row_50	COL12A1	451	10.256308555603027	0.714467	Yes	
row_51	COL4A6	454	10.195211410522461	0.72257054	Yes	
row_52	ADAMTS4	467	9.942222595214844	0.72980493	Yes	
row_53	COL8A2	500	9.574555397033691	0.7354129	Yes	
row_54	PLOD1	502	9.55329704284668	0.74306434	Yes	
row_55	EFEMP2	512	9.435468673706055	0.75008875	Yes	
row_56	COL2A1	519	9.34322452545166	0.7572381	Yes	
row_57	MMP11	542	9.092439651489258	0.7631213	Yes	
row_58	MMP16	569	8.84333610534668	0.76853734	Yes	
row_59	TGFBI	571	8.830119132995605	0.77560455	Yes	
row_60	DDR2	572	8.822925567626953	0.78273237	Yes	
row_61	NPNT	621	8.319228172302246	0.78626263	Yes	
row_62	DPT	629	8.270851135253906	0.79247916	Yes	
row_63	HAS1	648	8.064167022705078	0.7977975	Yes	
row_64	FBLN5	652	8.030447959899902	0.8040857	Yes	
row_65	POSTN	653	8.024052619934082	0.81056815	Yes	
row_66	MMP17	663	7.931945323944092	0.81637794	Yes	
row_67	ITGA2	727	7.370853424072266	0.8181449	Yes	
row_68	HAS2	752	7.180466651916504	0.82235056	Yes	
row_69	GREM1	754	7.172321796417236	0.82807845	Yes	
row_70	CYP1B1	790	6.850042819976807	0.8312859	Yes	
row_71	COL6A6	816	6.652199745178223	0.83499825	Yes	
row_72	SPOCK2	952	5.808757781982422	0.8307173	Yes	
row_73	ITGB1	986	5.6218976974487305	0.83306557	Yes	
row_74	APP	1014	5.454283714294434	0.8356772	Yes	
row_75	P4HA1	1040	5.295558929443359	0.8382936	Yes	
row_76	TLL1	1182	4.63731050491333	0.83266747	No	
row_77	ADAMTS18	1239	4.444174289703369	0.8325354	No	
row_78	TGFBR1	1259	4.355206489562988	0.8347909	No	
row_79	LAMC1	1300	4.195195198059082	0.8355212	No	
row_80	MYO1E	1323	4.126101970672607	0.8373922	No	
row_81	MMP13	1366	3.9855713844299316	0.83782023	No	
row_82	TNXB	1456	3.725987672805786	0.8349144	No	
row_83	RAMP2	1504	3.5603370666503906	0.83466655	No	
row_84	MMP10	1624	3.2868869304656982	0.8294118	No	
row_85	ADAM10	1718	3.0244240760803223	0.82567334	No	
row_86	TGFB2	1836	2.7915730476379395	0.8201514	No	
row_87	ADAMTS1	2083	2.310167074203491	0.8056657	No	
row_88	LOXL3	2166	2.1927292346954346	0.80198646	No	
row_89	ADAMTS8	2233	2.10224986076355	0.7992977	No	
row_90	APLP1	2341	1.9367400407791138	0.79374987	No	
row_91	SULF1	2372	1.8896219730377197	0.7932823	No	
row_92	ADAMTS17	2391	1.8722094297409058	0.7935983	No	
row_93	SMOC1	2395	1.8674675226211548	0.79490757	No	
row_94	CRTAP	2469	1.7651033401489258	0.79148114	No	
row_95	HAS3	2605	1.6216539144515991	0.7838175	No	
row_96	FURIN	2781	1.4346766471862793	0.77334404	No	
row_97	NF1	2852	1.3813724517822266	0.769807	No	
row_98	MMP24	2853	1.380539059638977	0.7709223	No	
row_99	ADAMTS13	2867	1.370169758796692	0.7711651	No	
row_100	TGFB1	2926	1.318688988685608	0.76837504	No	
row_101	GFOD2	3016	1.2372299432754517	0.7634586	No	
row_102	MMP1	3103	1.165686845779419	0.7586838	No	
row_103	MMP7	3338	1.0014234781265259	0.74393845	No	
row_104	ADAMTS15	3507	0.8951416015625	0.73349434	No	
row_105	TPSAB1	3758	0.7609617710113525	0.7174912	No	
row_106	PLOD3	3795	0.7429008483886719	0.71569836	No	
row_107	SLC39A8	3832	0.728007972240448	0.71389353	No	
row_108	TGM1	4154	0.589057207107544	0.693032	No	
row_109	LOXL4	4164	0.5839745998382568	0.69290555	No	
row_110	ADAMTS6	4392	0.49120017886161804	0.6782133	No	
row_111	PLOD2	4444	0.4690726697444916	0.6752022	No	
row_112	DAG1	4733	0.37638986110687256	0.6563624	No	
row_113	EXOC8	4779	0.36027801036834717	0.65366226	No	
row_114	ABI3BP	5171	0.25978708267211914	0.6278817	No	
row_115	SPINK5	5298	0.22909662127494812	0.6196914	No	
row_116	KLK5	5303	0.22816641628742218	0.61960983	No	
row_117	CLASP1	5586	0.16236311197280884	0.60099596	No	
row_118	QSOX1	5659	0.1473693698644638	0.59632903	No	
row_119	PRSS1	5752	0.1273561269044876	0.59031653	No	
row_120	GAS6	5848	0.10693304240703583	0.58408815	No	
row_121	CLASP2	5990	0.08081182837486267	0.5747809	No	
row_122	KLK7	6141	0.054006803780794144	0.5648538	No	
row_123	SPINT1	6294	0.025510603561997414	0.5547707	No	
row_124	C6orf15	6399	0.00865516159683466	0.5478646	No	
row_125	ADAMTS3	6429	0.004718590062111616	0.54594076	No	
row_126	SERPINF2	6832	-0.06030537560582161	0.51926786	No	
row_127	MMP25	7433	-0.16816924512386322	0.4795207	No	
row_128	MATN2	7602	-0.1998404860496521	0.46851492	No	
row_129	MMP9	7962	-0.27696850895881653	0.44487533	No	
row_130	ATP7A	7971	-0.2781669497489929	0.4445683	No	
row_131	MMP15	8018	-0.28985923528671265	0.44174477	No	
row_132	IBSP	8695	-0.4565708041191101	0.39717877	No	
row_133	NOXO1	9421	-0.670648992061615	0.34952858	No	
row_134	MMP12	9573	-0.7140726447105408	0.34006825	No	
row_135	MPV17	9751	-0.7822381854057312	0.3289347	No	
row_136	COL4A4	10239	-0.9606071710586548	0.29733905	No	
row_137	ADAM8	10352	-1.0040876865386963	0.2907054	No	
row_138	COL4A3	10884	-1.2394574880599976	0.25641027	No	
row_139	KIF9	11083	-1.325392484664917	0.24431962	No	
row_140	COL11A2	11521	-1.5303364992141724	0.21650782	No	
row_141	HPN	12104	-1.8779433965682983	0.17933844	No	
row_142	TMPRSS6	12179	-1.936295509338379	0.17598382	No	
row_143	GPM6B	13186	-2.7775917053222656	0.11135726	No	
row_144	ST7	13220	-2.805882692337036	0.111430496	No	
row_145	WT1	13325	-2.9126086235046387	0.10687047	No	
row_146	NTN4	14124	-4.021739482879639	0.05707513	No	
row_147	FLOT1	14258	-4.271252155303955	0.05168504	No	
row_148	ADAM15	14765	-5.613913059234619	0.022585712	No	
row_149	CTSS	14991	-7.176479339599609	0.01342729	No	
