NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BGN	6	31.933088302612305	0.062192913	Yes	
row_1	CHSY3	38	24.94453239440918	0.10902955	Yes	
row_2	VCAN	43	24.292301177978516	0.15637869	Yes	
row_3	GPC6	45	24.216798782348633	0.20377883	Yes	
row_4	CHSY1	94	20.076326370239258	0.23994584	Yes	
row_5	OGN	119	19.09394073486328	0.27577925	Yes	
row_6	CHPF	157	17.370357513427734	0.30737203	Yes	
row_7	DCN	165	17.14639663696289	0.34051576	Yes	
row_8	SDC2	203	15.382715225219727	0.3682126	Yes	
row_9	XYLT1	225	14.827024459838867	0.3958816	Yes	
row_10	HSPG2	226	14.778420448303223	0.42484826	Yes	
row_11	GPC1	233	14.619424819946289	0.45310527	Yes	
row_12	OMD	239	14.511360168457031	0.48121682	Yes	
row_13	CSPG4	293	13.33823013305664	0.5038451	Yes	
row_14	LUM	313	12.807376861572266	0.5276881	Yes	
row_15	SDC1	356	11.86196517944336	0.5481524	Yes	
row_16	PAPSS2	404	11.060457229614258	0.56671405	Yes	
row_17	NDST1	564	8.898359298706055	0.5736089	Yes	
row_18	LYVE1	577	8.770843505859375	0.59000427	Yes	
row_19	HAS1	648	8.064167022705078	0.60116744	Yes	
row_20	CHST15	670	7.875626087188721	0.61521125	Yes	
row_21	HS2ST1	684	7.767768859863281	0.62957424	Yes	
row_22	B3GAT1	703	7.58155632019043	0.64324063	Yes	
row_23	ARSB	734	7.334791660308838	0.65562737	Yes	
row_24	HAS2	752	7.180466651916504	0.6685739	Yes	
row_25	EXTL3	772	7.005328178405762	0.6810445	Yes	
row_26	HS3ST2	777	6.976247787475586	0.6944531	Yes	
row_27	DSE	780	6.962409973144531	0.7079672	Yes	
row_28	FMOD	897	6.104105472564697	0.7122373	Yes	
row_29	ACAN	1125	4.880951881408691	0.70674723	Yes	
row_30	EXT1	1146	4.781523704528809	0.7147927	Yes	
row_31	CHST14	1193	4.605384826660156	0.72076833	Yes	
row_32	CHST3	1243	4.425134658813477	0.7261917	Yes	
row_33	DSEL	1249	4.402209281921387	0.73448867	Yes	
row_34	EXTL2	1482	3.629737377166748	0.72621447	Yes	
row_35	HS3ST3B1	1490	3.6044652462005615	0.73281515	Yes	
row_36	ST3GAL2	1511	3.5466532707214355	0.7384402	Yes	
row_37	CSGALNACT2	1638	3.252164363861084	0.736457	Yes	
row_38	ST3GAL1	1671	3.1421284675598145	0.7404932	Yes	
row_39	PRELP	1759	2.9452505111694336	0.7404953	Yes	
row_40	CHST11	1802	2.8624634742736816	0.74332005	Yes	
row_41	CHPF2	2091	2.301398277282715	0.7287277	No	
row_42	GLCE	2123	2.254446029663086	0.7310903	No	
