NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDKN1A	1695	3.07969069480896	-0.105543986	No	
row_1	PDS5B	1892	2.6529717445373535	-0.11240628	No	
row_2	ILF3	4677	0.3920418322086334	-0.29661313	No	
row_3	WEE1	5612	0.15766465663909912	-0.35835162	No	
row_4	CTCF	6278	0.02792857214808464	-0.40250504	No	
row_5	TFRC	6414	0.006750208325684071	-0.411466	No	
row_6	PRKDC	6708	-0.03829392045736313	-0.4308596	No	
row_7	RAD50	6842	-0.06263284385204315	-0.4395576	No	
row_8	SMC6	6875	-0.06674499064683914	-0.44153017	No	
row_9	RFC1	7037	-0.09640472382307053	-0.45201144	No	
row_10	STAG1	7076	-0.10276606678962708	-0.45429918	No	
row_11	SHMT1	7083	-0.10403355211019516	-0.45445618	No	
row_12	LBR	7516	-0.1828976571559906	-0.48275608	No	
row_13	MRE11A	7729	-0.2267715483903885	-0.4963253	No	
row_14	RAD21	7903	-0.2647123634815216	-0.50721306	No	
row_15	PMS2	7907	-0.2651780843734741	-0.50679576	No	
row_16	WDR90	7938	-0.2712889611721039	-0.5081596	No	
row_17	SMC3	7988	-0.2826797664165497	-0.5107603	No	
row_18	PNN	8167	-0.3228490650653839	-0.5218453	No	
row_19	CDC25B	8297	-0.35733526945114136	-0.5295919	No	
row_20	BARD1	8333	-0.36593231558799744	-0.5310681	No	
row_21	HMGB3	8406	-0.38391590118408203	-0.53496265	No	
row_22	PPM1D	8432	-0.3916568160057068	-0.5357141	No	
row_23	PAICS	8860	-0.4994501769542694	-0.56294525	No	
row_24	MSH2	8890	-0.5073570013046265	-0.5636935	No	
row_25	LIG1	8962	-0.5267021656036377	-0.5671895	No	
row_26	PSMC3IP	9039	-0.550509512424469	-0.57096267	No	
row_27	RPA1	9088	-0.5625913143157959	-0.5728458	No	
row_28	UBR7	9112	-0.5699531435966492	-0.57304955	No	
row_29	NBN	9157	-0.5821962356567383	-0.57462114	No	
row_30	RQCD1	9167	-0.5881207585334778	-0.5738517	No	
row_31	TUBG1	9406	-0.6663830876350403	-0.5881273	No	
row_32	ING3	9472	-0.6814953088760376	-0.59086436	No	
row_33	NOLC1	9711	-0.7684197425842285	-0.6049026	No	
row_34	ASF1A	9785	-0.7965776920318604	-0.6079039	No	
row_35	NUDT21	9865	-0.8226499557495117	-0.61124355	No	
row_36	ATAD2	9946	-0.8516348600387573	-0.61458224	No	
row_37	BRCA2	9972	-0.8588751554489136	-0.61424696	No	
row_38	MKI67	10031	-0.8840040564537048	-0.6160475	No	
row_39	GINS4	10153	-0.9281125068664551	-0.6219346	No	
row_40	POLE	10182	-0.9394860863685608	-0.6216113	No	
row_41	HUS1	10250	-0.9658832550048828	-0.6238198	No	
row_42	BRCA1	10317	-0.9914649724960327	-0.6259024	No	
row_43	NAA38	10372	-1.0120762586593628	-0.6271391	No	
row_44	NUP153	10395	-1.021911859512329	-0.6262251	No	
row_45	PAN2	10424	-1.03107488155365	-0.6256888	No	
row_46	RAD51C	10467	-1.049550175666809	-0.6260404	No	
row_47	TUBB	10488	-1.0578795671463013	-0.6249098	No	
row_48	SSRP1	10620	-1.11259126663208	-0.63103276	No	
row_49	MYC	11181	-1.3755977153778076	-0.66506976	No	
row_50	MYBL2	11208	-1.3881107568740845	-0.66357005	No	
row_51	SMC4	11263	-1.4143365621566772	-0.66387117	No	
row_52	TRA2B	11320	-1.4411779642105103	-0.6642428	No	
row_53	RAD1	11374	-1.4598608016967773	-0.6643715	No	
row_54	NUP205	11409	-1.4757696390151978	-0.66319984	No	
row_55	DSCC1	11459	-1.5023220777511597	-0.6629638	No	
row_56	ZW10	11461	-1.5033670663833618	-0.6595337	No	
row_57	ANP32E	11505	-1.5208702087402344	-0.65885556	No	
row_58	PPP1R8	11826	-1.6963582038879395	-0.67618805	No	
row_59	BUB1B	12023	-1.8124895095825195	-0.6850052	No	
row_60	BRMS1L	12050	-1.834704041481018	-0.68246675	No	
row_61	EZH2	12065	-1.8504271507263184	-0.6790938	No	
row_62	AURKA	12131	-1.8931753635406494	-0.6790126	No	
row_63	HNRNPD	12295	-2.0201644897460938	-0.6851525	Yes	
row_64	DONSON	12329	-2.0413448810577393	-0.6825988	Yes	
row_65	RRM2	12367	-2.0620477199554443	-0.68026304	Yes	
row_66	KIF18B	12414	-2.0944557189941406	-0.6784503	Yes	
row_67	EXOSC8	12509	-2.162905693054199	-0.67967004	Yes	
row_68	DEK	12557	-2.2054460048675537	-0.67766565	Yes	
row_69	NUP107	12566	-2.213200092315674	-0.67305	Yes	
row_70	SMC1A	12573	-2.219628095626831	-0.6682864	Yes	
row_71	RFC3	12614	-2.2513935565948486	-0.6657097	Yes	
row_72	RAN	12621	-2.2573275566101074	-0.6608584	Yes	
row_73	NASP	12678	-2.309711456298828	-0.6592099	Yes	
row_74	LYAR	12731	-2.3486087322235107	-0.65720505	Yes	
row_75	EIF2S1	12760	-2.3791098594665527	-0.65353334	Yes	
row_76	RPA3	12933	-2.5309202671051025	-0.65908366	Yes	
row_77	EED	13162	-2.755580425262451	-0.6678351	Yes	
row_78	MCM7	13219	-2.8050425052642822	-0.6650346	Yes	
row_79	CDCA8	13263	-2.8405098915100098	-0.6612871	Yes	
row_80	TRIP13	13273	-2.8518190383911133	-0.65525264	Yes	
row_81	SPAG5	13279	-2.8562376499176025	-0.6489418	Yes	
row_82	TOP2A	13282	-2.8578872680664062	-0.64242774	Yes	
row_83	HMMR	13289	-2.8741455078125	-0.6361418	Yes	
row_84	MCM5	13318	-2.9045684337615967	-0.63124794	Yes	
