NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LATS2	123	18.993877410888672	0.014109962	No	
row_1	SELP	505	9.511499404907227	-7.686642E-5	No	
row_2	ARID5B	743	7.255057334899902	-0.007330727	No	
row_3	VCAM1	957	5.750356197357178	-0.014753824	No	
row_4	PTGS2	1559	3.42555570602417	-0.05072242	No	
row_5	CFH	1573	3.399174690246582	-0.047597617	No	
row_6	TNFAIP6	1605	3.3363137245178223	-0.045744285	No	
row_7	CDKN1A	1695	3.07969069480896	-0.048051372	No	
row_8	IL6	1896	2.6373894214630127	-0.05826333	No	
row_9	PELI1	2347	1.925819754600525	-0.085945	No	
row_10	SOCS3	2555	1.682094931602478	-0.09774401	No	
row_11	C1R	2663	1.5494478940963745	-0.10304491	No	
row_12	HIF1A	2802	1.4158730506896973	-0.11056527	No	
row_13	ARL4A	2940	1.3056542873382568	-0.11814846	No	
row_14	P2RY14	3124	1.151597023010254	-0.12897323	No	
row_15	RAPGEF6	3137	1.1382505893707275	-0.12843566	No	
row_16	C1S	3246	1.0623574256896973	-0.13437483	No	
row_17	FAS	3323	1.0184681415557861	-0.13823628	No	
row_18	SSPN	3339	1.0006542205810547	-0.13805982	No	
row_19	IFITM2	3616	0.8438947796821594	-0.1554338	No	
row_20	AUTS2	3625	0.8383815288543701	-0.15498205	No	
row_21	PIM1	3773	0.7542111277580261	-0.16387789	No	
row_22	PTPN1	3826	0.7307386994361877	-0.16648015	No	
row_23	CSF2RB	4026	0.6425073742866516	-0.17896707	No	
row_24	ST3GAL5	4748	0.37011948227882385	-0.22650656	No	
row_25	FPR1	5515	0.18125754594802856	-0.27726194	No	
row_26	SERPING1	5826	0.11124937236309052	-0.29775816	No	
row_27	NOD1	6341	0.017552556470036507	-0.3319381	No	
row_28	CMKLR1	6766	-0.04920808598399162	-0.36009246	No	
row_29	STAT3	6913	-0.07345505058765411	-0.3697208	No	
row_30	PNP	7061	-0.099444679915905	-0.37938517	No	
row_31	TNFAIP3	7142	-0.11494102329015732	-0.38457328	No	
row_32	ISOC1	7502	-0.17911699414253235	-0.4082502	No	
row_33	ST8SIA4	8122	-0.3118402659893036	-0.44907123	No	
row_34	RIPK1	8155	-0.31941062211990356	-0.45082554	No	
row_35	NUP93	8328	-0.3637353181838989	-0.46184313	No	
row_36	TXNIP	8423	-0.3890199065208435	-0.4676411	No	
row_37	PDE4B	8622	-0.43743079900741577	-0.48030218	No	
row_38	STAT2	8966	-0.528697669506073	-0.50250417	No	
row_39	CCL2	9277	-0.6213082075119019	-0.5224017	No	
row_40	CASP4	9282	-0.6233019232749939	-0.52193624	No	
row_41	BANK1	9461	-0.6793007850646973	-0.5329827	No	
row_42	TRIM25	9930	-0.8457895517349243	-0.5631297	No	
row_43	OGFR	10289	-0.9795684814453125	-0.5858006	No	
row_44	MVP	10523	-1.0729013681411743	-0.6000446	No	
row_45	TOR1B	10669	-1.1337844133377075	-0.60836184	No	
row_46	PML	10926	-1.2570445537567139	-0.62392014	No	
row_47	IRF8	11170	-1.372139573097229	-0.6384783	No	
row_48	MT2A	11283	-1.4227252006530762	-0.64426064	No	
row_49	PFKP	11335	-1.447816014289856	-0.64595467	No	
row_50	BTG1	11719	-1.6322970390319824	-0.6695228	No	
row_51	IL7	11763	-1.6542292833328247	-0.67044234	No	
row_52	CCL7	11778	-1.6637626886367798	-0.669421	No	
row_53	LGALS3BP	11895	-1.7420477867126465	-0.67509466	No	
row_54	MYD88	11919	-1.753706693649292	-0.6745666	No	
row_55	IL10RA	11923	-1.7565268278121948	-0.6727045	No	
row_56	NAMPT	12007	-1.8006925582885742	-0.6761136	No	
row_57	NFKB1	12016	-1.8070248365402222	-0.6745249	No	
row_58	TRAFD1	12208	-1.9568134546279907	-0.6849368	No	
row_59	TNFAIP2	12225	-1.96839439868927	-0.683691	No	
row_60	CASP3	12282	-2.0058348178863525	-0.6850628	No	
row_61	IFNAR2	12472	-2.1353583335876465	-0.69513214	No	
row_62	FCGR1A	12654	-2.291243553161621	-0.70448613	No	
row_63	ZNFX1	12671	-2.3047001361846924	-0.70284563	No	
row_64	VAMP5	12690	-2.3147482872009277	-0.7013264	No	
row_65	IFITM3	12696	-2.318485736846924	-0.6989377	No	
row_66	LY6E	12945	-2.539930820465088	-0.7124579	No	
row_67	TRIM14	12972	-2.5758981704711914	-0.7111644	No	
row_68	RNF213	13035	-2.639169692993164	-0.712192	No	
row_69	STAT4	13296	-2.8807196617126465	-0.72611064	No	
row_70	SPPL2A	13319	-2.9059135913848877	-0.72416365	No	
row_71	SRI	13321	-2.9079532623291016	-0.72081697	No	
row_72	RBCK1	13370	-2.959804058074951	-0.7205367	No	
row_73	XCL1	13395	-2.9851877689361572	-0.7186298	No	
row_74	PNPT1	13459	-3.049813985824585	-0.7192419	No	
row_75	PSMB2	13467	-3.0542337894439697	-0.71612275	No	
row_76	FGL2	13523	-3.117960214614868	-0.7161226	No	
row_77	BST2	13655	-3.285536289215088	-0.72098273	No	
row_78	RIPK2	13826	-3.498333215713501	-0.728188	Yes	
row_79	KLRK1	13843	-3.5246148109436035	-0.7251156	Yes	
row_80	MX2	13862	-3.5691821575164795	-0.7221239	Yes	
row_81	EPSTI1	14015	-3.8336119651794434	-0.72773796	Yes	
row_82	IL2RB	14025	-3.8529725074768066	-0.72381437	Yes	
row_83	IRF4	14084	-3.9595301151275635	-0.7230261	Yes	
row_84	RSAD2	14195	-4.168782711029053	-0.7254521	Yes	
row_85	EIF2AK2	14223	-4.217913627624512	-0.72229785	Yes	
row_86	HLA-DQA1	14260	-4.2740678787231445	-0.71967655	Yes	
row_87	ADAR	14288	-4.344361782073975	-0.71637386	Yes	
row_88	CD40	14290	-4.349163055419922	-0.71133554	Yes	
row_89	LCP2	14297	-4.370713233947754	-0.7066046	Yes	
row_90	HERC6	14315	-4.416736125946045	-0.7025516	Yes	
row_91	SLC25A28	14325	-4.431563377380371	-0.6979489	Yes	
row_92	TDRD7	14367	-4.520185470581055	-0.6953713	Yes	
row_93	CD69	14371	-4.525851249694824	-0.69025874	Yes	
row_94	HLA-G	14427	-4.646975994110107	-0.6884639	Yes	
row_95	PSMA2	14457	-4.729596138000488	-0.6848421	Yes	
row_96	GZMA	14465	-4.743352890014648	-0.67974037	Yes	
row_97	IL18BP	14493	-4.806119918823242	-0.6758957	Yes	
row_98	EIF4E3	14617	-5.128593921661377	-0.6780602	Yes	
row_99	SECTM1	14650	-5.221683979034424	-0.6740604	Yes	
row_100	OAS3	14664	-5.260453224182129	-0.66875094	Yes	
row_101	RNF31	14709	-5.421448707580566	-0.66531515	Yes	
row_102	NFKBIA	14715	-5.445911884307861	-0.6592557	Yes	
row_103	MX1	14717	-5.455954551696777	-0.6529183	Yes	
row_104	OAS2	14745	-5.5416669845581055	-0.6482102	Yes	
row_105	SAMD9L	14773	-5.6452131271362305	-0.6433807	Yes	
row_106	SOCS1	14785	-5.698240280151367	-0.6374243	Yes	
row_107	DHX58	14795	-5.73591947555542	-0.63129056	Yes	
row_108	ITGB7	14801	-5.771522521972656	-0.6248489	Yes	
row_109	XAF1	14811	-5.8260178565979	-0.6186094	Yes	
row_110	PTPN6	14844	-6.000759124755859	-0.6136952	Yes	
row_111	IL15RA	14851	-6.03021240234375	-0.60701644	Yes	
row_112	SLAMF7	14878	-6.225467681884766	-0.6014393	Yes	
row_113	CASP8	14880	-6.238855361938477	-0.59418297	Yes	
row_114	IRF2	14903	-6.388325214385986	-0.5881485	Yes	
row_115	TAPBP	14959	-6.866138458251953	-0.5837489	Yes	
row_116	MTHFD2	14982	-7.039364337921143	-0.57695025	Yes	
row_117	IL15	14985	-7.074131965637207	-0.56878006	Yes	
row_118	LYSMD2	14992	-7.186777591705322	-0.56074375	Yes	
row_119	CCL5	15008	-7.3653693199157715	-0.5530967	Yes	
row_120	CMPK2	15011	-7.463648796081543	-0.5444693	Yes	
row_121	ISG20	15014	-7.5381903648376465	-0.5357544	Yes	
row_122	IRF7	15027	-7.740503311157227	-0.52746737	Yes	
row_123	PARP14	15033	-7.806068420410156	-0.51863766	Yes	
row_124	CXCL9	15034	-7.8318400382995605	-0.509445	Yes	
row_125	IFI44L	15037	-7.836197376251221	-0.50038034	Yes	
row_126	OASL	15044	-7.94619607925415	-0.4914527	Yes	
row_127	CD74	15048	-8.001235008239746	-0.48226082	Yes	
row_128	ZBP1	15064	-8.260649681091309	-0.47356293	Yes	
row_129	IFI44	15070	-8.325431823730469	-0.4641236	Yes	
row_130	IFIT2	15075	-8.426925659179688	-0.45449862	Yes	
row_131	IFIT3	15078	-8.512880325317383	-0.44463965	Yes	
row_132	IFI27	15081	-8.549309730529785	-0.43473795	Yes	
row_133	HLA-DRB1	15082	-8.55451488494873	-0.42469704	Yes	
row_134	VAMP8	15085	-8.568795204162598	-0.41477248	Yes	
row_135	IFIT1	15093	-8.74571418762207	-0.4049729	Yes	
row_136	SP110	15094	-8.745929718017578	-0.39470735	Yes	
row_137	USP18	15105	-8.998071670532227	-0.3848112	Yes	
row_138	LAP3	15107	-9.054370880126953	-0.37425014	Yes	
row_139	ISG15	15115	-9.207924842834473	-0.36390808	Yes	
row_140	RTP4	15120	-9.298943519592285	-0.35325953	Yes	
row_141	STAT1	15122	-9.32321548461914	-0.34238294	Yes	
row_142	PARP12	15125	-9.407758712768555	-0.33147362	Yes	
row_143	IFI30	15134	-10.030172348022461	-0.32023296	Yes	
row_144	B2M	15138	-10.261972427368164	-0.30838755	Yes	
row_145	TRIM21	15140	-10.289429664611816	-0.29637682	Yes	
row_146	IDO1	15143	-10.669641494750977	-0.28398636	Yes	
row_147	TNFSF10	15145	-10.710006713867188	-0.271482	Yes	
row_148	HLA-B	15151	-11.138444900512695	-0.25874087	Yes	
row_149	IFIH1	15153	-11.165946960449219	-0.24570134	Yes	
row_150	CXCL11	15156	-11.474527359008789	-0.23236614	Yes	
row_151	IRF9	15157	-11.687451362609863	-0.21864796	Yes	
row_152	HLA-DMA	15159	-11.834590911865234	-0.2048236	Yes	
row_153	PSMB10	15161	-12.009282112121582	-0.19079418	Yes	
row_154	BATF2	15165	-12.610295295715332	-0.17619242	Yes	
row_155	HLA-A	15166	-12.697202682495117	-0.16128902	Yes	
row_156	IFI35	15168	-12.717256546020508	-0.14642863	Yes	
row_157	PLSCR1	15169	-12.766364097595215	-0.13144407	Yes	
row_158	NMI	15176	-13.594440460205078	-0.11588676	Yes	
row_159	IRF1	15181	-14.451542854309082	-0.09919036	Yes	
row_160	UBE2L6	15185	-15.347854614257812	-0.08137537	Yes	
row_161	PSMB8	15186	-15.76928997039795	-0.0628661	Yes	
row_162	TAP1	15190	-17.86861801147461	-0.042092353	Yes	
row_163	PSME2	15191	-17.950611114501953	-0.021022752	Yes	
row_164	GBP4	15192	-17.96729278564453	6.6429835E-5	Yes	
