NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SMARCC1	3202	1.091761589050293	-0.20953396	No	
row_1	EIF4H	3378	0.9753091931343079	-0.21825847	No	
row_2	CAD	3527	0.8864374160766602	-0.22545342	No	
row_3	NCBP1	3774	0.7538772225379944	-0.2395557	No	
row_4	IARS	4420	0.4766030013561249	-0.28099898	No	
row_5	CANX	4878	0.33356818556785583	-0.31037495	No	
row_6	IMPDH2	4956	0.31166020035743713	-0.31456363	No	
row_7	PSMD1	5314	0.22554078698158264	-0.33761594	No	
row_8	PABPC1	5577	0.16442792117595673	-0.35453716	No	
row_9	PABPC4	5672	0.14380577206611633	-0.3603555	No	
row_10	SET	5696	0.13858434557914734	-0.36147118	No	
row_11	YWHAQ	5927	0.09157368540763855	-0.37648284	No	
row_12	PRPF31	6243	0.03477821871638298	-0.39731228	No	
row_13	UBE2L3	6316	0.02192949503660202	-0.40203166	No	
row_14	AP3S1	6369	0.013421561568975449	-0.40544727	No	
row_15	RPL22	6563	-0.017689835280179977	-0.41822022	No	
row_16	EIF3J	6779	-0.05062996596097946	-0.43235704	No	
row_17	TARDBP	6999	-0.08948443830013275	-0.44664392	No	
row_18	APEX1	7157	-0.11682908982038498	-0.45672923	No	
row_19	TRIM28	7165	-0.11807487159967422	-0.45684272	No	
row_20	RPS2	7262	-0.13515706360340118	-0.46281976	No	
row_21	HDAC2	7294	-0.14281168580055237	-0.46445447	No	
row_22	ETF1	7338	-0.14924727380275726	-0.46686745	No	
row_23	SRM	7345	-0.15015994012355804	-0.46681893	No	
row_24	UBA2	7407	-0.16348561644554138	-0.4703857	No	
row_25	DDX21	7483	-0.175435408949852	-0.4748472	No	
row_26	DHX15	7563	-0.1924058496952057	-0.479524	No	
row_27	FAM120A	7618	-0.2036380171775818	-0.48250598	No	
row_28	SNRPB2	7770	-0.23545794188976288	-0.49183923	No	
row_29	PSMC4	7911	-0.26553699374198914	-0.5003519	No	
row_30	RPL34	8267	-0.34809115529060364	-0.5229063	No	
row_31	RPL6	8374	-0.37545904517173767	-0.52883214	No	
row_32	XPOT	8383	-0.37844374775886536	-0.52823657	No	
row_33	RPL14	8526	-0.412478506565094	-0.5364445	No	
row_34	NPM1	8577	-0.4238092005252838	-0.53850484	No	
row_35	FBL	8685	-0.4548211097717285	-0.54426074	No	
row_36	SF3A1	8841	-0.4946669340133667	-0.5530878	No	
row_37	EIF3D	8961	-0.526606023311615	-0.5594273	No	
row_38	RPL18	9360	-0.6512162685394287	-0.5839364	No	
row_39	EIF3B	9363	-0.6515946388244629	-0.5821285	No	
row_40	HNRNPA2B1	9471	-0.6813504099845886	-0.5872097	No	
row_41	RSL1D1	9551	-0.7084771394729614	-0.5903494	No	
row_42	NCBP2	9609	-0.7315174341201782	-0.59195846	No	
row_43	NOLC1	9711	-0.7684197425842285	-0.5963816	No	
row_44	PSMD3	9736	-0.7770227789878845	-0.5956622	No	
row_45	SLC25A3	9747	-0.7813977003097534	-0.5939993	No	
row_46	EIF4E	9756	-0.7843436002731323	-0.5921948	No	
row_47	RPS5	9825	-0.8100290298461914	-0.594301	No	
row_48	GOT2	9835	-0.8136315941810608	-0.5924757	No	
row_49	EIF2S2	9933	-0.8460783362388611	-0.5964017	No	
row_50	PPM1G	9967	-0.8580546379089355	-0.596039	No	
row_51	CBX3	10001	-0.8699142932891846	-0.59564096	No	
row_52	RPS3	10032	-0.884065568447113	-0.5950014	No	
row_53	CCT4	10034	-0.8843887448310852	-0.59243375	No	
