NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PDK4	1735	2.9879114627838135	-0.10745561	No	
row_1	CYB5R3	1801	2.8641178607940674	-0.10423675	No	
row_2	SUCLA2	2968	1.2742587327957153	-0.17838335	No	
row_3	RETSAT	4476	0.4557703137397766	-0.27734977	No	
row_4	BDH2	5489	0.18629390001296997	-0.34412426	No	
row_5	LDHB	5773	0.12212135642766953	-0.36261305	No	
row_6	NDUFA5	6467	-7.689640042372048E-4	-0.40867284	No	
row_7	MFN2	6588	-0.02190253883600235	-0.41659126	No	
row_8	ATP6V1C1	6637	-0.028133707121014595	-0.41970763	No	
row_9	OPA1	6679	-0.03445499762892723	-0.4223421	No	
row_10	TIMM50	6974	-0.08574836701154709	-0.44165775	No	
row_11	UQCRB	7288	-0.14141888916492462	-0.46208975	No	
row_12	ATP1B1	7388	-0.16069352626800537	-0.468247	No	
row_13	NDUFS4	7423	-0.16669264435768127	-0.4700681	No	
row_14	MGST3	8091	-0.30550020933151245	-0.5135976	No	
row_15	OGDH	8163	-0.32198119163513184	-0.5174692	No	
row_16	GLUD1	8202	-0.3329697251319885	-0.5191185	No	
row_17	ABCB7	8448	-0.39462679624557495	-0.5343642	No	
row_18	CYCS	8460	-0.3984352946281433	-0.53404653	No	
row_19	MTRR	8501	-0.4065452814102173	-0.53563505	No	
row_20	ATP6V1G1	8563	-0.4207957684993744	-0.5385819	No	
row_21	PMPCA	8738	-0.4688745439052582	-0.548913	No	
row_22	NDUFA4	8778	-0.4778268039226532	-0.55024743	No	
row_23	ATP6V1D	8823	-0.4905596673488617	-0.5518807	No	
row_24	MTRF1	8990	-0.5357083678245544	-0.5615041	No	
row_25	ACADSB	9124	-0.572773277759552	-0.56883657	No	
row_26	ISCA1	9302	-0.6301885843276978	-0.5789424	No	
row_27	SLC25A20	9373	-0.6534613370895386	-0.581875	No	
row_28	ATP6V0C	9464	-0.6794987320899963	-0.5860684	No	
row_29	RHOT1	9536	-0.7044926881790161	-0.58893317	No	
row_30	RHOT2	9598	-0.728213369846344	-0.5910708	No	
row_31	SLC25A3	9747	-0.7813977003097534	-0.598851	No	
row_32	TIMM17A	9767	-0.7877948880195618	-0.5980402	No	
row_33	GOT2	9835	-0.8136315941810608	-0.6003518	No	
row_34	CPT1A	9973	-0.8590993285179138	-0.6071964	No	
row_35	COX11	9978	-0.8611215353012085	-0.6051955	No	
row_36	HADHB	9995	-0.8666992783546448	-0.6039776	No	
row_37	UQCRH	10134	-0.9226226210594177	-0.61072147	No	
row_38	COX10	10203	-0.9472989439964294	-0.61274767	No	
row_39	SDHA	10243	-0.9615868330001831	-0.6128087	No	
row_40	ACADVL	10278	-0.9756162762641907	-0.6125004	No	
row_41	OXA1L	10281	-0.9776011109352112	-0.61006004	No	
row_42	FDX1	10310	-0.9876804947853088	-0.60932124	No	
row_43	LRPPRC	10390	-1.0186536312103271	-0.61189073	No	
row_44	DLD	10413	-1.0268425941467285	-0.61065006	No	
row_45	NQO2	10499	-1.0615601539611816	-0.6135054	No	
row_46	ATP5J	10572	-1.0929795503616333	-0.615414	No	
row_47	UQCRC2	10587	-1.097002625465393	-0.6134569	No	
row_48	COX7C	10676	-1.1374608278274536	-0.6163119	No	
row_49	ACO2	10815	-1.2087035179138184	-0.6223027	No	
row_50	POR	10934	-1.262994647026062	-0.6268213	No	
row_51	GRPEL1	11059	-1.316022515296936	-0.631599	No	
row_52	DLAT	11128	-1.3498790264129639	-0.6325655	No	
row_53	PHB2	11215	-1.3901951313018799	-0.6346223	No	
row_54	ETFB	11235	-1.400412917137146	-0.63219887	No	
row_55	IDH3B	11389	-1.467497706413269	-0.63850546	No	
row_56	SLC25A4	11421	-1.481091856956482	-0.63666725	No	
