NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DCHS1	40	24.76897621154785	0.03744466	Yes	
row_1	DLC1	65	22.156021118164062	0.07172144	Yes	
row_2	SNAI2	70	21.919124603271484	0.106942795	Yes	
row_3	SLIT2	194	15.744550704956055	0.12426529	Yes	
row_4	PKD2	195	15.721787452697754	0.1497188	Yes	
row_5	BMP4	205	15.356771469116211	0.17398371	Yes	
row_6	SLIT3	206	15.320716857910156	0.1987879	Yes	
row_7	BMP2	223	14.838980674743652	0.22174966	Yes	
row_8	HAND2	238	14.53415584564209	0.24435072	Yes	
row_9	ELN	242	14.351383209228516	0.26738635	Yes	
row_10	ALPK2	248	14.243125915527344	0.29011387	Yes	
row_11	FLRT2	257	13.977052688598633	0.31221142	Yes	
row_12	SFRP2	275	13.555318832397461	0.33302855	Yes	
row_13	ADAMTS5	276	13.484540939331055	0.35485998	Yes	
row_14	APLNR	281	13.463676452636719	0.37639198	Yes	
row_15	TGFBR2	302	13.124903678894043	0.39631304	Yes	
row_16	ANKRD1	310	12.912104606628418	0.41675285	Yes	
row_17	SEMA3C	332	12.482617378234863	0.43556765	Yes	
row_18	CLDN5	430	10.504903793334961	0.4461337	Yes	
row_19	TBX1	450	10.256366729736328	0.46147704	Yes	
row_20	TEK	455	10.186569213867188	0.47770342	Yes	
row_21	NOG	480	9.839086532592773	0.49203914	Yes	
row_22	HEYL	504	9.512526512145996	0.50591254	Yes	
row_23	HEY1	563	8.902027130126953	0.5164734	Yes	
row_24	FOXF1	574	8.788705825805664	0.53003824	Yes	
row_25	ROBO2	587	8.629923820495605	0.5432132	Yes	
row_26	PLXND1	592	8.59321117401123	0.5568599	Yes	
row_27	PARVA	606	8.454581260681152	0.56968457	Yes	
row_28	MEGF8	617	8.384038925170898	0.5825943	Yes	
row_29	TPM1	631	8.26911735534668	0.59511864	Yes	
row_30	S1PR1	641	8.15216064453125	0.6077193	Yes	
row_31	SOX4	683	7.779201507568359	0.6175912	Yes	
row_32	HAS2	752	7.180466651916504	0.6247008	Yes	
row_33	SHOX2	834	6.501840114593506	0.62984836	Yes	
row_34	ENG	868	6.283934116363525	0.6378307	Yes	
row_35	SMO	895	6.118262767791748	0.64600956	Yes	
row_36	DLL1	914	6.022837162017822	0.6545652	Yes	
row_37	SOX11	924	5.9870381355285645	0.6636606	Yes	
row_38	MICAL2	927	5.977474212646484	0.67320526	Yes	
row_39	NRP2	930	5.953973770141602	0.6827119	Yes	
row_40	ACVRL1	935	5.893024444580078	0.69198704	Yes	
row_41	SNAI1	951	5.809750556945801	0.70039696	Yes	
row_42	CPE	990	5.614984035491943	0.7069642	Yes	
row_43	BMPR2	1130	4.8439860343933105	0.7055762	Yes	
row_44	TGFBR1	1259	4.355206489562988	0.7041274	Yes	
row_45	SPRY1	1264	4.342150688171387	0.71089166	Yes	
row_46	EPHB4	1296	4.236883163452148	0.7156926	Yes	
row_47	ZFPM2	1454	3.727957010269165	0.7113025	Yes	
row_48	TNNT2	1517	3.530651330947876	0.7129015	Yes	
row_49	RBPJ	1553	3.4496490955352783	0.71616226	Yes	
row_50	DLL4	1580	3.386364698410034	0.7199182	Yes	
row_51	SMAD6	1677	3.1292216777801514	0.7186095	Yes	
row_52	SMAD7	1713	3.0331079959869385	0.7211959	Yes	
row_53	CTNNB1	1766	2.93108868598938	0.7224882	Yes	
row_54	APC	1793	2.882298231124878	0.7254281	Yes	
row_55	VANGL2	1825	2.809116840362549	0.7279175	Yes	
row_56	NOTCH1	1832	2.7993288040161133	0.73205113	Yes	
row_57	NRG1	1834	2.794948101043701	0.73650974	Yes	
row_58	TGFB2	1836	2.7915730476379395	0.7409629	Yes	
row_59	HTR2B	1870	2.7032854557037354	0.74314815	Yes	
row_60	NDRG4	1875	2.6891043186187744	0.74723613	Yes	
row_61	NRP1	1903	2.623079538345337	0.74968994	Yes	
row_62	MYLK2	1988	2.4714956283569336	0.7481133	No	
row_63	TBX3	2052	2.358916759490967	0.7477488	No	
row_64	PITX2	2191	2.1603732109069824	0.7420825	No	
row_65	ROBO1	2192	2.1602590084075928	0.7455799	No	
row_66	LEFTY1	2213	2.1345720291137695	0.74770766	No	
row_67	HES1	2350	1.9188096523284912	0.7417831	No	
row_68	PTK2	2492	1.7443764209747314	0.73524404	No	
row_69	GATA4	2576	1.6541262865066528	0.73241043	No	
row_70	SRF	2602	1.6272432804107666	0.7333848	No	
row_71	BMPR1A	2647	1.5770628452301025	0.7330162	No	
row_72	BMP7	2755	1.4558320045471191	0.7282678	No	
row_73	NKX2-5	2771	1.4433852434158325	0.72960854	No	
row_74	MEF2C	2805	1.4136216640472412	0.7297058	No	
row_75	SOX9	2893	1.34326171875	0.72610325	No	
row_76	TGFB1	2926	1.318688988685608	0.72611326	No	
row_77	JAG1	2936	1.3094996213912964	0.7276357	No	
row_78	GATA3	3005	1.2469502687454224	0.7251389	No	
row_79	CHD7	3082	1.1775808334350586	0.7219986	No	
row_80	INSR	3500	0.9010602831840515	0.6957663	No	
row_81	SETDB2	3623	0.8401572704315186	0.68902504	No	
row_82	NPY1R	3677	0.809315025806427	0.68681586	No	
row_83	GSK3A	3719	0.7834744453430176	0.6853617	No	
row_84	TBX2	3729	0.7791516184806824	0.68602544	No	
row_85	GJA5	3778	0.7502085566520691	0.6840526	No	
row_86	NPHP3	4537	0.43938305974006653	0.63442856	No	
row_87	CCDC40	4578	0.4259010851383209	0.6324619	No	
row_88	CITED2	4803	0.352146714925766	0.6181572	No	
row_89	PKP2	4880	0.3335147500038147	0.6136503	No	
row_90	ACVR1	4971	0.30840933322906494	0.6081732	No	
row_91	DSP	5029	0.2910137176513672	0.6048592	No	
row_92	SYNPO2L	5074	0.28177955746650696	0.60239357	No	
row_93	OLFM1	5309	0.2271336019039154	0.5872224	No	
row_94	TNNC1	5512	0.18232472240924835	0.5741037	No	
row_95	CCDC39	5611	0.15771041810512543	0.5678513	No	
row_96	NOS3	5676	0.14315493404865265	0.5638331	No	
row_97	NOTCH2	5766	0.12299886345863342	0.55812216	No	
row_98	RYR2	5782	0.12041879445314407	0.557321	No	
row_99	ZFPM1	5788	0.11997805535793304	0.55718327	No	
row_100	FGFR2	5949	0.08722729235887527	0.5466996	No	
