NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL5A1	7	31.1781005859375	0.06938857	Yes	
row_1	COL1A2	11	29.397796630859375	0.13505287	Yes	
row_2	COL1A1	20	27.48004722595215	0.19609027	Yes	
row_3	COL6A3	22	27.351099014282227	0.25730133	Yes	
row_4	COL6A2	25	26.964008331298828	0.3175791	Yes	
row_5	COL3A1	27	26.716320037841797	0.377368	Yes	
row_6	COL6A1	55	23.202693939208984	0.42756692	Yes	
row_7	COL5A2	59	22.85744857788086	0.4785783	Yes	
row_8	FN1	71	21.863208770751953	0.52683353	Yes	
row_9	COL4A1	228	14.725882530212402	0.5495167	Yes	
row_10	EDIL3	241	14.362748146057129	0.58090186	Yes	
row_11	TGFBR2	302	13.124903678894043	0.60634196	Yes	
row_12	COL11A1	308	12.975887298583984	0.6350826	Yes	
row_13	COL4A5	316	12.779044151306152	0.6632501	Yes	
row_14	SDC1	356	11.86196517944336	0.68724835	Yes	
row_15	COL4A6	454	10.195211410522461	0.7036798	Yes	
row_16	COL2A1	519	9.34322452545166	0.7203831	Yes	
row_17	IGF1	552	8.946512222290039	0.7383122	Yes	
row_18	BCAR1	661	7.941413402557373	0.74896735	Yes	
row_19	COL7A1	692	7.690342903137207	0.7642143	Yes	
row_20	VTN	697	7.667983055114746	0.78112924	Yes	
row_21	IRS1	856	6.337972164154053	0.784888	Yes	
row_22	KDR	920	5.996771812438965	0.79416007	Yes	
row_23	MFGE8	1096	4.9815168380737305	0.7937565	Yes	
row_24	VCL	1168	4.682349681854248	0.799555	Yes	
row_25	SRC	1245	4.415615081787109	0.8044256	Yes	
row_26	FGF2	1394	3.8962290287017822	0.8033747	Yes	
row_27	PXN	1466	3.691300392150879	0.80695295	Yes	
row_28	PIK3R1	2327	1.9525994062423706	0.75449806	No	
row_29	PTK2	2492	1.7443764209747314	0.7475689	No	
row_30	PIK3C2A	2634	1.5923991203308105	0.74181914	No	
row_31	IGF1R	2787	1.4301679134368896	0.734979	No	
row_32	PTPN11	3165	1.1181504726409912	0.7125717	No	
row_33	ROCK1	3190	1.0984973907470703	0.7134468	No	
row_34	ITGB3	3282	1.044735074043274	0.709774	No	
row_35	TLN1	4012	0.647297203540802	0.66305137	No	
row_36	CBL	4039	0.6384581923484802	0.66276366	No	
row_37	MAPK1	4227	0.558478593826294	0.65165776	No	
row_38	PI4KA	5304	0.22798019647598267	0.58106565	No	
row_39	ILK	5332	0.22070282697677612	0.5797759	No	
row_40	RPS6KB1	5827	0.11102212220430374	0.5473808	No	
row_41	CSF1R	6982	-0.0870479866862297	0.47131863	No	
row_42	SPP1	7072	-0.10220693051815033	0.4656664	No	
row_43	ITGAV	7105	-0.10874374955892563	0.46379545	No	
row_44	PTK2B	7394	-0.16116754710674286	0.44512528	No	
row_45	VEGFA	7843	-0.25132274627685547	0.41608417	No	
row_46	AKT1	8031	-0.292983740568161	0.40438348	No	
row_47	RAC1	8270	-0.3501605689525604	0.38944075	No	
row_48	HSP90AA1	8522	-0.41138193011283875	0.37377614	No	
row_49	RHOA	10009	-0.8724438548088074	0.27753475	No	
row_50	F11R	10147	-0.9267581105232239	0.270558	No	
row_51	COL4A4	10239	-0.9606071710586548	0.26669678	No	
row_52	COL4A3	10884	-1.2394574880599976	0.22691765	No	
row_53	COL11A2	11521	-1.5303364992141724	0.18831885	No	
row_54	MAPK3	11581	-1.562536358833313	0.18792078	No	
row_55	PIK3CA	12145	-1.9058420658111572	0.15498714	No	
row_56	PI4KB	13232	-2.8182871341705322	0.089537516	No	
row_57	CDKN1B	13389	-2.9834158420562744	0.085912935	No	
row_58	VAV3	13493	-3.090759515762329	0.086031124	No	
row_59	CSF1	14713	-5.443955421447754	0.017675279	No	
row_60	CASP8	14880	-6.238855361938477	0.020683348	No	
