NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FOXO3	4074	0.6228477358818054	-0.26892695	No	
row_1	SARS2	4297	0.523518443107605	-0.28234485	No	
row_2	MRPS35	4647	0.3993714451789856	-0.30450863	No	
row_3	MRPS27	5729	0.13277964293956757	-0.37594807	No	
row_4	LARS2	6562	-0.017267942428588867	-0.4311465	No	
row_5	EARS2	7162	-0.1178140714764595	-0.47062054	No	
row_6	MTIF3	7982	-0.2807380259037018	-0.5242904	No	
row_7	MTRF1L	8187	-0.3277423083782196	-0.5370076	No	
row_8	MRPL45	8440	-0.39334267377853394	-0.5527461	No	
row_9	MRPS31	8644	-0.4431954026222229	-0.5651053	No	
row_10	MTRF1	8990	-0.5357083678245544	-0.58665925	No	
row_11	MRPL19	8991	-0.5359519124031067	-0.58530563	No	
row_12	RARS2	9129	-0.5736194252967834	-0.5929533	No	
row_13	TRNT1	9213	-0.6037282347679138	-0.5969395	No	
row_14	HARS2	9324	-0.6372894048690796	-0.6026336	No	
row_15	TRMT5	9416	-0.6689105033874512	-0.60698634	No	
row_16	YRDC	9438	-0.6735259294509888	-0.6066796	No	
row_17	POLRMT	9493	-0.6867980360984802	-0.6085305	No	
row_18	GFM2	9612	-0.7324147820472717	-0.6145156	No	
row_19	AARS2	9725	-0.7727311849594116	-0.6200004	No	
row_20	GFM1	9781	-0.7952114939689636	-0.6216439	No	
row_21	TRMT61B	9864	-0.822598934173584	-0.6250109	No	
row_22	MRPS2	9957	-0.8545420169830322	-0.6289612	No	
row_23	MRPL50	10117	-0.916244387626648	-0.6372043	No	
row_24	CDK5RAP1	10235	-0.9593512415885925	-0.6425498	No	
row_25	FASTKD2	10271	-0.9744976162910461	-0.64241254	No	
row_26	OXA1L	10281	-0.9776011109352112	-0.64054114	No	
row_27	PTCD3	10295	-0.9813615083694458	-0.63892585	No	
row_28	RPUSD4	10297	-0.9821680784225464	-0.63651174	No	
row_29	GTPBP3	10303	-0.9846950769424438	-0.6343568	No	
row_30	LRPPRC	10390	-1.0186536312103271	-0.63749427	No	
row_31	MTIF2	10436	-1.0357015132904053	-0.6378664	No	
row_32	MRPL3	10531	-1.0756205320358276	-0.64139116	No	
row_33	MRPS10	10699	-1.1482410430908203	-0.64957947	No	
row_34	MRPL33	10737	-1.1636065244674683	-0.6490974	No	
row_35	WARS2	10914	-1.2524305582046509	-0.65762013	No	
row_36	FASTKD5	10932	-1.2621439695358276	-0.65556127	No	
row_37	ELAC2	11094	-1.3337459564208984	-0.6628827	No	
row_38	IARS2	11230	-1.3983699083328247	-0.6683146	No	
row_39	MRPL1	11487	-1.5124492645263672	-0.6814924	No	
row_40	MTPAP	11537	-1.540280818939209	-0.68085575	No	
row_41	MRPL28	11547	-1.5452357530593872	-0.6775508	No	
row_42	TFB1M	11578	-1.5584827661514282	-0.67560667	No	
row_43	MRPL44	11583	-1.563178539276123	-0.67192435	No	
row_44	QRSL1	11962	-1.7801684141159058	-0.6925264	No	
row_45	MRPL39	12036	-1.8235663175582886	-0.69276786	No	
row_46	MRPS5	12111	-1.8809399604797363	-0.6929308	Yes	
row_47	TRIT1	12116	-1.8828814029693604	-0.6884411	Yes	
row_48	MRPL10	12124	-1.8907862901687622	-0.6841306	Yes	
row_49	TRUB2	12143	-1.9046754837036133	-0.6805154	Yes	
row_50	DARS2	12240	-1.9787063598632812	-0.68189216	Yes	
row_51	MTO1	12263	-1.9884690046310425	-0.6783309	Yes	
row_52	FASTKD1	12397	-2.080953359603882	-0.6819061	Yes	
row_53	MRPL48	12419	-2.096282482147217	-0.6780062	Yes	
row_54	GADD45GIP1	12578	-2.2260689735412598	-0.6828748	Yes	
row_55	MRPL30	12704	-2.3257901668548584	-0.6853005	Yes	
row_56	MRPS14	12718	-2.339916944503784	-0.6802541	Yes	
row_57	MRPL41	12734	-2.3548178672790527	-0.67530286	Yes	
row_58	MRPS25	12757	-2.375905752182007	-0.67076313	Yes	
row_59	MRPL42	12759	-2.3789350986480713	-0.6648214	Yes	
row_60	MRPS9	12768	-2.3856873512268066	-0.6593274	Yes	
row_61	MRPS12	12777	-2.3951172828674316	-0.6538096	Yes	
row_62	MRPS16	12904	-2.5082576274871826	-0.6558409	Yes	
row_63	YARS2	12905	-2.5091426372528076	-0.6495039	Yes	
row_64	MRPS34	12950	-2.5433688163757324	-0.646002	Yes	
row_65	MRPL46	13057	-2.6569931507110596	-0.64632964	Yes	
row_66	DAP3	13141	-2.7364015579223633	-0.64492965	Yes	
row_67	MRPS33	13157	-2.752824544906616	-0.63897324	Yes	
row_68	MRPL32	13173	-2.7683334350585938	-0.6329776	Yes	
row_69	MRPL47	13183	-2.7746527194976807	-0.62656766	Yes	
row_70	MRPL51	13195	-2.7844741344451904	-0.6202657	Yes	
row_71	TFB2M	13203	-2.7895679473876953	-0.6136853	Yes	
row_72	FASTK	13230	-2.8173224925994873	-0.60829633	Yes	
row_73	MRPL35	13349	-2.9380486011505127	-0.608711	Yes	
row_74	MRPS28	13357	-2.946404218673706	-0.60173446	Yes	
row_75	MRPL40	13399	-2.9882731437683105	-0.5969097	Yes	
row_76	PUS1	13442	-3.0361132621765137	-0.5920305	Yes	
row_77	PNPT1	13459	-3.049813985824585	-0.58539045	Yes	
row_78	MRPL43	13525	-3.122074842453003	-0.58182126	Yes	
