NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MRPS35	4647	0.3993714451789856	-0.3062407	No	
row_1	MRPS27	5729	0.13277964293956757	-0.37734717	No	
row_2	MRPL45	8440	-0.39334267377853394	-0.55540615	No	
row_3	MRPS31	8644	-0.4431954026222229	-0.5673722	No	
row_4	MRPL19	8991	-0.5359519124031067	-0.58849525	No	
row_5	GFM1	9781	-0.7952114939689636	-0.63807887	No	
row_6	MRPS2	9957	-0.8545420169830322	-0.6468277	No	
row_7	MRPL50	10117	-0.916244387626648	-0.65431297	No	
row_8	OXA1L	10281	-0.9776011109352112	-0.6618595	No	
row_9	PTCD3	10295	-0.9813615083694458	-0.65946573	No	
row_10	MRPL3	10531	-1.0756205320358276	-0.6714526	No	
row_11	MRPS10	10699	-1.1482410430908203	-0.678698	No	
row_12	MRPL33	10737	-1.1636065244674683	-0.67728835	No	
row_13	MRPL1	11487	-1.5124492645263672	-0.72184616	No	
row_14	MRPL28	11547	-1.5452357530593872	-0.7206271	No	
row_15	MRPL44	11583	-1.563178539276123	-0.7177601	No	
row_16	MRPL39	12036	-1.8235663175582886	-0.7416291	No	
row_17	MRPS5	12111	-1.8809399604797363	-0.7402896	No	
row_18	MRPL10	12124	-1.8907862901687622	-0.734814	No	
row_19	ERAL1	12306	-2.0266716480255127	-0.74007314	No	
row_20	MRPL48	12419	-2.096282482147217	-0.74053466	No	
row_21	GADD45GIP1	12578	-2.2260689735412598	-0.7436104	No	
row_22	MRPL30	12704	-2.3257901668548584	-0.74417126	Yes	
row_23	MRPS14	12718	-2.339916944503784	-0.7372725	Yes	
row_24	MRPL41	12734	-2.3548178672790527	-0.73045665	Yes	
row_25	MRPS25	12757	-2.375905752182007	-0.72403425	Yes	
row_26	MRPL42	12759	-2.3789350986480713	-0.71621186	Yes	
row_27	MRPS9	12768	-2.3856873512268066	-0.70883036	Yes	
row_28	MRPS12	12777	-2.3951172828674316	-0.7014176	Yes	
row_29	MRPS16	12904	-2.5082576274871826	-0.7014396	Yes	
row_30	MRPS34	12950	-2.5433688163757324	-0.6959842	Yes	
row_31	MRPL46	13057	-2.6569931507110596	-0.69418925	Yes	
row_32	DAP3	13141	-2.7364015579223633	-0.69060874	Yes	
row_33	MRPS33	13157	-2.752824544906616	-0.6824731	Yes	
row_34	MRPL32	13173	-2.7683334350585938	-0.6742861	Yes	
row_35	MRPL47	13183	-2.7746527194976807	-0.665681	Yes	
row_36	MRPL51	13195	-2.7844741344451904	-0.6571757	Yes	
row_37	MRPL35	13349	-2.9380486011505127	-0.6575596	Yes	
row_38	MRPS28	13357	-2.946404218673706	-0.64825255	Yes	
row_39	MRPL40	13399	-2.9882731437683105	-0.641057	Yes	
row_40	MRPL43	13525	-3.122074842453003	-0.6389774	Yes	
row_41	MRPL13	13623	-3.2432029247283936	-0.63464296	Yes	
row_42	MRPL20	13723	-3.380981683731079	-0.629984	Yes	
row_43	MRPL27	13739	-3.404350519180298	-0.6196879	Yes	
row_44	MRPL17	13777	-3.4474234580993652	-0.61070514	Yes	
row_45	MRPL36	13817	-3.493652582168579	-0.6017014	Yes	
row_46	MRPL12	13829	-3.5024290084838867	-0.59081537	Yes	
row_47	MRPL55	13875	-3.5922420024871826	-0.5818818	Yes	
row_48	MRPL54	13879	-3.5982306003570557	-0.5701486	Yes	
row_49	AURKAIP1	13932	-3.678981065750122	-0.56139076	Yes	
row_50	MRPL37	13936	-3.6850473880767822	-0.54936963	Yes	
