NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MRPS35	4647	0.3993714451789856	-0.30620256	No	
row_1	MRPS27	5729	0.13277964293956757	-0.37729633	No	
row_2	MTIF3	7982	-0.2807380259037018	-0.52538884	No	
row_3	MRPL45	8440	-0.39334267377853394	-0.5542938	No	
row_4	MRPS31	8644	-0.4431954026222229	-0.56621754	No	
row_5	MRPL19	8991	-0.5359519124031067	-0.58728933	No	
row_6	MRPS2	9957	-0.8545420169830322	-0.64824325	No	
row_7	MRPL50	10117	-0.916244387626648	-0.65564096	No	
row_8	OXA1L	10281	-0.9776011109352112	-0.6630941	No	
row_9	PTCD3	10295	-0.9813615083694458	-0.66060656	No	
row_10	MTIF2	10436	-1.0357015132904053	-0.6663392	No	
row_11	MRPL3	10531	-1.0756205320358276	-0.66889113	No	
row_12	MRPS10	10699	-1.1482410430908203	-0.6760269	No	
row_13	MRPL33	10737	-1.1636065244674683	-0.674506	No	
row_14	MRPL1	11487	-1.5124492645263672	-0.71891934	No	
row_15	MRPL28	11547	-1.5452357530593872	-0.71755266	No	
row_16	MRPL44	11583	-1.563178539276123	-0.7145363	No	
row_17	MRPL39	12036	-1.8235663175582886	-0.73823106	Yes	
row_18	MRPS5	12111	-1.8809399604797363	-0.73671186	Yes	
row_19	MRPL10	12124	-1.8907862901687622	-0.7310556	Yes	
row_20	ERAL1	12306	-2.0266716480255127	-0.7361211	Yes	
row_21	MTFMT	12321	-2.034191608428955	-0.73010796	Yes	
row_22	MRPL48	12419	-2.096282482147217	-0.72937644	Yes	
row_23	GADD45GIP1	12578	-2.2260689735412598	-0.7322394	Yes	
row_24	MRPL30	12704	-2.3257901668548584	-0.7325781	Yes	
row_25	MRPS14	12718	-2.339916944503784	-0.72545576	Yes	
row_26	MRPL41	12734	-2.3548178672790527	-0.71841496	Yes	
row_27	MRPS25	12757	-2.375905752182007	-0.7117655	Yes	
row_28	MRPL42	12759	-2.3789350986480713	-0.70371586	Yes	
row_29	MRPS9	12768	-2.3856873512268066	-0.69610643	Yes	
row_30	MRPS12	12777	-2.3951172828674316	-0.6884649	Yes	
row_31	MRPS16	12904	-2.5082576274871826	-0.6882472	Yes	
row_32	MRPS34	12950	-2.5433688163757324	-0.68254876	Yes	
row_33	MRPL46	13057	-2.6569931507110596	-0.6805	Yes	
row_34	DAP3	13141	-2.7364015579223633	-0.67665803	Yes	
row_35	MRPS33	13157	-2.752824544906616	-0.6682594	Yes	
row_36	MRPL32	13173	-2.7683334350585938	-0.65980786	Yes	
row_37	MRPL47	13183	-2.7746527194976807	-0.6509377	Yes	
row_38	MRPL51	13195	-2.7844741344451904	-0.6421664	Yes	
row_39	MRPL35	13349	-2.9380486011505127	-0.6422695	Yes	
row_40	MRPS28	13357	-2.946404218673706	-0.63268095	Yes	
row_41	MRPL40	13399	-2.9882731437683105	-0.6252	Yes	
row_42	MRPL43	13525	-3.122074842453003	-0.62282205	Yes	
row_43	MRPL13	13623	-3.2432029247283936	-0.6181777	Yes	
row_44	MRPL20	13723	-3.380981683731079	-0.6131957	Yes	
row_45	MRPL27	13739	-3.404350519180298	-0.6025744	Yes	
row_46	MRPL17	13777	-3.4474234580993652	-0.5932622	Yes	
row_47	MRPL36	13817	-3.493652582168579	-0.58392465	Yes	
row_48	MRPL12	13829	-3.5024290084838867	-0.572704	Yes	
row_49	MRPL55	13875	-3.5922420024871826	-0.56342727	Yes	
row_50	MRPL54	13879	-3.5982306003570557	-0.5513503	Yes	
row_51	AURKAIP1	13932	-3.678981065750122	-0.5422409	Yes	
row_52	MRPL37	13936	-3.6850473880767822	-0.5298677	Yes	
row_53	MRPL49	14039	-3.8797852993011475	-0.5233826	Yes	
row_54	MRPS15	14042	-3.8869876861572266	-0.5102543	Yes	
row_55	MRPL53	14056	-3.9076101779937744	-0.49778372	Yes	
row_56	MRPL34	14067	-3.929025173187256	-0.48504153	Yes	
row_57	MRPL21	14156	-4.085923194885254	-0.47692654	Yes	
row_58	MRPS11	14202	-4.1822099685668945	-0.46563706	Yes	
row_59	MRPL23	14210	-4.199289798736572	-0.4517743	Yes	
row_60	MRPL22	14230	-4.223350524902344	-0.43862364	Yes	
row_61	MRPS7	14281	-4.3230204582214355	-0.42718473	Yes	
row_62	CHCHD1	14300	-4.378484725952148	-0.41343865	Yes	
row_63	MRPS23	14379	-4.538193702697754	-0.40311888	Yes	
row_64	MRPL15	14421	-4.631931781768799	-0.3900304	Yes	
row_65	MRPS24	14422	-4.633852958679199	-0.3742218	Yes	
row_66	MRPL24	14584	-5.051562786102295	-0.36764404	Yes	
row_67	MRPS21	14623	-5.150232791900635	-0.35258883	Yes	
row_68	MRPL52	14642	-5.202001094818115	-0.33603328	Yes	
row_69	MRPS26	14666	-5.260733127593994	-0.3196083	Yes	
row_70	MRPL4	14692	-5.356562614440918	-0.30298877	Yes	
row_71	MRPL9	14702	-5.379946708679199	-0.2852305	Yes	
row_72	MRPS18C	14729	-5.498904228210449	-0.26819152	Yes	
row_73	MRPS22	14774	-5.645648956298828	-0.25184327	Yes	
row_74	MRPS30	14797	-5.7443132400512695	-0.23370235	Yes	
row_75	MRPL38	14937	-6.654462814331055	-0.22020014	Yes	
row_76	MRPS18B	14943	-6.741949081420898	-0.19753057	Yes	
row_77	MRPS17	14956	-6.818495273590088	-0.17506316	Yes	
row_78	MRPS6	14973	-6.946475505828857	-0.15242389	Yes	
row_79	MRPL18	14979	-7.002421855926514	-0.1288657	Yes	
row_80	MRPL2	15003	-7.306126594543457	-0.10546277	Yes	
row_81	MRPL11	15028	-7.742561340332031	-0.08063709	Yes	
row_82	MRPS18A	15057	-8.126211166381836	-0.054767314	Yes	
row_83	MRPL16	15073	-8.379801750183105	-0.02717199	Yes	
row_84	MRPL14	15139	-10.273327827453613	0.003573905	Yes	
