NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MRPS35	4647	0.3993714451789856	-0.30621982	No	
row_1	MRPS27	5729	0.13277964293956757	-0.37731728	No	
row_2	MTRF1L	8187	-0.3277423083782196	-0.5388257	No	
row_3	MRPL45	8440	-0.39334267377853394	-0.55416065	No	
row_4	MRPS31	8644	-0.4431954026222229	-0.5660818	No	
row_5	MTRF1	8990	-0.5357083678245544	-0.58708566	No	
row_6	MRPL19	8991	-0.5359519124031067	-0.58525306	No	
row_7	GFM2	9612	-0.7324147820472717	-0.62378657	No	
row_8	MRPS2	9957	-0.8545420169830322	-0.64363396	No	
row_9	MRPL50	10117	-0.916244387626648	-0.6510253	No	
row_10	OXA1L	10281	-0.9776011109352112	-0.6584715	No	
row_11	PTCD3	10295	-0.9813615083694458	-0.6559764	No	
row_12	MRPL3	10531	-1.0756205320358276	-0.6678532	No	
row_13	MRRF	10563	-1.0883686542510986	-0.6661836	No	
row_14	MRPS10	10699	-1.1482410430908203	-0.67119306	No	
row_15	MRPL33	10737	-1.1636065244674683	-0.6696633	No	
row_16	MRPL1	11487	-1.5124492645263672	-0.7140682	No	
row_17	MRPL28	11547	-1.5452357530593872	-0.7126897	No	
row_18	MRPL44	11583	-1.563178539276123	-0.70966136	No	
row_19	MRPL39	12036	-1.8235663175582886	-0.7333439	No	
row_20	MRPS5	12111	-1.8809399604797363	-0.73181045	No	
row_21	MRPL10	12124	-1.8907862901687622	-0.7261395	No	
row_22	ERAL1	12306	-2.0266716480255127	-0.7311901	No	
row_23	MRPL48	12419	-2.096282482147217	-0.7314355	No	
row_24	GADD45GIP1	12578	-2.2260689735412598	-0.7342819	No	
row_25	MRPL30	12704	-2.3257901668548584	-0.734603	Yes	
row_26	MRPS14	12718	-2.339916944503784	-0.72746253	Yes	
row_27	MRPL41	12734	-2.3548178672790527	-0.72040355	Yes	
row_28	MRPS25	12757	-2.375905752182007	-0.7137357	Yes	
row_29	MRPL42	12759	-2.3789350986480713	-0.70566756	Yes	
row_30	MRPS9	12768	-2.3856873512268066	-0.69803965	Yes	
row_31	MRPS12	12777	-2.3951172828674316	-0.6903795	Yes	
row_32	MRPS16	12904	-2.5082576274871826	-0.69014287	Yes	
row_33	MRPS34	12950	-2.5433688163757324	-0.6844248	Yes	
row_34	MRPL46	13057	-2.6569931507110596	-0.6823559	Yes	
row_35	DAP3	13141	-2.7364015579223633	-0.678493	Yes	
row_36	MRPS33	13157	-2.752824544906616	-0.67007303	Yes	
row_37	MRPL32	13173	-2.7683334350585938	-0.6616001	Yes	
row_38	MRPL47	13183	-2.7746527194976807	-0.65270835	Yes	
row_39	MRPL51	13195	-2.7844741344451904	-0.6439154	Yes	
row_40	MRPL35	13349	-2.9380486011505127	-0.64399636	Yes	
row_41	MRPS28	13357	-2.946404218673706	-0.634385	Yes	
row_42	MRPL40	13399	-2.9882731437683105	-0.62688094	Yes	
row_43	MRPL43	13525	-3.122074842453003	-0.6244793	Yes	
row_44	MRPL13	13623	-3.2432029247283936	-0.61981016	Yes	
row_45	MRPL20	13723	-3.380981683731079	-0.61480236	Yes	
row_46	MRPL27	13739	-3.404350519180298	-0.6041546	Yes	
row_47	MRPL17	13777	-3.4474234580993652	-0.5948158	Yes	
row_48	MRPL36	13817	-3.493652582168579	-0.58545125	Yes	
row_49	MRPL12	13829	-3.5024290084838867	-0.57420343	Yes	
row_50	MRPL55	13875	-3.5922420024871826	-0.56489897	Yes	
row_51	MRPL54	13879	-3.5982306003570557	-0.552794	Yes	
row_52	AURKAIP1	13932	-3.678981065750122	-0.54365623	Yes	
row_53	MRPL37	13936	-3.6850473880767822	-0.5312545	Yes	
row_54	MRPL49	14039	-3.8797852993011475	-0.5247396	Yes	
row_55	MRPS15	14042	-3.8869876861572266	-0.5115811	Yes	
row_56	MRPL53	14056	-3.9076101779937744	-0.4990802	Yes	
row_57	MRPL34	14067	-3.929025173187256	-0.4863075	Yes	
row_58	MRPL21	14156	-4.085923194885254	-0.47816113	Yes	
row_59	MRPS11	14202	-4.1822099685668945	-0.46683937	Yes	
row_60	MRPL23	14210	-4.199289798736572	-0.45294395	Yes	
row_61	MRPL22	14230	-4.223350524902344	-0.43976057	Yes	
row_62	MRPS7	14281	-4.3230204582214355	-0.42828828	Yes	
row_63	CHCHD1	14300	-4.378484725952148	-0.41450822	Yes	
row_64	MRPS23	14379	-4.538193702697754	-0.4041535	Yes	
row_65	MRPL15	14421	-4.631931781768799	-0.39102924	Yes	
row_66	MRPS24	14422	-4.633852958679199	-0.3751846	Yes	
row_67	MRPL24	14584	-5.051562786102295	-0.36856827	Yes	
row_68	MRPS21	14623	-5.150232791900635	-0.3534732	Yes	
row_69	MRPL52	14642	-5.202001094818115	-0.3368773	Yes	
row_70	MRPS26	14666	-5.260733127593994	-0.3204115	Yes	
row_71	MRPL4	14692	-5.356562614440918	-0.30375043	Yes	
row_72	MRPL9	14702	-5.379946708679199	-0.28595036	Yes	
row_73	MRPS18C	14729	-5.498904228210449	-0.26886877	Yes	
row_74	MRPS22	14774	-5.645648956298828	-0.25247684	Yes	
row_75	MRPS30	14797	-5.7443132400512695	-0.23429136	Yes	
row_76	MRPL38	14937	-6.654462814331055	-0.22073802	Yes	
row_77	MRPS18B	14943	-6.741949081420898	-0.19801606	Yes	
row_78	MRPS17	14956	-6.818495273590088	-0.1754957	Yes	
row_79	MRPS6	14973	-6.946475505828857	-0.1528025	Yes	
row_80	MRPL18	14979	-7.002421855926514	-0.1291899	Yes	
row_81	MRPL2	15003	-7.306126594543457	-0.105730265	Yes	
row_82	MRPL11	15028	-7.742561340332031	-0.0808445	Yes	
row_83	MRPS18A	15057	-8.126211166381836	-0.05491168	Yes	
row_84	MRPL16	15073	-8.379801750183105	-0.027251277	Yes	
row_85	MRPL14	15139	-10.273327827453613	0.0035741995	Yes	
