NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FBN1	4	32.399681091308594	0.07257637	Yes	
row_1	COL1A2	11	29.397796630859375	0.13827188	Yes	
row_2	LAMB1	12	29.04438018798828	0.20356901	Yes	
row_3	COL1A1	20	27.48004722595215	0.26488703	Yes	
row_4	COL3A1	27	26.716320037841797	0.32455412	Yes	
row_5	THBS1	36	25.442819595336914	0.38122606	Yes	
row_6	COL6A1	55	23.202693939208984	0.43220156	Yes	
row_7	COL5A2	59	22.85744857788086	0.48339126	Yes	
row_8	THBS2	77	21.315616607666016	0.5301903	Yes	
row_9	NID1	79	21.17734146118164	0.5777348	Yes	
row_10	F13A1	191	15.7657470703125	0.60585046	Yes	
row_11	COL4A1	228	14.725882530212402	0.6365801	Yes	
row_12	CSPG4	293	13.33823013305664	0.66234136	Yes	
row_13	COL4A5	316	12.779044151306152	0.68961847	Yes	
row_14	COL4A6	454	10.195211410522461	0.7034939	Yes	
row_15	ITGA1	516	9.366265296936035	0.72052354	Yes	
row_16	COL2A1	519	9.34322452545166	0.7413968	Yes	
row_17	TGFBI	571	8.830119132995605	0.7578813	Yes	
row_18	COL18A1	585	8.63586139678955	0.776438	Yes	
row_19	NPNT	621	8.319228172302246	0.7928303	Yes	
row_20	VTN	697	7.667983055114746	0.80511755	Yes	
row_21	LAMA4	705	7.56685209274292	0.8216671	Yes	
row_22	ITGA2	727	7.370853424072266	0.8368516	Yes	
row_23	LAMA1	877	6.211242198944092	0.840978	Yes	
row_24	VCAM1	957	5.750356197357178	0.84869	Yes	
row_25	ITGB1	986	5.6218976974487305	0.8594804	Yes	
row_26	LAMC1	1300	4.195195198059082	0.8482464	Yes	
row_27	LAMA5	1397	3.8897554874420166	0.850653	Yes	
row_28	TNC	1469	3.685319423675537	0.85425055	Yes	
row_29	LAMB2	1479	3.6361865997314453	0.8618312	Yes	
row_30	JAM2	1693	3.0829150676727295	0.854699	No	
row_31	LAMC2	2183	2.168673515319824	0.82728887	No	
row_32	ITGA7	2414	1.8361433744430542	0.8162313	No	
row_33	PLAUR	2593	1.640549898147583	0.8081673	No	
row_34	LAMB3	4746	0.3721083700656891	0.6669201	No	
row_35	CD81	5665	0.1459091603755951	0.60663813	No	
row_36	IGSF8	6298	0.024595586583018303	0.5649662	No	
row_37	SPP1	7072	-0.10220693051815033	0.51415944	No	
row_38	ITGAV	7105	-0.10874374955892563	0.51229113	No	
row_39	VEGFA	7843	-0.25132274627685547	0.4641964	No	
row_40	ITGA4	8037	-0.2942401170730591	0.4521153	No	
row_41	LAMA3	9270	-0.6199235916137695	0.37216738	No	
row_42	CD14	9411	-0.6677164435386658	0.36442518	No	
row_43	COL4A4	10239	-0.9606071710586548	0.31198293	No	
row_44	COL4A3	10884	-1.2394574880599976	0.27224997	No	
row_45	ITGA6	10913	-1.2524088621139526	0.27321693	No	
row_46	COL11A2	11521	-1.5303364992141724	0.23658083	No	
row_47	MDK	12973	-2.576889991760254	0.14657329	No	
