NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COX7A1	1179	4.6470184326171875	-0.06457956	No	
row_1	COX4I2	1270	4.318418502807617	-0.057879645	No	
row_2	COX6B2	3682	0.8058344125747681	-0.21545957	No	
row_3	SLC25A13	5327	0.22154851257801056	-0.3238715	No	
row_4	NDUFAF1	5567	0.16677503287792206	-0.33923727	No	
row_5	NDUFA5	6467	-7.689640042372048E-4	-0.39887413	No	
row_6	LYRM4	7158	-0.11687648296356201	-0.44430542	No	
row_7	UQCRB	7288	-0.14141888916492462	-0.45244825	No	
row_8	NDUFS4	7423	-0.16669264435768127	-0.46084866	No	
row_9	COX19	7462	-0.1727963536977768	-0.46286255	No	
row_10	LYRM7	7746	-0.2305179238319397	-0.48096025	No	
row_11	TTC19	7881	-0.25993287563323975	-0.48908707	No	
row_12	CYCS	8460	-0.3984352946281433	-0.5262622	No	
row_13	NUBPL	8482	-0.40245458483695984	-0.52647454	No	
row_14	COX15	8487	-0.40351229906082153	-0.52555597	No	
row_15	COQ10B	8751	-0.47059983015060425	-0.54162246	No	
row_16	NDUFA4	8778	-0.4778268039226532	-0.54194534	No	
row_17	COX6C	8925	-0.5155831575393677	-0.5501181	No	
row_18	HIGD1A	9187	-0.5939685106277466	-0.56569	No	
row_19	GOT2	9835	-0.8136315941810608	-0.6062243	No	
row_20	ECSIT	9877	-0.827212393283844	-0.60651714	No	
row_21	COX11	9978	-0.8611215353012085	-0.6106245	No	
row_22	LETM1	9981	-0.8613951206207275	-0.6082298	No	
row_23	SLC25A18	10092	-0.9059045314788818	-0.6128692	No	
row_24	UQCRH	10134	-0.9226226210594177	-0.6128821	No	
row_25	UQCRHL	10192	-0.944218635559082	-0.61389303	No	
row_26	SDHA	10243	-0.9615868330001831	-0.61438864	No	
row_27	OXA1L	10281	-0.9776011109352112	-0.61397487	No	
row_28	HSPA9	10481	-1.052756667137146	-0.6240876	No	
row_29	UQCRC2	10587	-1.097002625465393	-0.62783456	No	
row_30	COX7C	10676	-1.1374608278274536	-0.63033503	No	
row_31	NDUFAF3	10826	-1.2125569581985474	-0.63666195	No	
row_32	NDUFA10	10980	-1.2800663709640503	-0.6430561	No	
row_33	ETFB	11235	-1.400412917137146	-0.6557974	No	
row_34	HSCB	11273	-1.4195582866668701	-0.6540869	No	
row_35	TMEM126A	11522	-1.5316344499588013	-0.6660452	Yes	
row_36	TRAP1	11523	-1.5325113534927368	-0.66154873	Yes	
row_37	SLC25A22	11586	-1.5650968551635742	-0.6610697	Yes	
row_38	CYC1	11608	-1.5787479877471924	-0.65783066	Yes	
row_39	HIGD2A	11643	-1.593618392944336	-0.65541047	Yes	
row_40	COX7A2L	11796	-1.6732503175735474	-0.6605846	Yes	
row_41	NDUFA3	11835	-1.7013862133026123	-0.6581136	Yes	
row_42	ACAD9	11936	-1.764132022857666	-0.65957147	Yes	
row_43	GOT1	12118	-1.8862744569778442	-0.6660445	Yes	
row_44	NDUFS5	12204	-1.9548548460006714	-0.6659477	Yes	
row_45	NDUFAF2	12250	-1.9822791814804077	-0.6631169	Yes	
row_46	NDUFS1	12260	-1.9872099161148071	-0.65788335	Yes	
row_47	NDUFA8	12330	-2.041552782058716	-0.6564707	Yes	
row_48	MDH1	12370	-2.0638837814331055	-0.65300244	Yes	
row_49	NDUFB1	12479	-2.139242172241211	-0.65389043	Yes	
row_50	NDUFV3	12558	-2.206632137298584	-0.6525905	Yes	
row_51	NDUFB8	12644	-2.2793684005737305	-0.6515416	Yes	
row_52	ETFDH	12661	-2.298218250274658	-0.64585996	Yes	
row_53	UQCRC1	12675	-2.308640956878662	-0.63994867	Yes	
row_54	COX4I1	12901	-2.5061185359954834	-0.647522	Yes	
row_55	FXN	12914	-2.5177557468414307	-0.64093083	Yes	
row_56	NDUFB9	12966	-2.5708110332489014	-0.63677126	Yes	
row_57	NDUFA6	12975	-2.5815038681030273	-0.6297277	Yes	
row_58	NDUFA11	13013	-2.621441602706909	-0.6244908	Yes	
row_59	SURF1	13044	-2.6487252712249756	-0.6187095	Yes	
row_60	NDUFB5	13108	-2.710465669631958	-0.61493623	Yes	
row_61	HCCS	13129	-2.725994348526001	-0.6082648	Yes	
row_62	SDHC	13221	-2.80730938911438	-0.6060649	Yes	
row_63	COX16	13228	-2.8142940998077393	-0.5982057	Yes	
row_64	NDUFAF4	13274	-2.852247953414917	-0.5928223	Yes	
row_65	TMEM126B	13285	-2.8667080402374268	-0.5850746	Yes	
row_66	COX18	13310	-2.8963563442230225	-0.57816875	Yes	
row_67	MDH2	13317	-2.904212474822998	-0.57004565	Yes	
row_68	SFXN4	13320	-2.907701253890991	-0.561647	Yes	
row_69	LYRM2	13421	-3.009669542312622	-0.5594504	Yes	
row_70	NDUFS8	13436	-3.0311379432678223	-0.55148566	Yes	
row_71	NDUFB4	13492	-3.0865163803100586	-0.5460783	Yes	
row_72	NDUFA7	13531	-3.128912925720215	-0.5394188	Yes	
row_73	SDHD	13540	-3.1407365798950195	-0.5307345	Yes	
row_74	SLC25A11	13541	-3.142338752746582	-0.52151465	Yes	
row_75	NDUFB10	13635	-3.2621233463287354	-0.518113	Yes	
row_76	SCO1	13659	-3.289045572280884	-0.5099886	Yes	
row_77	COX6B1	13670	-3.3073627948760986	-0.500948	Yes	
row_78	NDUFB7	13675	-3.310663938522339	-0.49149972	Yes	
row_79	NDUFA13	13750	-3.417632579803467	-0.48638132	Yes	
row_80	BCS1L	13770	-3.440680503845215	-0.47754663	Yes	
row_81	TMEM186	13839	-3.519538164138794	-0.47173122	Yes	
row_82	NDUFA12	13894	-3.614835500717163	-0.46470743	Yes	
row_83	NDUFS2	13922	-3.6594531536102295	-0.45576158	Yes	
row_84	COX17	13969	-3.7517521381378174	-0.44780535	Yes	
row_85	SDHB	13983	-3.779219150543213	-0.43757933	Yes	
row_86	SCO2	13995	-3.7994232177734375	-0.42716137	Yes	
row_87	COX8A	13996	-3.7995376586914062	-0.41601333	Yes	
row_88	COX6A1	13999	-3.807708263397217	-0.404974	Yes	
row_89	COQ10A	14011	-3.828306198120117	-0.3944713	Yes	
row_90	UQCR11	14055	-3.9043428897857666	-0.38586837	Yes	
row_91	NDUFA9	14093	-3.9721009731292725	-0.37666857	Yes	
row_92	UQCRQ	14094	-3.9749245643615723	-0.36500594	Yes	
row_93	NDUFAB1	14115	-4.004497051239014	-0.35458332	Yes	
row_94	NDUFB3	14129	-4.033053874969482	-0.34361255	Yes	
row_95	ETFA	14134	-4.051905632019043	-0.3319894	Yes	
row_96	NDUFS6	14204	-4.1876020431518555	-0.3242802	Yes	
row_97	COX5A	14249	-4.254239082336426	-0.31471696	Yes	
row_98	NDUFV1	14296	-4.366916179656982	-0.30495584	Yes	
row_99	NDUFC1	14354	-4.491771697998047	-0.2955581	Yes	
row_100	NDUFV2	14459	-4.730975151062012	-0.28857648	Yes	
row_101	NDUFC2	14470	-4.754188060760498	-0.27529085	Yes	
row_102	NDUFA2	14535	-4.915759086608887	-0.26511347	Yes	
row_103	NDUFA1	14592	-5.060835361480713	-0.25397974	Yes	
row_104	NDUFB2	14604	-5.10227108001709	-0.23973915	Yes	
row_105	NDUFS7	14607	-5.108597278594971	-0.22488295	Yes	
row_106	COX7B	14636	-5.181973457336426	-0.21153627	Yes	
row_107	TMEM223	14663	-5.260270595550537	-0.19782719	Yes	
row_108	TACO1	14681	-5.3218302726745605	-0.18334045	Yes	
row_109	SLC25A12	14723	-5.473191261291504	-0.17000175	Yes	
row_110	FOXRED1	14743	-5.537569046020508	-0.15501468	Yes	
row_111	CMC1	14750	-5.559858322143555	-0.1390998	Yes	
row_112	NDUFS3	14807	-5.815183639526367	-0.12575278	Yes	
row_113	NDUFB6	14815	-5.843623161315918	-0.109071665	Yes	
row_114	COX5B	14828	-5.9328131675720215	-0.09246056	Yes	
row_115	UQCR10	14856	-6.055020809173584	-0.076485984	Yes	
row_116	COX7A2	14898	-6.372241497039795	-0.06050942	Yes	
row_117	UQCRFS1	15099	-8.779319763183594	-0.048018333	Yes	
