NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	82	-0.8528943	-2.934188	0.0	0.0	0.0	1188	tags=72%, list=8%, signal=78%	
HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	165	-0.7322942	-2.7910366	0.0	0.0	0.0	1369	tags=53%, list=9%, signal=57%	
INTERFERON ALPHA BETA SIGNALING%REACTOME%R-HSA-909733.9	INTERFERON ALPHA BETA SIGNALING%REACTOME%R-HSA-909733.9	Details ...	62	-0.81370556	-2.6707578	0.0	0.0	0.0	1111	tags=60%, list=7%, signal=64%	
HALLMARK_E2F_TARGETS%MSIGDBHALLMARK%HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS%MSIGDBHALLMARK%HALLMARK_E2F_TARGETS	Details ...	155	-0.6898511	-2.6268013	0.0	0.0	0.0	2900	tags=59%, list=19%, signal=73%	
ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN%GOBP%GO:0048002	ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN%GOBP%GO:0048002	Details ...	52	-0.82025206	-2.6195273	0.0	0.0	0.0	1192	tags=56%, list=8%, signal=60%	
MITOCHONDRIAL GENE EXPRESSION%GOBP%GO:0140053	MITOCHONDRIAL GENE EXPRESSION%GOBP%GO:0140053	Details ...	133	-0.6976812	-2.6161914	0.0	0.0	0.0	3084	tags=65%, list=20%, signal=81%	
MITOCHONDRIAL TRANSLATION TERMINATION%REACTOME%R-HSA-5419276.5	MITOCHONDRIAL TRANSLATION TERMINATION%REACTOME%R-HSA-5419276.5	Details ...	86	-0.7425556	-2.6031241	0.0	0.0	0.0	2491	tags=71%, list=16%, signal=84%	
MITOCHONDRIAL TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 93%5368286	MITOCHONDRIAL TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 93%5368286	Details ...	85	-0.74445224	-2.5870066	0.0	0.0	0.0	3159	tags=80%, list=21%, signal=100%	
MITOCHONDRIAL TRANSLATION%GOBP%GO:0032543	MITOCHONDRIAL TRANSLATION%GOBP%GO:0032543	Details ...	103	-0.7250067	-2.5844498	0.0	0.0	0.0	2491	tags=64%, list=16%, signal=76%	
DEFENSE RESPONSE TO VIRUS%GOBP%GO:0051607	DEFENSE RESPONSE TO VIRUS%GOBP%GO:0051607	Details ...	164	-0.68049717	-2.5640833	0.0	0.0	0.0	1056	tags=34%, list=7%, signal=36%	
MITOCHONDRIAL TRANSLATION ELONGATION%REACTOME%R-HSA-5389840.3	MITOCHONDRIAL TRANSLATION ELONGATION%REACTOME%R-HSA-5389840.3	Details ...	85	-0.75188357	-2.5610752	0.0	0.0	0.0	2491	tags=74%, list=16%, signal=88%	
MITOCHONDRIAL TRANSLATION%REACTOME%R-HSA-5368287.5	MITOCHONDRIAL TRANSLATION%REACTOME%R-HSA-5368287.5	Details ...	93	-0.7364038	-2.5583975	0.0	0.0	0.0	3159	tags=76%, list=21%, signal=96%	
MITOCHONDRIAL RIBOSOME-ASSOCIATED QUALITY CONTROL%REACTOME%R-HSA-9937383.1	MITOCHONDRIAL RIBOSOME-ASSOCIATED QUALITY CONTROL%REACTOME%R-HSA-9937383.1	Details ...	83	-0.7522252	-2.5577402	0.0	0.0	0.0	2491	tags=75%, list=16%, signal=89%	
INTERFERON GAMMA SIGNALING%REACTOME DATABASE ID RELEASE 93%877300	INTERFERON GAMMA SIGNALING%REACTOME DATABASE ID RELEASE 93%877300	Details ...	86	-0.7388316	-2.5535326	0.0	0.0	0.0	1192	tags=45%, list=8%, signal=49%	
ANTIGEN PROCESSING AND PRESENTATION%GOBP%GO:0019882	ANTIGEN PROCESSING AND PRESENTATION%GOBP%GO:0019882	Details ...	74	-0.766656	-2.5524614	0.0	0.0	0.0	1548	tags=46%, list=10%, signal=51%	
SYNTHESIS OF DNA%REACTOME DATABASE ID RELEASE 93%69239	SYNTHESIS OF DNA%REACTOME DATABASE ID RELEASE 93%69239	Details ...	100	-0.7079412	-2.4972844	0.0	0.0	0.0	2678	tags=61%, list=18%, signal=74%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION%MSIGDBHALLMARK%HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION%MSIGDBHALLMARK%HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	149	-0.6504921	-2.4874723	0.0	0.0	0.0	3164	tags=58%, list=21%, signal=72%	
ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS ANTIGEN%GOBP%GO:0019884	ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS ANTIGEN%GOBP%GO:0019884	Details ...	38	-0.8242138	-2.4782238	0.0	0.0	0.0	1439	tags=58%, list=9%, signal=64%	
HALLMARK_MYC_TARGETS_V1%MSIGDBHALLMARK%HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1%MSIGDBHALLMARK%HALLMARK_MYC_TARGETS_V1	Details ...	146	-0.65828526	-2.4558372	0.0	0.0	0.0	2960	tags=50%, list=19%, signal=62%	
RESPIRATORY ELECTRON TRANSPORT%REACTOME DATABASE ID RELEASE 93%611105	RESPIRATORY ELECTRON TRANSPORT%REACTOME DATABASE ID RELEASE 93%611105	Details ...	120	-0.6716833	-2.451476	0.0	0.0	0.0	2991	tags=63%, list=20%, signal=78%	
ER-PHAGOSOME PATHWAY%REACTOME%R-HSA-1236974.8	ER-PHAGOSOME PATHWAY%REACTOME%R-HSA-1236974.8		77	-0.722593	-2.4449856	0.0	0.0	0.0	2113	tags=49%, list=14%, signal=57%	
DNA REPLICATION%REACTOME%R-HSA-69306.9	DNA REPLICATION%REACTOME%R-HSA-69306.9		113	-0.6914377	-2.4381542	0.0	0.0	0.0	2755	tags=58%, list=18%, signal=70%	
ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN%GOBP%GO:0002478	ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN%GOBP%GO:0002478		33	-0.8326545	-2.4069982	0.0	0.0	0.0	1439	tags=64%, list=9%, signal=70%	
DNA REPLICATION PRE-INITIATION%REACTOME%R-HSA-69002.4	DNA REPLICATION PRE-INITIATION%REACTOME%R-HSA-69002.4		81	-0.698873	-2.4017553	0.0	0.0	0.0	2678	tags=59%, list=18%, signal=72%	
AEROBIC ELECTRON TRANSPORT CHAIN%GOBP%GO:0019646	AEROBIC ELECTRON TRANSPORT CHAIN%GOBP%GO:0019646		62	-0.72466063	-2.395504	0.0	0.0	0.0	2991	tags=74%, list=20%, signal=92%	
PROTEASOME ASSEMBLY%REACTOME DATABASE ID RELEASE 93%9907900	PROTEASOME ASSEMBLY%REACTOME DATABASE ID RELEASE 93%9907900		49	-0.75050396	-2.373374	0.0	0.0	0.0	2793	tags=69%, list=18%, signal=85%	
ANTIVIRAL INNATE IMMUNE RESPONSE%GOBP%GO:0140374	ANTIVIRAL INNATE IMMUNE RESPONSE%GOBP%GO:0140374		58	-0.7399795	-2.3721843	0.0	0.0	0.0	1053	tags=36%, list=7%, signal=39%	
OXIDATIVE PHOSPHORYLATION%GOBP%GO:0006119	OXIDATIVE PHOSPHORYLATION%GOBP%GO:0006119		68	-0.7078634	-2.3693967	0.0	0.0	0.0	2991	tags=74%, list=20%, signal=91%	
MITOCHONDRIAL ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042775	MITOCHONDRIAL ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042775		63	-0.7261791	-2.3693473	0.0	0.0	0.0	2991	tags=75%, list=20%, signal=93%	
REGULATION OF MITOTIC CELL CYCLE%REACTOME DATABASE ID RELEASE 93%453276	REGULATION OF MITOTIC CELL CYCLE%REACTOME DATABASE ID RELEASE 93%453276		73	-0.69304323	-2.3676178	0.0	0.0	0.0	2113	tags=51%, list=14%, signal=59%	
ELECTRON TRANSPORT CHAIN OXPHOS SYSTEM IN MITOCHONDRIA%WIKIPATHWAYS_20250810%WP111%HOMO SAPIENS	ELECTRON TRANSPORT CHAIN OXPHOS SYSTEM IN MITOCHONDRIA%WIKIPATHWAYS_20250810%WP111%HOMO SAPIENS		68	-0.7032289	-2.363444	0.0	0.0	0.0	2991	tags=72%, list=20%, signal=89%	
